A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,他Ｌ,None,None,留萌北部,2296,お,21.23,None,初山別村,ミズナラ,カンバ,水源涵養,0,141.904572,44.600343
None,トドマツ,None,None,留萌北部,2296,ろ,5.99,None,初山別村,None,カンバ,水源涵養,0,141.907334,44.599284
None,天トドマツ,None,None,留萌北部,2291,い,22.3,None,初山別村,ミズナラ,他Ｌ,山地災害防止（土砂）,0,141.912967,44.593779
None,None,None,None,留萌北部,2291,ロ,1.0,None,初山別村,None,None,山地災害防止（土砂）,0,141.909327,44.591946
None,天トドマツ,None,None,留萌北部,2291,は,111.29,None,初山別村,ミズナラ,他Ｌ,山地災害防止（土砂）,0,141.907261,44.589326
None,トドマツ,None,None,留萌北部,2296,ほ,4.84,None,初山別村,None,カンバ,水源涵養,0,141.905044,44.595122
None,トドマツ,None,None,留萌北部,2296,い,6.06,None,初山別村,トドマツ,カンバ,水源涵養,0,141.898975,44.601614
None,他Ｌ,None,None,留萌北部,2296,よ,5.74,None,初山別村,シナノキ,ミズナラ,水源涵養,0,141.902853,44.596422
None,他Ｌ,None,None,留萌北部,2296,ぬ,98.3,None,初山別村,ミズナラ,天トドマツ,水源涵養,0,141.895601,44.600359
None,トドマツ,None,None,留萌北部,2296,へ,6.73,None,初山別村,None,カンバ,水源涵養,0,141.901789,44.595498
None,None,None,None,留萌北部,2296,イ,0.63,None,初山別村,None,None,水源涵養,0,141.893556,44.598553
None,他Ｌ,None,None,留萌北部,2296,る,12.1,None,初山別村,シナノキ,ミズナラ,水源涵養,0,141.895764,44.594711
None,トドマツ,None,None,留萌北部,2296,り,10.29,None,初山別村,None,カンバ,水源涵養,0,141.890424,44.597637
None,トドマツ,None,None,留萌北部,2296,と,1.45,None,初山別村,None,カンバ,水源涵養,0,141.895662,44.593568
None,None,None,None,留萌北部,2292,イ,0.6,None,初山別村,None,None,水源涵養,0,141.896578,44.590205
None,トドマツ,None,None,留萌北部,2296,ち,4.66,None,初山別村,None,カンバ,水源涵養,0,141.893867,44.594768
None,トドマツ,None,None,留萌北部,2292,へ,3.06,None,初山別村,None,カンバ,水源涵養,0,141.894414,44.592038
None,None,None,None,留萌北部,2292,ロ,1.91,None,初山別村,None,None,水源涵養,0,141.893429,44.589062
None,天トドマツ,None,None,留萌北部,2292,ち,107.22,None,初山別村,ミズナラ,他Ｌ,水源涵養,0,141.899183,44.588499
None,トドマツ,None,None,留萌北部,2292,ほ,2.37,None,初山別村,None,カンバ,水源涵養,0,141.891203,44.59363
None,トドマツ,None,None,留萌北部,2292,に,4.02,None,初山別村,None,カンバ,水源涵養,0,141.888702,44.59457
None,トドマツ,None,None,留萌北部,2289,と,3.51,None,初山別村,None,ダケカンバ,水源涵養,0,141.893757,44.58566
None,トドマツ,None,None,留萌北部,2289,へ,4.02,None,初山別村,None,ダケカンバ,水源涵養,0,141.890072,44.585218
None,トドマツ,None,None,留萌北部,2289,ほ,4.82,None,初山別村,None,ダケカンバ,水源涵養,0,141.888061,44.586206
None,他Ｌ,None,None,留萌北部,2295,む,9.88,None,初山別村,シナノキ,ミズナラ,水源涵養,0,141.884259,44.601484
None,トドマツ,None,None,留萌北部,2295,か,1.8,None,初山別村,None,カンバ,水源涵養,0,141.88276,44.601731
None,トドマツ,None,None,留萌北部,2295,わ,2.75,None,初山別村,カンバ,トドマツ,水源涵養,0,141.879896,44.601927
None,トドマツ,None,None,留萌北部,2295,よ,8.25,None,初山別村,None,カンバ,水源涵養,0,141.886611,44.599869
