A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,他Ｌ,土流保,None,十勝西部,314,ら,13.78,None,帯広市,ホオノキ,トドマツ,山地災害防止（土砂）,0,143.009258,42.701451
None,トドマツ,土流保,None,十勝西部,314,に,7.48,None,帯広市,ダケカンバ,アカエゾマツ,山地災害防止（土砂）,0,143.003341,42.702566
None,トドマツ,土流保,None,十勝西部,315,む,35.84,None,帯広市,ダケカンバ,アカエゾマツ,山地災害防止（土砂）,0,143.00349,42.697867
None,トドマツ,土流保,None,十勝西部,315,ら,29.08,None,帯広市,None,ダケカンバ,山地災害防止（土砂）,0,143.003948,42.690547
None,他Ｌ,土流保,None,十勝西部,314,て,21.98,None,帯広市,トドマツ,シラカバ,山地災害防止（土砂）,0,142.999834,42.693006
None,トドマツ,土流保,None,十勝西部,314,え,1.94,None,帯広市,None,None,山地災害防止（土砂）,0,142.997046,42.691448
None,他Ｌ,土流保,None,十勝西部,315,り,113.42,None,帯広市,シナノキ,イタヤカエデ,山地災害防止（土砂）,0,142.990986,42.673144
None,トドマツ,土流保,None,十勝西部,315,よ,3.44,None,帯広市,None,None,山地災害防止（土砂）,0,143.003993,42.684616
None,トドマツ,土流保,None,十勝西部,315,か,25.22,None,帯広市,None,ダケカンバ,山地災害防止（土砂）,0,142.99804,42.687384
None,アカエゾマツ,土流保,None,十勝西部,315,お,19.72,None,帯広市,ダケカンバ,トドマツ,山地災害防止（土砂）,0,142.998756,42.685235
None,他Ｌ,土流保,None,十勝西部,315,り,113.42,None,帯広市,シナノキ,イタヤカエデ,山地災害防止（土砂）,0,142.999532,42.683468
None,トドマツ,土流保,None,十勝西部,315,ろ,4.96,None,帯広市,シラカバ,ハンノキ,山地災害防止（土砂）,1,143.004167,42.678672
None,他Ｌ,土流保,None,十勝西部,315,り,113.42,None,帯広市,シナノキ,イタヤカエデ,山地災害防止（土砂）,0,143.004487,42.678211
None,ダケカンバ,土流保,None,十勝西部,316,ぬ,26.83,None,帯広市,アカエゾマツ,トドマツ,山地災害防止（土砂）,0,143.000636,42.671833
None,トドマツ,土流保,None,十勝西部,315,れ,3.85,None,帯広市,None,None,山地災害防止（土砂）,0,143.003381,42.683164
None,ヤチダモ,土流保,None,十勝西部,315,は,5.57,None,帯広市,None,None,山地災害防止（土砂）,0,143.003492,42.680716
None,トドマツ,土流保,None,十勝西部,315,ろ,8.68,None,帯広市,None,None,山地災害防止（土砂）,0,143.003927,42.679567
None,ヤチダモ,土流保,None,十勝西部,315,は,5.57,None,帯広市,None,None,山地災害防止（土砂）,0,143.002857,42.680472
None,トドマツ,土流保,None,十勝西部,315,ろ,8.68,None,帯広市,None,None,山地災害防止（土砂）,0,143.002961,42.678373
None,トドマツ,土流保,None,十勝西部,315,ろ,8.68,None,帯広市,None,None,山地災害防止（土砂）,0,143.001988,42.679693
None,None,None,None,十勝西部,315,イ,1.91,None,帯広市,None,None,山地災害防止（土砂）,0,142.999689,42.683729
None,トドマツ,土流保,None,十勝西部,315,る,17.68,None,帯広市,None,アカエゾマツ,山地災害防止（土砂）,0,142.998307,42.683144
None,トドマツ,土流保,None,十勝西部,315,る,17.68,None,帯広市,None,アカエゾマツ,山地災害防止（土砂）,0,142.998512,42.680937
None,他Ｌ,土流保,None,十勝西部,315,り,113.42,None,帯広市,シナノキ,イタヤカエデ,山地災害防止（土砂）,0,142.999756,42.681936
None,トドマツ,土流保,None,十勝西部,315,ろ,8.68,None,帯広市,None,None,山地災害防止（土砂）,0,142.999778,42.678904
None,トドマツ,土流保,None,十勝西部,315,ろ,4.96,None,帯広市,シラカバ,ハンノキ,山地災害防止（土砂）,1,142.998994,42.678417
None,トドマツ,土流保,None,十勝西部,315,そ,2.73,None,帯広市,None,他Ｌ,山地災害防止（土砂）,0,143.003131,42.677432
None,トドマツ,土流保,None,十勝西部,315,ろ,4.96,None,帯広市,シラカバ,ハンノキ,山地災害防止（土砂）,1,143.000774,42.677271
None,他Ｌ,土流保,None,十勝西部,315,り,113.42,None,帯広市,シナノキ,イタヤカエデ,山地災害防止（土砂）,0,143.001042,42.675913
None,他Ｌ,土流保,None,十勝西部,316,う,26.96,None,帯広市,None,None,山地災害防止（土砂）,0,143.002794,42.675025
None,トドマツ,土流保,None,十勝西部,315,に,5.24,None,帯広市,None,None,山地災害防止（土砂）,0,142.996684,42.675592
None,トドマツ,土流保,None,十勝西部,315,い,12.0,None,帯広市,ミズナラ,他Ｌ,山地災害防止（土砂）,0,142.999418,42.674341
None,トドマツ,土流保,None,十勝西部,316,は,0.93,None,帯広市,ハンノキ,ダケカンバ,山地災害防止（土砂）,0,143.010724,42.670334
None,エゾマツ,土流保,None,十勝西部,316,お,8.14,None,帯広市,ダケカンバ,トドマツ,山地災害防止（土砂）,0,143.007,42.669951
None,トドマツ,土流保,None,十勝西部,316,ね,2.19,None,帯広市,None,None,山地災害防止（土砂）,0,143.011779,42.669723
None,ダケカンバ,土流保,None,十勝西部,316,ほ,2.5,None,帯広市,None,トドマツ,山地災害防止（土砂）,0,143.009272,42.669319
None,他Ｌ,土流保,None,十勝西部,316,う,26.96,None,帯広市,None,None,山地災害防止（土砂）,0,143.008719,42.668916
None,トドマツ,土流保,None,十勝西部,316,ろ,7.93,None,帯広市,None,None,山地災害防止（土砂）,0,143.00897,42.667848
None,他Ｌ,土流保,None,十勝西部,316,う,26.96,None,帯広市,None,None,山地災害防止（土砂）,0,142.999482,42.668731
None,トドマツ,土流保,None,十勝西部,316,そ,1.2,None,帯広市,None,None,山地災害防止（土砂）,0,143.006862,42.668288
None,ストローブマツ,土流保,None,十勝西部,316,な,3.7,None,帯広市,トドマツ,他Ｌ,山地災害防止（土砂）,0,143.004399,42.669044
None,トドマツ,None,None,十勝西部,316,い,1.0,None,帯広市,None,None,水源涵養,1,143.010169,42.665138
