A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
天トドマツ,1019,い,自然維持,広尾町,None,ダケカンバ,0,他Ｌ,None,104.29,土流保,十勝西部,None,143.00684,42.373684
None,1019,イ,自然維持,広尾町,None,None,0,None,None,63.01,土流保,十勝西部,None,143.00499,42.367706
None,1022,イ,自然維持,広尾町,None,None,0,None,None,46.44,土流保,十勝西部,None,143.008324,42.359918
None,1145,い,森林空間利用,広尾町,None,トドマツ,0,ダケカンバ,None,0.4,土流保,十勝西部,保健保,143.316191,42.279709
ハンノキ,1145,へ,森林空間利用,広尾町,None,ミズナラ,0,ダケカンバ,None,4.15,土崩保,十勝西部,保健保,143.3162,42.277843
他Ｌ,1145,ほ,森林空間利用,広尾町,None,ミズナラ,1,ダケカンバ,None,3.81,土流保,十勝西部,保健保,143.313623,42.27751
None,1145,ろ,森林空間利用,広尾町,None,トドマツ,0,ダケカンバ,None,0.6,土流保,十勝西部,保健保,143.314573,42.278561
他Ｌ,1145,と,森林空間利用,広尾町,None,ミズナラ,0,ダケカンバ,None,8.85,土崩保,十勝西部,保健保,143.313369,42.27441
ハンノキ,1145,ほ,自然維持,広尾町,None,ミズナラ,0,ダケカンバ,None,9.38,土流保,十勝西部,保健保,143.311541,42.275808
他Ｌ,1145,ほ,森林空間利用,広尾町,None,ミズナラ,1,ダケカンバ,None,3.81,土流保,十勝西部,保健保,143.309952,42.276878
ハンノキ,1145,へ,森林空間利用,広尾町,None,ミズナラ,0,ダケカンバ,None,4.15,土崩保,十勝西部,保健保,143.314128,42.273345
None,1145,は,森林空間利用,広尾町,None,トドマツ,0,ダケカンバ,None,0.73,土流保,十勝西部,保健保,143.313935,42.272205
ハンノキ,1145,へ,森林空間利用,広尾町,None,ミズナラ,0,ダケカンバ,None,4.15,土崩保,十勝西部,保健保,143.314011,42.271762
None,1145,イ,森林空間利用,広尾町,None,None,0,None,None,0.12,土流保,十勝西部,保健保,143.313519,42.271676
ハンノキ,1145,ほ,森林空間利用,広尾町,None,ミズナラ,2,ダケカンバ,None,2.8,土流保,十勝西部,保健保,143.311598,42.273875
None,1145,に,森林空間利用,広尾町,None,トドマツ,0,ダケカンバ,None,12.81,土流保,十勝西部,保健保,143.309093,42.273476
他Ｌ,1144,わ,森林空間利用,広尾町,None,ミズナラ,1,ダケカンバ,None,0.18,土崩保,十勝西部,None,143.312687,42.266672
ダケカンバ,1144,ち,山地災害防止（土砂）,広尾町,None,トドマツ,0,トドマツ,None,0.78,土流保,十勝西部,None,143.311843,42.266003
アカエゾマツ,1144,り,山地災害防止（土砂）,広尾町,None,ミズナラ,0,ダケカンバ,None,15.9,土流保,十勝西部,None,143.308358,42.263379
ハンノキ,1144,わ,森林空間利用,広尾町,None,ミズナラ,0,ダケカンバ,None,4.92,土崩保,十勝西部,None,143.308893,42.261445
