A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
None,244,ち,水源涵養,本別町,None,トドマツ,0,None,None,1.28,水涵保,十勝東部,None,143.63221,43.225923
None,244,ぬ,水源涵養,本別町,None,アカエゾマツ,2,None,None,1.78,水涵保,十勝東部,None,143.631631,43.222864
ミズナラ,244,ぬ,水源涵養,本別町,None,トドマツ,1,ハンノキ,None,7.8,水涵保,十勝東部,None,143.630335,43.221244
None,245,は,水源涵養,本別町,None,カラマツ,0,None,None,9.88,水涵保,十勝東部,None,143.631321,43.218063
None,244,ろ,水源涵養,本別町,None,トドマツ,0,None,None,3.96,水涵保,十勝東部,None,143.629972,43.219062
None,245,は,水源涵養,本別町,None,トドマツ,1,他Ｌ,None,1.17,水涵保,十勝東部,None,143.631272,43.216408
他Ｌ,245,ま,水源涵養,本別町,None,ミズナラ,0,ダケカンバ,None,1.0,水涵保,十勝東部,None,143.630542,43.216663
None,245,は,水源涵養,本別町,None,カラマツ,2,他Ｌ,None,6.33,水涵保,十勝東部,None,143.62928,43.216191
他Ｌ,242,う,水源涵養,本別町,None,シナノキ,0,ミズナラ,None,0.59,水涵保,十勝東部,None,143.633351,43.213003
None,242,イ,水源涵養,本別町,None,None,0,None,None,4.03,None,十勝東部,None,143.635879,43.212625
他Ｎ,242,ろ,水源涵養,本別町,None,アカエゾマツ,0,他Ｌ,None,3.32,水涵保,十勝東部,None,143.633503,43.21243
他Ｌ,242,う,水源涵養,本別町,None,シナノキ,0,ミズナラ,None,0.59,水涵保,十勝東部,None,143.631632,43.213875
他Ｎ,242,ろ,水源涵養,本別町,None,アカエゾマツ,0,他Ｌ,None,3.32,水涵保,十勝東部,None,143.630291,43.21362
None,241,て,水源涵養,本別町,None,トドマツ,0,他Ｌ,None,6.78,水涵保,十勝東部,None,143.6322,43.212078
None,244,い,水源涵養,本別町,None,アカエゾマツ,0,None,None,0.84,水涵保,十勝東部,None,143.628856,43.219698
他Ｌ,244,る,水源涵養,本別町,None,トドマツ,0,アカエゾマツ,None,5.38,水涵保,十勝東部,None,143.627224,43.218394
シナノキ,244,ね,水源涵養,本別町,None,ミズナラ,0,ダケカンバ,None,0.56,水涵保,十勝東部,None,143.628207,43.217338
None,241,さ,水源涵養,本別町,None,アカエゾマツ,0,トドマツ,None,4.02,水涵保,十勝東部,None,143.631697,43.207637
他Ｌ,241,す,水源涵養,本別町,None,シナノキ,0,ミズナラ,None,5.65,水涵保,十勝東部,None,143.634738,43.206481
None,241,あ,水源涵養,本別町,None,カラマツ,0,None,None,2.5,水涵保,十勝東部,None,143.629778,43.205071
他Ｌ,241,の,水源涵養,本別町,None,カラマツ,0,天トドマツ,None,10.81,水涵保,十勝東部,None,143.632923,43.203003
None,241,う,水源涵養,本別町,None,トドマツ,0,他Ｌ,None,2.05,水涵保,十勝東部,None,143.630405,43.20299
None,241,ね,水源涵養,本別町,None,トドマツ,2,None,None,10.64,水涵保,十勝東部,None,143.62982,43.201813
ミズナラ,241,す,水源涵養,本別町,None,ダケカンバ,2,シナノキ,None,0.38,水涵保,十勝東部,None,143.632524,43.199332
None,241,ね,水源涵養,本別町,None,欧州アカマツ,0,None,None,3.0,水涵保,十勝東部,None,143.6295,43.200775
None,241,ね,水源涵養,本別町,None,トドマツ,2,None,None,10.64,水涵保,十勝東部,None,143.630812,43.199689
None,241,え,水源涵養,本別町,None,カラマツ,0,他Ｌ,None,6.4,水涵保,十勝東部,None,143.629189,43.206657
None,241,む,水源涵養,本別町,None,カラマツ,0,他Ｌ,None,1.93,水涵保,十勝東部,None,143.628745,43.204665
None,241,ら,水源涵養,本別町,None,カラマツ,0,天トドマツ,None,6.67,水涵保,十勝東部,None,143.626832,43.204512
None,241,ね,水源涵養,本別町,None,トドマツ,1,None,None,3.79,水涵保,十勝東部,None,143.62811,43.202046
他Ｌ,241,き,水源涵養,本別町,None,シナノキ,0,ミズナラ,None,1.25,水涵保,十勝東部,None,143.625677,43.203733
None,241,ね,水源涵養,本別町,None,トドマツ,2,None,None,10.64,水涵保,十勝東部,None,143.625769,43.202721
None,241,ね,水源涵養,本別町,None,トドマツ,2,None,None,10.64,水涵保,十勝東部,None,143.625957,43.202159
None,241,イ,水源涵養,本別町,None,None,0,None,None,2.97,None,十勝東部,None,143.628655,43.199413
None,241,わ,水源涵養,本別町,None,トドマツ,1,None,None,1.3,水涵保,十勝東部,None,143.625717,43.199765
None,241,な,水源涵養,本別町,None,トドマツ,0,None,None,2.56,水涵保,十勝東部,None,143.623879,43.203914
None,241,な,水源涵養,本別町,None,トドマツ,0,None,None,2.56,水涵保,十勝東部,None,143.623171,43.203556
None,241,ゆ,水源涵養,本別町,None,トドマツ,0,None,None,3.5,None,十勝東部,None,143.624177,43.202312
他Ｌ,241,す,水源涵養,本別町,None,ダケカンバ,3,シナノキ,None,1.74,水涵保,十勝東部,None,143.622572,43.202024
None,241,つ,水源涵養,本別町,None,トドマツ,1,None,None,5.0,水涵保,十勝東部,None,143.632754,43.196847
None,241,た,水源涵養,本別町,None,カラマツ,0,他Ｌ,None,3.6,水涵保,十勝東部,None,143.633382,43.193192
None,241,れ,水源涵養,本別町,None,カラマツ,0,他Ｌ,None,9.01,水涵保,十勝東部,None,143.630809,43.197183
None,241,よ,水源涵養,本別町,None,カラマツ,0,他Ｌ,None,2.82,水涵保,十勝東部,None,143.629368,43.197013
None,241,れ,水源涵養,本別町,None,カラマツ,0,他Ｌ,None,9.01,水涵保,十勝東部,None,143.633165,43.195369
None,241,ロ,水源涵養,本別町,None,None,0,None,None,1.59,None,十勝東部,None,143.63112,43.195322
None,241,か,水源涵養,本別町,None,カラマツ,0,None,None,21.19,水涵保,十勝東部,None,143.62781,43.193138
None,231,き,水源涵養,本別町,None,カラマツ,0,None,None,5.79,水涵保,十勝東部,None,143.632752,43.191171
None,241,た,水源涵養,本別町,None,カラマツ,0,他Ｌ,None,3.6,水涵保,十勝東部,None,143.632286,43.193234
None,241,た,水源涵養,本別町,None,カラマツ,0,他Ｌ,None,3.6,水涵保,十勝東部,None,143.632712,43.192654
None,231,き,水源涵養,本別町,None,カラマツ,0,None,None,5.79,水涵保,十勝東部,None,143.631011,43.190885
シナノキ,231,み,水源涵養,本別町,None,ミズナラ,0,他Ｌ,None,1.5,水涵保,十勝東部,None,143.6299,43.19024
None,241,わ,水源涵養,本別町,None,カラマツ,0,他Ｌ,None,13.83,水涵保,十勝東部,None,143.626922,43.198173
他Ｌ,241,も,水源涵養,本別町,None,シナノキ,0,ミズナラ,None,5.75,水涵保,十勝東部,None,143.627146,43.194492
他Ｌ,241,ひ,水源涵養,本別町,None,ミズナラ,0,シナノキ,None,5.51,水涵保,十勝東部,None,143.631284,43.194047
None,241,ロ,水源涵養,本別町,None,None,0,None,None,1.59,None,十勝東部,None,143.625133,43.195301
None,241,る,水源涵養,本別町,None,カラマツ,0,他Ｌ,None,31.58,水涵保,十勝東部,None,143.623265,43.198119
None,241,お,水源涵養,本別町,None,トドマツ,0,他Ｌ,None,4.13,水涵保,十勝東部,None,143.622177,43.195124
None,231,ね,水源涵養,本別町,None,カラマツ,1,他Ｌ,None,2.64,水涵保,十勝東部,None,143.625324,43.191469
None,231,こ,水源涵養,本別町,None,カラマツ,0,None,None,5.73,水涵保,十勝東部,None,143.628786,43.1895
シナノキ,231,み,水源涵養,本別町,None,ミズナラ,0,他Ｌ,None,1.5,水涵保,十勝東部,None,143.628026,43.189978
