A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,ミズナラ,防霧保,魚付保,根釧東部,1001,い,13.91,保健保,根室市,イチイ,天トドマツ,山地災害防止（気象）,0,145.56073,43.272695
None,None,防霧保,魚付保,根釧東部,1001,ニ,8.19,保健保,根室市,None,None,山地災害防止（気象）,0,145.558638,43.268752
None,ミズナラ,防霧保,魚付保,根釧東部,1001,い,13.91,保健保,根室市,イチイ,天トドマツ,山地災害防止（気象）,0,145.558064,43.278436
None,ミズナラ,防霧保,魚付保,根釧東部,1001,い,13.91,保健保,根室市,イチイ,天トドマツ,山地災害防止（気象）,0,145.556342,43.276494
None,イチイ,防霧保,魚付保,根釧東部,1001,ろ,5.01,保健保,根室市,天トドマツ,ダケカンバ,自然維持,1,145.557734,43.272884
None,天トドマツ,防霧保,魚付保,根釧東部,1001,ろ,29.9,保健保,根室市,ミズナラ,ダケカンバ,山地災害防止（気象）,0,145.554822,43.272193
None,None,防霧保,魚付保,根釧東部,1001,ハ,2.2,保健保,根室市,None,None,山地災害防止（気象）,0,145.552582,43.268856
None,ダケカンバ,防霧保,魚付保,根釧東部,1001,は,10.51,保健保,根室市,コナラ,天トドマツ,山地災害防止（気象）,1,145.556205,43.268718
None,ダケカンバ,防霧保,魚付保,根釧東部,1001,は,10.51,保健保,根室市,コナラ,天トドマツ,山地災害防止（気象）,1,145.556275,43.266582
None,None,防霧保,魚付保,根釧東部,1001,イ,3.73,保健保,根室市,None,None,山地災害防止（気象）,0,145.552665,43.267031
None,天トドマツ,防霧保,魚付保,根釧東部,1001,は,16.43,保健保,根室市,ダケカンバ,ミズナラ,山地災害防止（気象）,0,145.553964,43.265091
None,天トドマツ,防霧保,魚付保,根釧東部,1001,ほ,12.64,保健保,根室市,天アカエゾ,ダケカンバ,山地災害防止（気象）,0,145.552515,43.261223
None,天トドマツ,防霧保,魚付保,根釧東部,1001,に,3.7,保健保,根室市,ミズナラ,ダケカンバ,山地災害防止（気象）,0,145.550452,43.257929
None,None,防霧保,魚付保,根釧東部,1001,ロ,0.4,保健保,根室市,None,None,山地災害防止（気象）,0,145.548919,43.254942
None,None,None,None,根釧東部,1002,イ,0.01,None,根室市,None,None,山地災害防止（気象）,0,145.549026,43.254472
None,None,保健保,None,根釧東部,1002,レ,2.2,None,根室市,None,None,山地災害防止（気象）,0,145.548285,43.253991
None,None,防風保,None,根釧東部,1003,ヌ,0.31,None,根室市,None,None,山地災害防止（気象）,0,145.512215,43.282334
None,天トドマツ,防風保,None,根釧東部,1003,い,3.56,None,根室市,ダケカンバ,ミズナラ,山地災害防止（気象）,0,145.512458,43.281427
None,ミズナラ,防風保,None,根釧東部,1003,に,0.27,None,根室市,他Ｌ,ダケカンバ,山地災害防止（気象）,0,145.512633,43.2793
None,アカエゾマツ,防風保,None,根釧東部,1003,い,1.02,None,根室市,天エゾマツ,天トドマツ,山地災害防止（気象）,1,145.511949,43.279136
None,トドマツ,防風保,None,根釧東部,1003,へ,0.7,None,根室市,None,None,山地災害防止（気象）,0,145.511754,43.27703
None,アカエゾマツ,防風保,None,根釧東部,1003,ほ,2.93,None,根室市,センノキ,他Ｌ,山地災害防止（気象）,1,145.5113,43.276165
None,トドマツ,防風保,None,根釧東部,1003,は,1.11,None,根室市,None,None,山地災害防止（気象）,0,145.511099,43.279016
None,None,None,None,根釧東部,1003,リ,0.05,None,根室市,None,None,山地災害防止（気象）,0,145.510985,43.278514
None,アカエゾマツ,防風保,None,根釧東部,1003,と,0.41,None,根室市,天アカエゾ,天トドマツ,山地災害防止（気象）,0,145.511116,43.278114
None,カラマツ,防風保,None,根釧東部,1003,へ,0.1,None,根室市,None,None,山地災害防止（気象）,1,145.511072,43.276814
None,天トドマツ,防風保,None,根釧東部,1003,ほ,1.56,None,根室市,ダケカンバ,他Ｌ,山地災害防止（気象）,0,145.511277,43.275204
None,天トドマツ,防霧保,None,根釧東部,1003,お,11.52,None,根室市,ミズナラ,ダケカンバ,自然維持,0,145.51408,43.267049
None,None,防霧保,None,根釧東部,1003,ハ,1.62,None,根室市,None,None,自然維持,0,145.522339,43.257723
None,天トドマツ,防風保,None,根釧東部,1003,ち,8.87,None,根室市,ミズナラ,ダケカンバ,山地災害防止（気象）,0,145.510823,43.2723
None,None,防風保,None,根釧東部,1003,チ,0.12,None,根室市,None,None,山地災害防止（気象）,1,145.511228,43.27082
None,None,防風保,None,根釧東部,1003,チ,0.12,None,根室市,None,None,山地災害防止（気象）,1,145.511684,43.270826
None,None,None,None,根釧東部,1003,チ,0.22,None,根室市,None,None,自然維持,0,145.511027,43.270692
None,None,防霧保,None,根釧東部,1003,チ,0.07,None,根室市,None,None,自然維持,2,145.510603,43.270493
None,None,None,None,根釧東部,1003,ロ,0.34,None,根室市,None,None,自然維持,0,145.510625,43.270683
None,None,None,None,根釧東部,1003,チ,0.22,None,根室市,None,None,自然維持,0,145.509064,43.270147
None,None,防霧保,None,根釧東部,1003,チ,0.07,None,根室市,None,None,自然維持,2,145.509739,43.270406
None,None,防霧保,None,根釧東部,1003,ト,2.93,None,根室市,None,None,自然維持,0,145.510838,43.269322
None,天トドマツ,防風保,None,根釧東部,1003,ち,0.75,None,根室市,ミズナラ,ダケカンバ,自然維持,1,145.509062,43.270519
None,None,防霧保,None,根釧東部,1011,ハ,1.59,None,根室市,None,None,自然維持,0,145.505712,43.255666
None,トドマツ,防霧保,None,根釧東部,1011,は,30.0,None,根室市,トドマツ,アカエゾマツ,自然維持,0,145.495897,43.255825
None,天トドマツ,防霧保,None,根釧東部,1011,ぬ,4.5,None,根室市,天アカエゾ,他Ｌ,自然維持,0,145.498688,43.253298
None,天トドマツ,防霧保,None,根釧東部,1011,り,3.55,None,根室市,他Ｌ,トドマツ,自然維持,0,145.497639,43.252744
None,None,防霧保,None,根釧東部,1011,ニ,1.01,None,根室市,None,None,自然維持,0,145.494584,43.259368
None,天トドマツ,防霧保,None,根釧東部,1011,に,4.1,None,根室市,None,天アカエゾ,自然維持,0,145.493326,43.258661
None,None,防霧保,None,根釧東部,1011,ホ,0.5,None,根室市,None,None,自然維持,0,145.49215,43.259462
None,天トドマツ,防霧保,None,根釧東部,1011,ち,14.85,None,根室市,他Ｌ,ダケカンバ,自然維持,0,145.490709,43.251247
None,天アカエゾ,防霧保,None,根釧東部,1010,お,4.39,None,根室市,None,None,自然維持,0,145.491816,43.257515
None,天トドマツ,防霧保,None,根釧東部,1010,り,8.23,None,根室市,他Ｌ,ダケカンバ,自然維持,0,145.490536,43.255514
None,None,防霧保,None,根釧東部,1010,ハ,2.33,None,根室市,None,None,自然維持,0,145.485689,43.263176
None,天トドマツ,防霧保,None,根釧東部,1010,る,12.49,None,根室市,天アカエゾ,他Ｌ,自然維持,0,145.488612,43.259317
None,天アカエゾ,防霧保,None,根釧東部,1010,ほ,1.13,None,根室市,None,None,自然維持,0,145.485536,43.259214
None,None,None,None,根釧東部,1010,イ,1.1,None,根室市,None,None,自然維持,0,145.485279,43.257841
None,トドマツ,防霧保,None,根釧東部,1010,ろ,9.75,None,根室市,None,None,自然維持,0,145.484144,43.257964
None,天トドマツ,防霧保,None,根釧東部,1010,ぬ,5.83,None,根室市,ダケカンバ,天アカエゾ,自然維持,0,145.487954,43.256537
None,トドマツ,防霧保,None,根釧東部,1010,と,17.61,None,根室市,None,天トドマツ,自然維持,0,145.484702,43.253314
None,トドマツ,防霧保,None,根釧東部,1010,へ,12.89,None,根室市,None,天トドマツ,自然維持,0,145.486727,43.257952
None,天トドマツ,防霧保,None,根釧東部,1010,わ,3.28,None,根室市,天アカエゾ,ダケカンバ,自然維持,0,145.48157,43.257515
None,トドマツ,防霧保,None,根釧東部,1010,は,5.35,None,根室市,None,None,自然維持,0,145.479966,43.256628
None,トドマツ,防霧保,None,根釧東部,1010,に,0.59,None,根室市,None,None,自然維持,0,145.481118,43.255881
None,天トドマツ,防霧保,None,根釧東部,1025,た,11.44,None,根室市,天アカエゾ,ミズナラ,自然維持,0,145.480952,43.254402
None,天トドマツ,防霧保,None,根釧東部,1010,か,7.44,None,根室市,天アカエゾ,ダケカンバ,自然維持,0,145.479965,43.261565
None,天トドマツ,防霧保,None,根釧東部,1010,い,30.75,None,根室市,天アカエゾ,ダケカンバ,自然維持,0,145.476375,43.259993
None,None,None,None,根釧東部,1010,ロ,1.31,None,根室市,None,None,自然維持,0,145.479559,43.262554
None,None,None,None,根釧東部,1025,ロ,2.59,None,根室市,None,None,自然維持,0,145.470749,43.257781
None,トドマツ,防霧保,None,根釧東部,1025,よ,0.18,None,根室市,None,None,自然維持,0,145.475148,43.257777
None,天トドマツ,防霧保,None,根釧東部,1025,り,7.0,None,根室市,ミズナラ,他Ｌ,自然維持,2,145.476605,43.254778
None,天トドマツ,防霧保,None,根釧東部,1025,は,0.25,None,根室市,センノキ,他Ｌ,自然維持,0,145.47495,43.253467
