A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,アカエゾマツ,水涵保,None,上川中部,7,あ,1.74,None,比布町,カンバ,トドマツ,水源涵養,0,142.535337,43.983081
None,カンバ,水涵保,None,上川中部,7,ろ,121.57,None,比布町,シナノキ,他Ｌ,水源涵養,0,142.526691,43.991174
None,シナノキ,水涵保,None,上川中部,7,ね,37.68,None,比布町,カンバ,他Ｌ,水源涵養,0,142.531869,43.987505
None,アカエゾマツ,水涵保,None,上川中部,7,さ,3.13,None,比布町,トドマツ,カンバ,水源涵養,0,142.531312,43.986685
None,アカエゾマツ,水涵保,None,上川中部,7,み,2.66,None,比布町,トドマツ,カンバ,水源涵養,0,142.534231,43.983894
None,アカエゾマツ,水涵保,None,上川中部,7,あ,1.74,None,比布町,カンバ,トドマツ,水源涵養,0,142.534235,43.982767
None,アカエゾマツ,水涵保,None,上川中部,7,て,1.6,None,比布町,None,None,水源涵養,0,142.533687,43.984092
None,シナノキ,水涵保,None,上川中部,7,ひ,8.44,None,比布町,天エゾマツ,ミズナラ,水源涵養,0,142.529793,43.987888
None,シナノキ,水涵保,None,上川中部,7,ね,37.68,None,比布町,カンバ,他Ｌ,水源涵養,0,142.53063,43.985752
None,アカエゾマツ,水涵保,None,上川中部,7,な,2.9,None,比布町,None,None,水源涵養,0,142.52772,43.987423
None,天アカエゾ,水涵保,None,上川中部,7,く,10.78,None,比布町,None,他Ｌ,水源涵養,0,142.532187,43.985055
None,他Ｌ,水涵保,None,上川中部,7,き,2.45,None,比布町,天トドマツ,ミズナラ,水源涵養,0,142.528465,43.984884
None,シナノキ,水涵保,None,上川中部,7,し,3.97,None,比布町,天エゾマツ,ミズナラ,水源涵養,0,142.525616,43.983634
None,天トドマツ,水涵保,None,上川中部,7,う,17.28,None,比布町,天エゾマツ,シナノキ,水源涵養,0,142.5234,43.986346
None,None,None,None,上川中部,7,ロ,3.0,None,比布町,None,None,水源涵養,0,142.521328,43.990748
None,カンバ,水涵保,None,上川中部,7,ろ,121.57,None,比布町,シナノキ,他Ｌ,水源涵養,0,142.51813,43.989505
None,None,None,None,上川中部,7,ニ,0.5,None,比布町,None,None,水源涵養,0,142.51764,43.986285
None,None,None,None,上川中部,7,ニ,0.5,None,比布町,None,None,水源涵養,0,142.508928,43.983629
None,カンバ,水涵保,None,上川中部,7,ろ,121.57,None,比布町,シナノキ,他Ｌ,水源涵養,0,142.508568,43.98366
