A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
カンバ,490,く,水源涵養,沼田町,None,他Ｌ,0,シナノキ,None,0.98,水涵保,北空知支,None,141.910831,43.956868
カンバ,490,む,水源涵養,沼田町,None,他Ｌ,0,シナノキ,None,0.97,水涵保,北空知支,None,141.909976,43.956087
カンバ,490,の,水源涵養,沼田町,None,他Ｌ,0,シナノキ,None,0.99,水涵保,北空知支,None,141.908727,43.956671
None,490,よ,水源涵養,沼田町,None,トドマツ,0,カンバ,None,0.76,水涵保,北空知支,None,141.908819,43.955839
None,490,か,水源涵養,沼田町,None,アカエゾマツ,0,カンバ,None,3.53,水涵保,北空知支,None,141.909096,43.954162
None,490,と,水源涵養,沼田町,None,アカエゾマツ,0,カンバ,None,2.95,水涵保,北空知支,None,141.908271,43.950683
None,490,わ,水源涵養,沼田町,None,アカエゾマツ,0,カンバ,None,2.18,水涵保,北空知支,None,141.906454,43.953804
None,490,お,水源涵養,沼田町,None,アカエゾマツ,0,カンバ,None,2.58,水涵保,北空知支,None,141.90681,43.952173
カンバ,490,こ,水源涵養,沼田町,None,他Ｌ,0,シナノキ,None,31.71,水涵保,北空知支,None,141.903278,43.955097
None,490,る,水源涵養,沼田町,None,アカエゾマツ,0,カンバ,None,2.73,水涵保,北空知支,None,141.904425,43.952854
None,490,へ,水源涵養,沼田町,None,アカエゾマツ,0,カンバ,None,1.98,水涵保,北空知支,None,141.909648,43.949527
シナノキ,489,く,水源涵養,沼田町,None,他Ｌ,0,カンバ,None,0.99,水涵保,北空知支,None,141.910657,43.946574
None,489,と,水源涵養,沼田町,None,トドマツ,0,カンバ,None,2.08,水涵保,北空知支,None,141.910653,43.94409
カンバ,489,う,水源涵養,沼田町,None,他Ｌ,0,シナノキ,None,0.65,水涵保,北空知支,None,141.910366,43.943485
カンバ,489,ね,水源涵養,沼田町,None,他Ｌ,0,シナノキ,None,61.53,水涵保,北空知支,None,141.910891,43.942969
