A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,None,None,None,渡島,1200,ト,0.04,None,鹿部町,None,None,自然維持,0,140.749802,42.051517
None,None,None,None,渡島,1200,ト,0.04,None,鹿部町,None,None,自然維持,0,140.749325,42.051789
None,None,None,None,渡島,1200,ト,0.04,None,鹿部町,None,None,自然維持,0,140.748717,42.051832
None,None,None,None,渡島,1200,ト,0.04,None,鹿部町,None,None,自然維持,0,140.748617,42.05122
None,None,土流保,保健保,渡島,1201,ニ,0.01,None,鹿部町,None,None,森林空間利用,0,140.743758,42.067653
None,None,土流保,保健保,渡島,1201,ニ,0.01,None,鹿部町,None,None,森林空間利用,0,140.744311,42.06763
None,None,土流保,保健保,渡島,1201,ニ,0.01,None,鹿部町,None,None,森林空間利用,0,140.743206,42.067918
None,None,土流保,保健保,渡島,1201,ニ,0.01,None,鹿部町,None,None,森林空間利用,0,140.744444,42.066959
None,None,土流保,保健保,渡島,1201,ハ,0.18,None,鹿部町,None,None,自然維持,0,140.74563,42.065339
None,None,土流保,保健保,渡島,1201,ハ,0.18,None,鹿部町,None,None,自然維持,0,140.746104,42.064971
None,None,土流保,保健保,渡島,1201,ハ,0.18,None,鹿部町,None,None,自然維持,0,140.744955,42.065173
None,None,土流保,保健保,渡島,1201,イ,638.94,None,鹿部町,None,None,自然維持,0,140.74158,42.060874
None,None,土流保,保健保,渡島,1200,イ,845.75,None,鹿部町,None,None,自然維持,0,140.739233,42.054715
None,None,None,None,渡島,1200,ホ,0.05,None,鹿部町,None,None,自然維持,0,140.735379,42.051984
None,None,土流保,保健保,渡島,1201,イ,638.94,None,鹿部町,None,None,自然維持,0,140.728011,42.067594
None,None,土流保,保健保,渡島,1201,ニ,0.01,None,鹿部町,None,None,森林空間利用,0,140.724861,42.069923
None,None,土流保,保健保,渡島,1201,ニ,0.01,None,鹿部町,None,None,森林空間利用,0,140.724287,42.069837
None,None,土流保,保健保,渡島,1201,ニ,0.01,None,鹿部町,None,None,森林空間利用,0,140.723639,42.069782
None,None,土流保,保健保,渡島,1201,ニ,0.01,None,鹿部町,None,None,森林空間利用,0,140.723663,42.069446
None,None,土流保,保健保,渡島,1201,ホ,0.48,None,鹿部町,None,None,自然維持,0,140.721948,42.064365
None,None,土流保,保健保,渡島,1201,ホ,0.48,None,鹿部町,None,None,自然維持,0,140.721246,42.064933
None,None,土流保,保健保,渡島,1201,ホ,0.48,None,鹿部町,None,None,自然維持,0,140.72102,42.064685
None,None,土流保,保健保,渡島,1201,ホ,0.48,None,鹿部町,None,None,自然維持,0,140.720807,42.064412
None,None,None,None,渡島,1200,ト,0.04,None,鹿部町,None,None,自然維持,0,140.729797,42.051717
None,None,None,None,渡島,1200,ト,0.04,None,鹿部町,None,None,自然維持,0,140.729019,42.050765
None,None,None,None,渡島,1200,ト,0.04,None,鹿部町,None,None,自然維持,0,140.729226,42.050413
None,None,None,None,渡島,1200,ト,0.04,None,鹿部町,None,None,自然維持,0,140.728776,42.051076
None,None,土流保,保健保,渡島,1200,イ,845.75,None,鹿部町,None,None,自然維持,0,140.719038,42.051741
None,None,土流保,保健保,渡島,1201,イ,638.94,None,鹿部町,None,None,自然維持,0,140.712051,42.066393
None,None,土流保,保健保,渡島,1201,ニ,0.01,None,鹿部町,None,None,森林空間利用,0,140.690837,42.06829
None,None,土流保,保健保,渡島,1201,ロ,66.33,None,鹿部町,None,None,森林空間利用,0,140.691008,42.065542
None,None,土流保,保健保,渡島,1201,ニ,0.01,None,鹿部町,None,None,森林空間利用,0,140.687977,42.064139
None,None,土流保,保健保,渡島,1201,ニ,0.01,None,鹿部町,None,None,森林空間利用,0,140.687162,42.063452
None,None,土流保,保健保,渡島,1200,ロ,30.72,None,鹿部町,None,None,森林空間利用,0,140.688755,42.059649
None,None,土流保,保健保,渡島,1200,ワ,0.01,None,鹿部町,None,None,森林空間利用,0,140.68494,42.061303
None,None,土流保,保健保,渡島,1201,ニ,0.01,None,鹿部町,None,None,森林空間利用,0,140.682421,42.06505
None,None,土流保,保健保,渡島,1200,イ,845.75,None,鹿部町,None,None,自然維持,0,140.740078,42.046313
None,None,土流保,保健保,渡島,1200,ワ,0.01,None,鹿部町,None,None,森林空間利用,0,140.732555,42.047308
None,None,土流保,保健保,渡島,1200,イ,845.75,None,鹿部町,None,None,自然維持,0,140.730767,42.044456
None,None,None,None,渡島,1200,ニ,0.31,None,鹿部町,None,None,自然維持,0,140.732714,42.034626
None,None,None,None,渡島,1200,チ,0.18,None,鹿部町,None,None,自然維持,0,140.730399,42.042706
None,None,None,None,渡島,1200,チ,0.18,None,鹿部町,None,None,自然維持,0,140.729972,42.042732
None,None,None,None,渡島,1200,チ,0.18,None,鹿部町,None,None,自然維持,0,140.730008,42.042623
None,None,None,None,渡島,1200,チ,0.18,None,鹿部町,None,None,自然維持,0,140.730045,42.042531
None,None,土流保,保健保,渡島,1200,イ,845.75,None,鹿部町,None,None,自然維持,0,140.731358,42.037346
None,None,土流保,保健保,渡島,1200,ル,0.14,None,鹿部町,None,None,自然維持,0,140.727231,42.041417
None,None,土流保,保健保,渡島,1200,ハ,0.01,None,鹿部町,None,None,自然維持,0,140.733337,42.025365
None,None,None,None,渡島,1200,ヘ,0.07,None,鹿部町,None,None,自然維持,0,140.733107,42.025108
