面積,管理区,小班,森林の種類６コード,森林の種類３コード,複層区分,振興局,枝番,林種,林齢,森林の種類５コード,KEYCODE,森林の種類４コード,RINSYO_ID,林班,森林の種類２コード,樹種,市町村,森林の種類１コード,center_lng,center_lat
11.68,21,0007,None,None,0,08,00,2,133,None,99210001100007,None,21110070,0110,None,99.0,25,12,142.611541,44.517428
14.0,21,0010,None,None,0,08,00,2,133,None,99210001100010,None,21110100,0110,None,98.0,25,12,142.609979,44.521096
31.8,21,0008,None,None,0,08,00,2,133,None,99210001100008,None,21110080,0110,None,99.0,25,12,142.62188,44.521363
8.54,21,0053,None,None,0,08,00,1,55,None,99210001100053,None,21110530,0110,None,23.0,25,12,142.613666,44.516535
12.39,21,0001,None,None,0,08,00,2,133,None,99210001100001,None,21110010,0110,None,99.0,25,12,142.605305,44.5339
12.27,21,0011,None,None,0,08,00,2,133,None,99210001100011,None,21110110,0110,None,99.0,25,12,142.608387,44.512533
1.19,21,0029,None,85.0,0,08,00,2,133,None,99210001100029,None,21110290,0110,75.0,99.0,25,26,142.599092,44.502696
13.37,21,0028,None,None,0,08,00,2,133,None,99210001100028,None,21110280,0110,85.0,99.0,25,26,142.600551,44.504917
25.15,21,0003,None,None,0,08,00,2,133,None,99210001100003,None,21110030,0110,None,99.0,25,12,142.604421,44.529852
1.58,21,0027,None,None,0,08,00,2,133,None,99210001100027,None,21110270,0110,85.0,99.0,25,26,142.604438,44.506696
26.0,21,0051,None,None,0,08,00,1,55,None,99210001100051,None,21110510,0110,None,23.0,25,12,142.607618,44.528562
12.27,21,0011,None,None,0,08,00,2,133,None,99210001100011,None,21110110,0110,None,99.0,25,12,142.60715,44.507988
46.45,21,0002,None,None,0,08,00,2,133,None,99210001100002,None,21110020,0110,None,99.0,25,12,142.605522,44.524948
9.53,21,0012,None,None,0,08,00,2,133,None,99210001100012,None,21110120,0110,None,99.0,25,12,142.605193,44.512858
8.92,21,0009,None,None,0,08,00,2,133,None,99210001100009,None,21110090,0110,None,99.0,25,12,142.621798,44.517883
20.31,21,0052,None,None,0,08,00,1,55,None,99210001100052,None,21110520,0110,None,26.0,25,12,142.61247,44.524045
13.02,21,0014,None,None,0,08,00,2,133,None,99210001100014,None,21110140,0110,None,99.0,25,12,142.606929,44.518712
11.64,21,0006,None,None,0,08,00,2,133,None,99210001100006,None,21110060,0110,None,39.0,25,12,142.617778,44.517469
56.61,21,0054,None,None,0,08,00,1,54,None,99210001100054,None,21110540,0110,None,26.0,25,12,142.609229,44.518467
8.54,21,0004,None,None,0,08,00,2,133,None,99210001100004,None,21110040,0110,None,99.0,25,12,142.617775,44.520381
