city,geojson_url,source_page
札幌市中央区,https://www.geospatial.jp/ckan/dataset/d3d3d515-82ef-4f9a-9c4c-37e36adfb0ef/resource/c595c169-a9f6-4a38-a56e-a429f5b4f25a/download/01101__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01101
札幌市北区,https://www.geospatial.jp/ckan/dataset/6ef069e6-9877-4003-8960-146f41a2a7d2/resource/de40e36a-cee2-4813-bce9-114617db0f23/download/01102__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01102
札幌市東区,https://www.geospatial.jp/ckan/dataset/b9f4c72f-c250-4419-965e-025450f2d509/resource/86225591-d505-4d1f-8787-b8d66c5101a2/download/01103__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01103
札幌市白石区,https://www.geospatial.jp/ckan/dataset/8ed20d8c-e5ef-44f7-b0d0-a0501093df16/resource/36d40697-688e-46e1-917c-ad7ef240e2fd/download/01104__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01104
札幌市豊平区,https://www.geospatial.jp/ckan/dataset/2c5b17a1-d289-4e7f-bb5d-983c6ab9fb73/resource/4587e2e9-a66b-4461-a00e-c3db824f548b/download/01105__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01105
札幌市南区,https://www.geospatial.jp/ckan/dataset/72cca482-5fa3-4940-9157-d94207869dab/resource/88a09a1e-16f4-4dd3-a803-a68522c5bdc5/download/01106__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01106
札幌市西区,https://www.geospatial.jp/ckan/dataset/a3bf5c31-39ff-474f-b5a0-07b8093b9872/resource/37e53c8d-0e95-490d-85fb-08ed91b78b9c/download/01107__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01107
札幌市厚別区,https://www.geospatial.jp/ckan/dataset/88074ee3-9a0a-47fe-be75-7d6fc817d6ff/resource/3d52f4db-3b57-474a-bfa5-6c084e6470e3/download/01108__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01108
札幌市手稲区,https://www.geospatial.jp/ckan/dataset/00c0dc2a-1c17-4528-a581-c0ee35a94bd4/resource/df8ddf10-03bb-429c-a398-f813a96fce4e/download/01109__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01109
札幌市清田区,https://www.geospatial.jp/ckan/dataset/17ac94e3-92e9-4a30-a510-e512cc22cf52/resource/e3077280-8747-4742-aba6-5921878d802f/download/01110__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01110
函館市,https://www.geospatial.jp/ckan/dataset/decab247-069e-48b1-8391-b35993ed838f/resource/2290219a-dc6b-49c5-9375-6bb8d9c39f5f/download/01202__11_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01202
小樽市,https://www.geospatial.jp/ckan/dataset/75869b1b-fb37-45c0-8f21-7d4b558afb57/resource/7ade8d3d-6b16-4bce-8fb2-9f1b81f4a3db/download/01203__11_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01203
旭川市,https://www.geospatial.jp/ckan/dataset/9dea65b9-7c44-4b3e-a87d-9b425f68e178/resource/84aa240b-51c1-4682-9f7d-b2433336e341/download/01204__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01204
室蘭市,https://www.geospatial.jp/ckan/dataset/40d37112-e287-4591-a9dd-02a2080ecf27/resource/c75359dd-3e58-47d0-bb04-4af7db3ae8a9/download/01205__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01205
釧路市,https://www.geospatial.jp/ckan/dataset/41bdc071-88e0-44c6-a232-7a99e48697a6/resource/ced019a0-f0c5-4deb-b75f-1d5fe4995343/download/01206__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01206
帯広市,https://www.geospatial.jp/ckan/dataset/9c18d559-14e8-475d-9f62-befe2982175a/resource/49ca1214-9e96-4ea9-b2c0-b1af292c9e6c/download/01207__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01207
北見市,https://www.geospatial.jp/ckan/dataset/a2048955-35a6-4057-9f06-22aad689ba4d/resource/bf1d1fc7-b4cc-4af2-bc22-8a083b2b7541/download/01208__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01208
夕張市,https://www.geospatial.jp/ckan/dataset/79e03e3d-c9fd-4442-b3db-744ce79fd0c3/resource/5bf1958b-eec4-484c-abd6-b14277106591/download/01209__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01209
岩見沢市,https://www.geospatial.jp/ckan/dataset/ecbd6731-3ecd-43d9-b3d7-9d0d43adb7e0/resource/a5b84012-d332-4b7e-bc34-fb0f0b1b1a0c/download/01210__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01210
網走市,https://www.geospatial.jp/ckan/dataset/91270165-a525-4eff-ad2f-a425695eda2a/resource/bb128920-27f9-4e64-b815-1e3cd00a48a9/download/01211__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01211
留萌市,https://www.geospatial.jp/ckan/dataset/609503b7-43b3-4fb2-979f-997fe42851c6/resource/2b7fa0fb-e807-4b5b-b689-e777d98607a6/download/01212__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01212
