市区町村名,地番,大字名,丁目名,center_lng,center_lat
上川郡東川町,1615-11,,,142.678288,43.629928
上川郡東川町,3829-3,,,142.686865,43.631023
上川郡東川町,1418-2,,,142.689727,43.631265
上川郡東川町,1418-3,,,142.690022,43.631404
上川郡東川町,1046-26,,,142.6882,43.632029
上川郡東川町,1046-7,,,142.687636,43.631455
上川郡東川町,1046-44,,,142.686532,43.631606
上川郡東川町,1046-42,,,142.686209,43.63135
上川郡東川町,1046-43,,,142.686483,43.631484
上川郡東川町,1046-34,,,142.686823,43.631495
上川郡東川町,1046-28,,,142.686052,43.63163
上川郡東川町,1046-8,,,142.686461,43.631718
上川郡東川町,1046-9,,,142.686977,43.631824
上川郡東川町,1046-27,,,142.686927,43.631975
上川郡東川町,1046-12,,,142.685388,43.631658
上川郡東川町,1046-11,,,142.684669,43.63148
上川郡東川町,1046-6,,,142.683677,43.631735
上川郡東川町,1046-39,,,142.685273,43.631524
上川郡東川町,1046-23,,,142.684772,43.63141
上川郡東川町,1046-41,,,142.685633,43.631304
上川郡東川町,1046-10,,,142.684047,43.631348
上川郡東川町,3829-4,,,142.684804,43.631019
上川郡東川町,3829-5,,,142.686092,43.631027
上川郡東川町,1046-40,,,142.683244,43.630899
上川郡東川町,3829-2,,,142.683845,43.630691
上川郡東川町,1048-5,,,142.682017,43.630717
上川郡東川町,1048-11,,,142.681908,43.631098
上川郡東川町,1048-16,,,142.681955,43.631082
上川郡東川町,1048-17,,,142.681739,43.631085
上川郡東川町,1048-9,,,142.68182,43.631023
上川郡東川町,1048-14,,,142.681986,43.631013
上川郡東川町,1048-10,,,142.681365,43.631046
上川郡東川町,1048-15,,,142.680956,43.631009
上川郡東川町,1615-4,,,142.677669,43.630457
上川郡東川町,3829-1,,,142.678115,43.630905
上川郡東川町,1614-7,,,142.677922,43.63102
上川郡東川町,1614-5,,,142.679223,43.631029
上川郡東川町,1614-6,,,142.678435,43.630933
上川郡東川町,1614-8,,,142.678541,43.63096
上川郡東川町,1614-4,,,142.679325,43.630931
上川郡東川町,1614-3,,,142.67948,43.630804
上川郡東川町,1048-19,,,142.681076,43.630709
上川郡東川町,1048-8,,,142.680131,43.631016
上川郡東川町,1048-6,,,142.679997,43.630966
上川郡東川町,1048-13,,,142.680465,43.631032
上川郡東川町,1048-12,,,142.679865,43.631105
上川郡東川町,1048-7,,,142.679469,43.63104
上川郡東川町,1048-18,,,142.681029,43.631382
上川郡東川町,1614-2,,,142.677736,43.631298
上川郡東川町,1048-20,,,142.67579,43.63182
上川郡東川町,1048-22,,,142.678942,43.631917
上川郡東川町,1048-23,,,142.680402,43.632013
上川郡東川町,1046-35,,,142.680577,43.631997
上川郡東川町,1046-24,,,142.6811,43.631918
上川郡東川町,1046-20,,,142.68173,43.631426
上川郡東川町,1048-4,,,142.681918,43.63113
上川郡東川町,1046-21,,,142.682193,43.631345
上川郡東川町,1046-33,,,142.682008,43.631147
上川郡東川町,1046-31,,,142.682683,43.631212
上川郡東川町,1046-30,,,142.683404,43.631278
上川郡東川町,1046-29,,,142.682756,43.631139
上川郡東川町,1046-38,,,142.68345,43.63132
上川郡東川町,1046-37,,,142.683743,43.631315
上川郡東川町,1046-36,,,142.683808,43.631309
上川郡東川町,1046-32,,,142.683508,43.631386
上川郡東川町,1046-22,,,142.681909,43.63168
上川郡東川町,1048-1,,,142.67755,43.632296
上川郡東川町,1046-15,,,142.680618,43.633188
上川郡東川町,1613-1,,,142.677515,43.633206
上川郡東川町,1046-16,,,142.679165,43.63372
上川郡東川町,1046-14,,,142.682218,43.633378
上川郡東川町,1046-5,,,142.686957,43.633767
上川郡東川町,1046-13,,,142.684149,43.633499
上川郡東川町,1418-4,,,142.691742,43.633141
上川郡東川町,1046-2,,,142.681018,43.634325
上川郡東川町,1046-18,,,142.684817,43.634908
上川郡東川町,1046-17,,,142.679987,43.63453
上川郡東川町,1046-19,,,142.680674,43.635034
上川郡東川町,無地番-67,,,142.67781,43.636056
