市区町村名,地番,大字名,丁目名,center_lng,center_lat
士別市,6149-2,朝日町茂志利,,142.722793,44.015505
士別市,6149-1,朝日町茂志利,,142.72253,44.014171
士別市,6150-2,朝日町茂志利,,142.721358,44.014993
士別市,6150-3,朝日町茂志利,,142.721261,44.01475
士別市,7337,朝日町茂志利,,142.721247,44.01392
士別市,6148-2,朝日町茂志利,,142.720495,44.015243
士別市,6146,朝日町茂志利,,142.720784,44.016196
士別市,6147,朝日町茂志利,,142.72095,44.015763
士別市,6144,朝日町茂志利,,142.721711,44.016108
士別市,6143,朝日町茂志利,,142.721726,44.017085
士別市,7376,朝日町茂志利,,142.715875,44.019564
士別市,7375,朝日町茂志利,,142.715862,44.020102
士別市,6121-1,朝日町茂志利,,142.713134,44.022985
士別市,7326,朝日町茂志利,,142.71075,44.02396
士別市,6122-1,朝日町茂志利,,142.712319,44.022486
士別市,6123-5,朝日町茂志利,,142.711406,44.022365
士別市,6123-6,朝日町茂志利,,142.711598,44.021977
士別市,6122-2,朝日町茂志利,,142.712186,44.021486
士別市,6121-2,朝日町茂志利,,142.713217,44.022346
士別市,6126-2,朝日町茂志利,,142.713157,44.021899
士別市,6122-3,朝日町茂志利,,142.713112,44.022182
士別市,6126-17,朝日町茂志利,,142.71305,44.021793
士別市,6127-7,朝日町茂志利,,142.712514,44.02108
士別市,6127-5,朝日町茂志利,,142.712547,44.020791
士別市,6128-4,朝日町茂志利,,142.711813,44.020224
士別市,6127-8,朝日町茂志利,,142.713349,44.020474
士別市,6126-9,朝日町茂志利,,142.713247,44.020707
士別市,6126-3,朝日町茂志利,,142.713258,44.02076
士別市,6127-12,朝日町茂志利,,142.712824,44.020856
士別市,6126-7,朝日町茂志利,,142.712369,44.021348
士別市,6126-12,朝日町茂志利,,142.712667,44.021426
士別市,6126-13,朝日町茂志利,,142.713253,44.021173
士別市,6126-11,朝日町茂志利,,142.7138,44.020513
士別市,7381,朝日町茂志利,,142.714212,44.021462
士別市,7380,朝日町茂志利,,142.715495,44.020191
士別市,6126-1,朝日町茂志利,,142.71427,44.020189
士別市,6126-8,朝日町茂志利,,142.713978,44.020186
士別市,6127-11,朝日町茂志利,,142.71392,44.020049
士別市,6127-10,朝日町茂志利,,142.713836,44.020122
士別市,6127-9,朝日町茂志利,,142.714128,44.019914
士別市,7327-2,朝日町茂志利,,142.714405,44.019717
士別市,6126-10,朝日町茂志利,,142.714568,44.019607
士別市,6126-15,朝日町茂志利,,142.714586,44.019867
士別市,6126-4,朝日町茂志利,,142.714822,44.019857
士別市,6126-16,朝日町茂志利,,142.714786,44.019693
士別市,6126-5,朝日町茂志利,,142.715044,44.019273
士別市,6127-4,朝日町茂志利,,142.714367,44.019012
士別市,6127-3,朝日町茂志利,,142.713674,44.019745
士別市,6127-1,朝日町茂志利,,142.712726,44.019233
士別市,6127-2,朝日町茂志利,,142.713715,44.020112
士別市,6128-3,朝日町茂志利,,142.711826,44.019395
