小字名,市区町村名,地番,大字名,丁目名,center_lng,center_lat
字幌内,夕張郡長沼町,2312-15,,,141.741899,42.926056
字幌内,夕張郡長沼町,2312-13,,,141.742349,42.926178
字幌内,夕張郡長沼町,2312-14,,,141.741827,42.926697
字幌内,夕張郡長沼町,2311-15,,,141.742035,42.927618
字幌内,夕張郡長沼町,2312-17,,,141.742024,42.927521
字幌内,夕張郡長沼町,2312-2,,,141.741708,42.927279
字幌内,夕張郡長沼町,2312-16,,,141.74213,42.92752
字幌内,夕張郡長沼町,2312-10,,,141.742637,42.927549
字幌内,夕張郡長沼町,2312-1,,,141.74262,42.927245
字幌内,夕張郡長沼町,2312-12,,,141.742438,42.926668
字幌内,夕張郡長沼町,2311-16,,,141.744154,42.929561
字幌内,夕張郡長沼町,2273-4,,,141.744575,42.930479
字幌内,夕張郡長沼町,2273-6,,,141.743964,42.930249
字幌内,夕張郡長沼町,2273-3,,,141.743899,42.930453
字幌内,夕張郡長沼町,2278-1,,,141.745629,42.930934
字幌内,夕張郡長沼町,2278-7,,,141.746757,42.930985
字幌内,夕張郡長沼町,2278-4,,,141.745498,42.931875
字幌内,夕張郡長沼町,1720-96,,,141.745838,42.93398
字幌内,夕張郡長沼町,2278-6,,,141.746046,42.932642
字幌内,夕張郡長沼町,1720-136,,,141.744489,42.933528
字幌内,夕張郡長沼町,2281-9,,,141.744625,42.93263
字幌内,夕張郡長沼町,2281-1,,,141.743892,42.932449
字幌内,夕張郡長沼町,2281-3,,,141.744858,42.931461
字幌内,夕張郡長沼町,2281-11,,,141.744572,42.931616
字幌内,夕張郡長沼町,2281-12,,,141.744136,42.931364
字幌内,夕張郡長沼町,2281-8,,,141.743751,42.931728
字幌内,夕張郡長沼町,2281-17,,,141.743686,42.931538
字幌内,夕張郡長沼町,2281-7,,,141.742808,42.93158
字幌内,夕張郡長沼町,2281-10,,,141.74235,42.932439
字幌内,夕張郡長沼町,2281-13,,,141.742766,42.932841
字幌内,夕張郡長沼町,2281-6,,,141.743198,42.932554
字幌内,夕張郡長沼町,2281-2,,,141.743603,42.93214
字幌内,夕張郡長沼町,2281-4,,,141.743696,42.932891
字幌内,夕張郡長沼町,1720-10,,,141.743372,42.933741
字幌内,夕張郡長沼町,1720-559,,,141.742618,42.933769
字幌内,夕張郡長沼町,1720-561,,,141.742467,42.933696
字幌内,夕張郡長沼町,1720-545,,,141.742434,42.93368
字幌内,夕張郡長沼町,1720-491,,,141.742469,42.933584
字幌内,夕張郡長沼町,1720-489,,,141.742501,42.933601
字幌内,夕張郡長沼町,1720-490,,,141.742447,42.933548
字幌内,夕張郡長沼町,1720-259,,,141.742589,42.933223
字幌内,夕張郡長沼町,1720-139,,,141.742596,42.933324
字幌内,夕張郡長沼町,2281-5,,,141.743105,42.932928
