市区町村名,地番,大字名,丁目名,center_lng,center_lat
岩見沢市,196-1,,,141.831534,42.948097
岩見沢市,1200-1,栗沢町茂世丑,,141.831453,43.111953
岩見沢市,1245-1,栗沢町茂世丑,,141.835263,43.114967
岩見沢市,1202-2,栗沢町茂世丑,,141.83215,43.112645
岩見沢市,1202-1,栗沢町茂世丑,,141.831354,43.11271
岩見沢市,1207,栗沢町茂世丑,,141.831355,43.113673
岩見沢市,1216,栗沢町茂世丑,,141.830807,43.113499
岩見沢市,1204,栗沢町茂世丑,,141.832817,43.113489
岩見沢市,1243,栗沢町茂世丑,,141.83198,43.114563
岩見沢市,1206,栗沢町茂世丑,,141.8317,43.114371
岩見沢市,1205-2,栗沢町茂世丑,,141.831708,43.115469
岩見沢市,1205-1,栗沢町茂世丑,,141.833843,43.113894
岩見沢市,1205-3,栗沢町茂世丑,,141.833409,43.114948
岩見沢市,2661,栗沢町茂世丑,,141.834305,43.11642
岩見沢市,695-2,栗沢町茂世丑,,141.831152,43.115924
岩見沢市,長狭物不明-1,栗沢町茂世丑,,141.831735,43.115931
岩見沢市,695-1,栗沢町茂世丑,,141.83078,43.116172
岩見沢市,707-2,栗沢町茂世丑,,141.831399,43.116953
岩見沢市,708-2,栗沢町茂世丑,,141.832582,43.116308
岩見沢市,708-3,栗沢町茂世丑,,141.831892,43.116632
岩見沢市,708-1,栗沢町茂世丑,,141.832464,43.11725
岩見沢市,692-1,栗沢町茂世丑,,141.833802,43.117468
岩見沢市,692-4,栗沢町茂世丑,,141.837108,43.117736
岩見沢市,691-1,栗沢町茂世丑,,141.834815,43.117043
岩見沢市,691-3,栗沢町茂世丑,,141.833619,43.116488
岩見沢市,1245-2,栗沢町茂世丑,,141.83488,43.116416
岩見沢市,1245-4,栗沢町茂世丑,,141.834247,43.116101
岩見沢市,1245-3,栗沢町茂世丑,,141.835168,43.116566
岩見沢市,691-2,栗沢町茂世丑,,141.836704,43.116925
岩見沢市,1245-5,栗沢町茂世丑,,141.837172,43.116097
