小字名,市区町村名,地番,center_lng,center_lat
字拓殖,常呂郡置戸町,403-9,143.617924,43.60785
字拓殖,常呂郡置戸町,307-4,143.623208,43.616513
字拓殖,常呂郡置戸町,403-1,143.616624,43.611262
字拓殖,常呂郡置戸町,283-10,143.614509,43.617516
字拓殖,常呂郡置戸町,283-12,143.613172,43.615362
字拓殖,常呂郡置戸町,283-13,143.612062,43.611471
字拓殖,常呂郡置戸町,403-8,143.616418,43.607771
字拓殖,常呂郡置戸町,283-18,143.598752,43.604429
字拓殖,常呂郡置戸町,283-17,143.603273,43.604211
字拓殖,常呂郡置戸町,283-16,143.605068,43.604883
字拓殖,常呂郡置戸町,283-1,143.603522,43.608263
字拓殖,常呂郡置戸町,283-14,143.60109,43.609457
字拓殖,常呂郡置戸町,283-23,143.600265,43.61011
字拓殖,常呂郡置戸町,283-22,143.600314,43.608437
字拓殖,常呂郡置戸町,283-26,143.60056,43.607301
字拓殖,常呂郡置戸町,283-15,143.600722,43.60669
字拓殖,常呂郡置戸町,283-19,143.596226,43.60468
字拓殖,常呂郡置戸町,283-20,143.59744,43.605626
字拓殖,常呂郡置戸町,283-21,143.596714,43.609531
字拓殖,常呂郡置戸町,283-24,143.596759,43.613028
字拓殖,常呂郡置戸町,283-25,143.599869,43.618394
字拓殖,常呂郡置戸町,283-31,143.603904,43.611714
字拓殖,常呂郡置戸町,283-30,143.610802,43.616443
字拓殖,常呂郡置戸町,283-3,143.604543,43.615971
字拓殖,常呂郡置戸町,283-2,143.600546,43.611536
字拓殖,常呂郡置戸町,283-28,143.604786,43.620437
字拓殖,常呂郡置戸町,283-11,143.605152,43.621828
字拓殖,常呂郡置戸町,306-3,143.606719,43.621882
字拓殖,常呂郡置戸町,水-6,143.606476,43.623036
字拓殖,常呂郡置戸町,300-1,143.604631,43.623989
字拓殖,常呂郡置戸町,300-5,143.604452,43.62346
字拓殖,常呂郡置戸町,283-27,143.601936,43.619261
字拓殖,常呂郡置戸町,283-9,143.597141,43.616791
字拓殖,常呂郡置戸町,300-4,143.601978,43.624909
字拓殖,常呂郡置戸町,道-3,143.602347,43.624726
字拓殖,常呂郡置戸町,道-73,143.578942,43.638877
字拓殖,常呂郡置戸町,286-2,143.579195,43.638565
字拓殖,常呂郡置戸町,383-3,143.57939,43.638402
字拓殖,常呂郡置戸町,290-2,143.576555,43.64081
字拓殖,常呂郡置戸町,水-62,143.577078,43.640626
字拓殖,常呂郡置戸町,377,143.574165,43.642743
字拓殖,常呂郡置戸町,378-1,143.576625,43.641629
字拓殖,常呂郡置戸町,449,143.576823,43.64153
字拓殖,常呂郡置戸町,376-1,143.575935,43.642969
字拓殖,常呂郡置戸町,道-94,143.575851,43.642119
