市区町村名,地番,大字名,丁目名,center_lng,center_lat
恵庭市,道-47,恵南,,141.604054,42.856477
恵庭市,66-1,恵南,,141.603339,42.855889
恵庭市,85-2,恵南,,141.603229,42.855542
恵庭市,66-2,恵南,,141.603664,42.856337
恵庭市,66-3,恵南,,141.603627,42.856451
恵庭市,83,恵南,,141.603878,42.856636
恵庭市,85-1,恵南,,141.603817,42.856855
恵庭市,86-1,恵南,,141.604351,42.857103
恵庭市,65,恵南,,141.603975,42.856746
恵庭市,82,恵南,,141.604405,42.85735
恵庭市,64,恵南,,141.60445,42.857405
恵庭市,555-2,戸磯,,141.604475,42.858319
恵庭市,555-1,戸磯,,141.604957,42.858329
恵庭市,554,戸磯,,141.605172,42.858904
恵庭市,555-4,戸磯,,141.604938,42.85856
恵庭市,555-3,戸磯,,141.604726,42.858478
恵庭市,552,戸磯,,141.604221,42.859189
恵庭市,553-1,戸磯,,141.605327,42.860124
恵庭市,道-37,戸磯,,141.60842,42.863133
恵庭市,542-17,戸磯,,141.608309,42.863603
恵庭市,432-3,戸磯,,141.609004,42.864209
恵庭市,432-1,戸磯,,141.609088,42.864719
恵庭市,428-3,戸磯,,141.609778,42.865282
恵庭市,435-9,戸磯,,141.608747,42.865814
恵庭市,432-2,戸磯,,141.608876,42.864986
恵庭市,542-14,戸磯,,141.607835,42.864793
恵庭市,542-4,戸磯,,141.607601,42.864904
恵庭市,長狭物不明-25,戸磯,,141.607573,42.865173
恵庭市,433-1,戸磯,,141.608437,42.865107
恵庭市,542-6,戸磯,,141.60647,42.865784
恵庭市,542-15,戸磯,,141.606823,42.865639
恵庭市,542-5,戸磯,,141.606523,42.865842
恵庭市,542-1,戸磯,,141.605074,42.863588
恵庭市,542-16,戸磯,,141.600604,42.861189
恵庭市,21-22,恵南,,141.600037,42.861095
恵庭市,21-23,恵南,,141.599877,42.860982
恵庭市,21-11,恵南,,141.599643,42.861158
恵庭市,21-10,恵南,,141.599804,42.861272
恵庭市,21-164,恵南,,141.599621,42.861471
恵庭市,道-48,戸磯,,141.599653,42.861704
恵庭市,581-45,戸磯,,141.599661,42.861902
恵庭市,581-44,戸磯,,141.600353,42.862764
恵庭市,581-50,戸磯,,141.599721,42.862913
恵庭市,542-12,戸磯,,141.602332,42.865101
恵庭市,573-34,戸磯,,141.601957,42.865146
恵庭市,1003,戸磯,,141.601819,42.864642
恵庭市,573-41,戸磯,,141.600169,42.8654
恵庭市,573-40,戸磯,,141.59965,42.864627
恵庭市,573-39,戸磯,,141.600853,42.864676
恵庭市,581-51,戸磯,,141.599811,42.863626
恵庭市,581-42,戸磯,,141.598401,42.863662
恵庭市,584-4,戸磯,,141.597979,42.863677
恵庭市,581-46,戸磯,,141.598322,42.864169
恵庭市,573-1,戸磯,,141.598973,42.865364
恵庭市,649,戸磯,,141.5982,42.865268
恵庭市,592-2,戸磯,,141.596179,42.865502
恵庭市,592-1,戸磯,,141.596507,42.864474
恵庭市,581-43,戸磯,,141.597392,42.86407
恵庭市,道-39,戸磯,,141.596723,42.864344
恵庭市,584-7,戸磯,,141.597349,42.863905
恵庭市,584-5,戸磯,,141.597506,42.863925
恵庭市,584-2,戸磯,,141.597594,42.863731
恵庭市,15-2,恵南,,141.596782,42.86366
恵庭市,17-12,恵南,,141.596831,42.863622
恵庭市,長狭物不明-31,戸磯,,141.597123,42.863964
恵庭市,16-3,恵南,,141.596139,42.864135
恵庭市,15-1,恵南,,141.595964,42.863242
恵庭市,17-5,恵南,,141.596624,42.862719
恵庭市,17-7,恵南,,141.597317,42.862567
恵庭市,17-6,恵南,,141.597112,42.862444
恵庭市,17-10,恵南,,141.597715,42.862954
恵庭市,17-11,恵南,,141.597741,42.862933
恵庭市,1480-3,戸磯,,141.599216,42.861885
恵庭市,17-9,恵南,,141.597684,42.862978
恵庭市,17-8,恵南,,141.596901,42.863571
恵庭市,584-3,戸磯,,141.59784,42.863442
恵庭市,584-6,戸磯,,141.598254,42.863437
恵庭市,581-49,戸磯,,141.599057,42.862966
恵庭市,581-48,戸磯,,141.598677,42.86315
恵庭市,581-41,戸磯,,141.59959,42.862372
恵庭市,581-47,戸磯,,141.599486,42.862057
恵庭市,18-2,恵南,,141.598305,42.862508
恵庭市,1480-2,戸磯,,141.599421,42.861712
恵庭市,21-2,恵南,,141.599472,42.861529
恵庭市,21-3,恵南,,141.599338,42.861394
恵庭市,21-4,恵南,,141.599187,42.861273
恵庭市,21-12,恵南,,141.59945,42.861104
恵庭市,21-13,恵南,,141.599423,42.861001
恵庭市,21-170,恵南,,141.599369,42.86096
恵庭市,21-5,恵南,,141.599035,42.861151
恵庭市,21-6,恵南,,141.598885,42.861031
恵庭市,18-1,恵南,,141.597162,42.861037
恵庭市,22-14,恵南,,141.597814,42.860133
恵庭市,22-15,恵南,,141.596806,42.859177
恵庭市,23-19,恵南,,141.596679,42.859059
恵庭市,24-285,恵南,,141.596476,42.859149
恵庭市,24-290,恵南,,141.596148,42.859198
恵庭市,24-289,恵南,,141.596321,42.859008
恵庭市,23-21,恵南,,141.596454,42.858935
恵庭市,24-284,恵南,,141.596125,42.858831
恵庭市,23-15,恵南,,141.596254,42.858677
恵庭市,23-14,恵南,,141.59662,42.858539
恵庭市,23-25,恵南,,141.596547,42.858473
恵庭市,23-5,恵南,,141.596876,42.858674
恵庭市,23-28,恵南,,141.596937,42.858887
恵庭市,23-27,恵南,,141.596774,42.858738
恵庭市,23-4,恵南,,141.596711,42.85878
恵庭市,23-3,恵南,,141.596557,42.858873
恵庭市,23-6,恵南,,141.59687,42.858927
恵庭市,22-17,恵南,,141.598054,42.859393
恵庭市,22-12,恵南,,141.597261,42.859609
恵庭市,22-2,恵南,,141.59873,42.859261
恵庭市,21-83,恵南,,141.598694,42.859646
恵庭市,22-16,恵南,,141.597861,42.858651
恵庭市,21-74,恵南,,141.599353,42.859255
恵庭市,21-86,恵南,,141.599142,42.859432
恵庭市,21-84,恵南,,141.598877,42.859511
恵庭市,21-85,恵南,,141.599009,42.859607
恵庭市,21-70,恵南,,141.599356,42.859564
恵庭市,21-64,恵南,,141.599452,42.859619
恵庭市,21-63,恵南,,141.599553,42.859706
恵庭市,21-51,恵南,,141.599259,42.859847
恵庭市,21-50,恵南,,141.599482,42.860007
恵庭市,21-41,恵南,,141.599456,42.860277
恵庭市,21-42,恵南,,141.599355,42.860187
恵庭市,21-43,恵南,,141.599232,42.860117
恵庭市,21-44,恵南,,141.599133,42.860029
恵庭市,21-32,恵南,,141.598853,42.860246
恵庭市,21-33,恵南,,141.598753,42.860157
恵庭市,21-45,恵南,,141.599033,42.859941
恵庭市,21-68,恵南,,141.598934,42.859886
恵庭市,21-69,恵南,,141.599117,42.859746
恵庭市,21-82,恵南,,141.598827,42.859742
恵庭市,21-81,恵南,,141.59855,42.859712
恵庭市,21-80,恵南,,141.598572,42.859932
恵庭市,21-79,恵南,,141.598474,42.859808
恵庭市,21-78,恵南,,141.59822,42.859998
恵庭市,22-13,恵南,,141.597984,42.860297
恵庭市,22-11,恵南,,141.59812,42.860163
恵庭市,21-66,恵南,,141.598417,42.860278
恵庭市,21-77,恵南,,141.598349,42.860098
恵庭市,21-67,恵南,,141.59865,42.860102
恵庭市,21-21,恵南,,141.598498,42.860352
恵庭市,21-20,恵南,,141.598621,42.860423
恵庭市,21-65,恵南,,141.598241,42.860515
恵庭市,21-9,恵南,,141.598429,42.860666
恵庭市,21-8,恵南,,141.598588,42.860792
恵庭市,21-7,恵南,,141.598738,42.860912
恵庭市,21-16,恵南,,141.599067,42.860743
恵庭市,21-17,恵南,,141.598956,42.860663
恵庭市,21-18,恵南,,141.598843,42.860583
恵庭市,21-19,恵南,,141.598731,42.860502
恵庭市,21-31,恵南,,141.598963,42.860325
恵庭市,21-30,恵南,,141.599074,42.860404
恵庭市,21-28,恵南,,141.599286,42.860574
恵庭市,21-29,恵南,,141.599197,42.860477
恵庭市,21-52,恵南,,141.598904,42.859825
恵庭市,21-26,恵南,,141.599519,42.860724
恵庭市,21-27,恵南,,141.599419,42.860635
恵庭市,21-15,恵南,,141.599177,42.860821
恵庭市,21-14,恵南,,141.599286,42.860901
恵庭市,21-24,恵南,,141.599799,42.860841
恵庭市,21-25,恵南,,141.59963,42.860804
恵庭市,21-34,恵南,,141.600319,42.860879
恵庭市,21-46,恵南,,141.600421,42.860681
恵庭市,21-35,恵南,,141.60016,42.860766
恵庭市,21-36,恵南,,141.600024,42.860669
恵庭市,21-47,恵南,,141.600116,42.86046
恵庭市,21-48,恵南,,141.599919,42.860318
恵庭市,21-37,恵南,,141.599913,42.860587
恵庭市,21-38,恵南,,141.599802,42.860507
恵庭市,21-39,恵南,,141.599691,42.860428
恵庭市,21-40,恵南,,141.59958,42.860349
恵庭市,21-49,恵南,,141.599707,42.860167
恵庭市,21-89,恵南,,141.599855,42.860129
恵庭市,21-154,恵南,,141.600003,42.86005
恵庭市,21-62,恵南,,141.599662,42.859786
恵庭市,21-155,恵南,,141.599797,42.859901
恵庭市,21-171,恵南,,141.599918,42.859987
恵庭市,21-158,恵南,,141.600024,42.859684
恵庭市,21-157,恵南,,141.600272,42.859864
恵庭市,21-156,恵南,,141.600386,42.860137
恵庭市,21-153,恵南,,141.60012,42.860137
恵庭市,21-176,恵南,,141.60024,42.860222
恵庭市,21-174,恵南,,141.600359,42.860309
恵庭市,21-173,恵南,,141.600803,42.860224
恵庭市,21-128,恵南,,141.600876,42.859995
恵庭市,21-175,恵南,,141.600581,42.860084
恵庭市,21-91,恵南,,141.600652,42.859837
恵庭市,21-165,恵南,,141.600781,42.859738
恵庭市,21-104,恵南,,141.600847,42.859676
恵庭市,21-90,恵南,,141.600775,42.859924
恵庭市,21-105,恵南,,141.600977,42.859817
恵庭市,21-137,恵南,,141.601096,42.859905
恵庭市,21-162,恵南,,141.601335,42.860141
恵庭市,21-106,恵南,,141.601236,42.860008
恵庭市,21-87,恵南,,141.600944,42.860044
恵庭市,21-76,恵南,,141.601106,42.860163
恵庭市,21-172,恵南,,141.600971,42.860363
恵庭市,21-152,恵南,,141.600513,42.860371
恵庭市,21-53,恵南,,141.600672,42.860531
恵庭市,道-38,戸磯,,141.603399,42.858673
恵庭市,21-88,恵南,,141.601466,42.859957
恵庭市,21-71,恵南,,141.601703,42.859596
恵庭市,21-109,恵南,,141.601382,42.859345
恵庭市,21-166,恵南,,141.6014,42.859168
恵庭市,22-10,恵南,,141.601836,42.859053
恵庭市,21-168,恵南,,141.601325,42.859169
恵庭市,21-126,恵南,,141.601232,42.859316
恵庭市,21-72,恵南,,141.601225,42.859768
恵庭市,21-112,恵南,,141.600986,42.859677
恵庭市,21-123,恵南,,141.600906,42.859578
恵庭市,21-167,恵南,,141.601015,42.859384
恵庭市,21-169,恵南,,141.600764,42.859669
恵庭市,21-1,恵南,,141.600655,42.859328
恵庭市,21-94,恵南,,141.600272,42.859564
恵庭市,21-136,恵南,,141.600209,42.859519
恵庭市,21-98,恵南,,141.599757,42.859511
恵庭市,21-96,恵南,,141.599977,42.859355
恵庭市,21-97,恵南,,141.599847,42.859264
恵庭市,22-1,恵南,,141.599313,42.858484
恵庭市,水-11,恵南,,141.59533,42.857199
恵庭市,23-1,恵南,,141.598124,42.857655
恵庭市,23-26,恵南,,141.597086,42.858088
恵庭市,1020,,,141.577896,42.833746
恵庭市,水-2,,,141.578594,42.843647
恵庭市,911,,,141.57782,42.844018
恵庭市,1073-1,,,141.574803,42.844151
恵庭市,951,,,141.576548,42.84441
恵庭市,1029,,,141.577318,42.843089
恵庭市,943,,,141.571094,42.841254
恵庭市,588,,,141.572219,42.84274
恵庭市,1021,,,141.575287,42.842348
恵庭市,1022,,,141.573725,42.842999
恵庭市,1073-2,,,141.573091,42.845709
恵庭市,1074,,,141.571192,42.844422
恵庭市,水-3,,,141.570282,42.842308
恵庭市,940,,,141.569177,42.838782
恵庭市,941,,,141.571258,42.839079
恵庭市,942,,,141.573017,42.83929
恵庭市,道-13,,,141.573463,42.841153
恵庭市,937,,,141.573557,42.836938
恵庭市,936,,,141.571712,42.836668
恵庭市,道-8,,,141.571686,42.837893
恵庭市,935,,,141.569714,42.836406
恵庭市,930,,,141.570122,42.834109
恵庭市,927,,,141.574812,42.83274
恵庭市,931,,,141.572154,42.834395
恵庭市,932,,,141.574087,42.834665
恵庭市,899,,,141.579154,42.830525
恵庭市,1320,,,141.579999,42.830532
恵庭市,898,,,141.566273,42.832087
恵庭市,929,,,141.567963,42.833825
