市区町村名,地番,大字名,丁目名,center_lng,center_lat
斜里郡小清水町,640-13,字水上,,144.511721,43.771019
斜里郡小清水町,674-13,字水上,,144.512055,43.765938
斜里郡小清水町,675-10,字水上,,144.512159,43.766021
斜里郡小清水町,676-7,字水上,,144.512598,43.761013
斜里郡小清水町,676-8,字水上,,144.509426,43.758381
斜里郡小清水町,676-2,字水上,,144.509756,43.762726
斜里郡小清水町,676-3,字水上,,144.51112,43.760004
斜里郡小清水町,676-1,字水上,,144.507611,43.761353
斜里郡小清水町,674-16,字水上,,144.50759,43.763295
斜里郡小清水町,676-9,字水上,,144.505703,43.761088
斜里郡小清水町,677-2,字水上,,144.505768,43.758573
斜里郡小清水町,676-10,字水上,,144.505896,43.758904
斜里郡小清水町,676-11,字水上,,144.505933,43.758296
斜里郡小清水町,676-4,字水上,,144.506047,43.758284
斜里郡小清水町,676-6,字水上,,144.506544,43.758301
斜里郡小清水町,676-5,字水上,,144.506269,43.758786
斜里郡小清水町,677-3,字水上,,144.502855,43.758077
斜里郡小清水町,678-13,字水上,,144.502621,43.75857
斜里郡小清水町,678-9,字水上,,144.503092,43.76299
斜里郡小清水町,678-8,字水上,,144.502346,43.762909
斜里郡小清水町,671-2,字水上,,144.502572,43.763063
斜里郡小清水町,678-14,字水上,,144.501506,43.762921
斜里郡小清水町,677-1,字水上,,144.503638,43.761081
斜里郡小清水町,678-15,字水上,,144.501985,43.762885
斜里郡小清水町,678-10,字水上,,144.50082,43.762832
斜里郡小清水町,678-7,字水上,,144.500846,43.762891
斜里郡小清水町,678-25,字水上,,144.500295,43.762867
斜里郡小清水町,678-27,字水上,,144.500195,43.762861
斜里郡小清水町,670-15,字水上,,144.500335,43.763027
斜里郡小清水町,670-18,字水上,,144.500325,43.763056
斜里郡小清水町,670-16,字水上,,144.500283,43.763038
斜里郡小清水町,669-15,字水上,,144.49984,43.763263
斜里郡小清水町,670-14,字水上,,144.499762,43.763213
斜里郡小清水町,678-2,字水上,,144.498888,43.761124
斜里郡小清水町,678-23,字水上,,144.499653,43.760689
斜里郡小清水町,678-20,字水上,,144.499641,43.760974
斜里郡小清水町,678-11,字水上,,144.499555,43.762026
斜里郡小清水町,678-1,字水上,,144.50021,43.759615
斜里郡小清水町,678-19,字水上,,144.499191,43.759346
斜里郡小清水町,681-10,字水上,,144.498854,43.759251
斜里郡小清水町,681-11,字水上,,144.498932,43.759342
斜里郡小清水町,道-6,字水上,,144.498902,43.758818
斜里郡小清水町,678-24,字水上,,144.49951,43.759033
斜里郡小清水町,678-26,字水上,,144.499467,43.758984
斜里郡小清水町,678-22,字水上,,144.499633,43.758457
斜里郡小清水町,678-18,字水上,,144.499595,43.758461
斜里郡小清水町,678-12,字水上,,144.500899,43.758865
斜里郡小清水町,678-21,字水上,,144.499725,43.757976
斜里郡小清水町,678-5,字水上,,144.499186,43.758043
斜里郡小清水町,727,字水上,,144.493856,43.756214
斜里郡小清水町,682-3,字水上,,144.499072,43.757951
斜里郡小清水町,685-3,字水上,,144.496676,43.757991
斜里郡小清水町,681-5,字水上,,144.497198,43.758178
斜里郡小清水町,681-2,字水上,,144.497042,43.758558
斜里郡小清水町,681-9,字水上,,144.498166,43.758453
斜里郡小清水町,681-1,字水上,,144.497948,43.758599
斜里郡小清水町,682-1,字水上,,144.498458,43.758245
斜里郡小清水町,681-7,字水上,,144.498803,43.75932
斜里郡小清水町,678-17,字水上,,144.498673,43.76073
斜里郡小清水町,678-16,字水上,,144.498572,43.76051
斜里郡小清水町,689-1,字水上,,144.487613,43.741098
斜里郡小清水町,687,字水上,,144.486629,43.741025
斜里郡小清水町,690-1,字水上,,144.487462,43.739661
斜里郡小清水町,687-2,字水上,,144.487151,43.741132
斜里郡小清水町,688,字水上,,144.486464,43.739952
斜里郡小清水町,道-3,字水上,,144.48732,43.741019
斜里郡小清水町,691-3,字水上,,144.487082,43.735948
斜里郡小清水町,691-1,字水上,,144.487299,43.738532
斜里郡小清水町,729,字水上,,144.485757,43.772965
斜里郡小清水町,521-1,字水上,,144.48439,43.776497
斜里郡小清水町,520-6,字水上,,144.483344,43.776736
斜里郡小清水町,520-5,字水上,,144.483337,43.77708
斜里郡小清水町,521-8,字水上,,144.483604,43.776061
斜里郡小清水町,521-6,字水上,,144.48363,43.775768
斜里郡小清水町,521-4,字水上,,144.483765,43.775537
斜里郡小清水町,521-3,字水上,,144.48374,43.775602
斜里郡小清水町,522-7,字水上,,144.483617,43.774963
斜里郡小清水町,522-4,字水上,,144.483621,43.774858
斜里郡小清水町,522-5,字水上,,144.483581,43.774802
斜里郡小清水町,521-5,字水上,,144.4837,43.774945
斜里郡小清水町,521-7,字水上,,144.483679,43.775207
斜里郡小清水町,522-6,字水上,,144.48351,43.774546
斜里郡小清水町,522-3,字水上,,144.483537,43.774344
斜里郡小清水町,511-3,字水上,,144.481532,43.775106
斜里郡小清水町,524-2,字水上,,144.478746,43.772009
斜里郡小清水町,526,字水上,,144.481249,43.771376
斜里郡小清水町,528,字水上,,144.477386,43.771479
斜里郡小清水町,529,字水上,,144.477552,43.771847
斜里郡小清水町,726,字水上,,144.477869,43.77175
斜里郡小清水町,511-2,字水上,,144.479501,43.776071
斜里郡小清水町,502-4,字水上,,144.476732,43.775692
斜里郡小清水町,511-1,字水上,,144.478037,43.775673
斜里郡小清水町,505-2,字水上,,144.475065,43.776855
斜里郡小清水町,505,字水上,,144.474005,43.774176
斜里郡小清水町,510-2,字水上,,144.477058,43.771845
斜里郡小清水町,527,字水上,,144.476629,43.771599
斜里郡小清水町,466-1,字水上,,144.473684,43.788885
斜里郡小清水町,466-2,字水上,,144.473567,43.788854
斜里郡小清水町,466-3,字水上,,144.473512,43.788915
斜里郡小清水町,462-7,字水上,,144.473548,43.79023
斜里郡小清水町,462-6,字水上,,144.473844,43.7906
斜里郡小清水町,462-1,字水上,,144.474066,43.790506
斜里郡小清水町,465-1,字水上,,144.474834,43.789104
斜里郡小清水町,465-4,字水上,,144.474296,43.789296
斜里郡小清水町,465-5,字水上,,144.474189,43.789188
斜里郡小清水町,462-8,字水上,,144.474006,43.789687
斜里郡小清水町,465-3,字水上,,144.47437,43.789461
斜里郡小清水町,462-9,字水上,,144.473962,43.789576
