小字名,市区町村名,地番,大字名,丁目名,center_lng,center_lat
字旭,様似郡様似町,174,,,143.160259,42.110205
字旭,様似郡様似町,水-1160,,,143.160211,42.082482
字旭,様似郡様似町,173,,,143.103464,42.103676
字旭,様似郡様似町,162-2,,,143.120619,42.077463
字旭,様似郡様似町,1016,,,143.125635,42.075147
字旭,様似郡様似町,162-1,,,143.124165,42.077352
字旭,様似郡様似町,161-2,,,143.114022,42.075714
字旭,様似郡様似町,161-11,,,143.110811,42.077452
字旭,様似郡様似町,161-8,,,143.109936,42.078119
字旭,様似郡様似町,161-10,,,143.112128,42.078043
字旭,様似郡様似町,162-3,,,143.117291,42.080658
字旭,様似郡様似町,水-1151,,,143.114321,42.0832
字旭,様似郡様似町,1017,,,143.114437,42.083442
字旭,様似郡様似町,162-5,,,143.115292,42.084159
字旭,様似郡様似町,162-4,,,143.115376,42.083236
字旭,様似郡様似町,163,,,143.112297,42.085031
字旭,様似郡様似町,1018,,,143.109532,42.081093
字旭,様似郡様似町,164,,,143.106455,42.082606
字旭,様似郡様似町,165-15,,,143.101013,42.083932
字旭,様似郡様似町,165-14,,,143.100105,42.083828
字旭,様似郡様似町,165-16,,,143.102027,42.08418
字旭,様似郡様似町,168-1,,,143.101795,42.085287
字旭,様似郡様似町,168-2,,,143.10084,42.085128
字旭,様似郡様似町,168-3,,,143.099636,42.0867
字旭,様似郡様似町,168-4,,,143.098721,42.085825
字旭,様似郡様似町,1021,,,143.10207,42.086924
字旭,様似郡様似町,168-5,,,143.097994,42.084954
字旭,様似郡様似町,165-13,,,143.09913,42.083926
字旭,様似郡様似町,165-12,,,143.097952,42.083785
字旭,様似郡様似町,165-5,,,143.101647,42.082511
字旭,様似郡様似町,165-4,,,143.102028,42.080924
字旭,様似郡様似町,1019,,,143.102778,42.081993
字旭,様似郡様似町,165-6,,,143.100005,42.08151
字旭,様似郡様似町,165-7,,,143.098872,42.081435
字旭,様似郡様似町,165-8,,,143.097597,42.081204
字旭,様似郡様似町,165-2,,,143.099844,42.078157
字旭,様似郡様似町,1020,,,143.102194,42.076574
字旭,様似郡様似町,165-1,,,143.101478,42.077354
字旭,様似郡様似町,165-3,,,143.100706,42.079532
字旭,様似郡様似町,161-9,,,143.108209,42.077246
字旭,様似郡様似町,161-1,,,143.098814,42.076876
字旭,様似郡様似町,161-7,,,143.100961,42.076241
字旭,様似郡様似町,161-6,,,143.098227,42.076336
字旭,様似郡様似町,160-1,,,143.087944,42.076684
字旭,様似郡様似町,160-3,,,143.087653,42.076104
字旭,様似郡様似町,160-2,,,143.089986,42.076446
字旭,様似郡様似町,1022,,,143.096589,42.080418
字旭,様似郡様似町,161-3,,,143.098446,42.078557
字旭,様似郡様似町,1025,,,143.09339,42.081434
字旭,様似郡様似町,166,,,143.093911,42.080418
字旭,様似郡様似町,161-5,,,143.095081,42.080187
字旭,様似郡様似町,165-10,,,143.093994,42.082696
字旭,様似郡様似町,161-4,,,143.094685,42.08103
字旭,様似郡様似町,165-9,,,143.095976,42.081565
字旭,様似郡様似町,165-11,,,143.096358,42.083461
字旭,様似郡様似町,水-1150,,,143.097576,42.078014
字旭,様似郡様似町,168-6,,,143.096716,42.084617
字旭,様似郡様似町,169-4,,,143.097031,42.085584
字旭,様似郡様似町,169-5,,,143.096755,42.085918
字旭,様似郡様似町,167-2,,,143.092238,42.085903
字旭,様似郡様似町,167-3,,,143.092747,42.08489
字旭,様似郡様似町,167-1,,,143.091991,42.086132
字旭,様似郡様似町,167-4,,,143.093889,42.084287
字旭,様似郡様似町,160-6,,,143.081789,42.073831
字旭,様似郡様似町,159-2,,,143.08404,42.074843
字旭,様似郡様似町,159-1,,,143.083022,42.075324
字旭,様似郡様似町,1026,,,143.082597,42.074443
字旭,様似郡様似町,160-5,,,143.081731,42.073632
字旭,様似郡様似町,160-4,,,143.080964,42.073776
字旭,様似郡様似町,158-2,,,143.077964,42.07123
字旭,様似郡様似町,158-1,,,143.077678,42.07112
字旭,様似郡様似町,1027,,,143.076576,42.069869
字旭,様似郡様似町,158-3,,,143.077137,42.070245
字旭,様似郡様似町,158-4,,,143.076797,42.070064
字旭,様似郡様似町,114,,,143.072141,42.064415
字旭,様似郡様似町,111,,,143.072008,42.064043
字旭,様似郡様似町,110-1,,,143.071381,42.063773
字旭,様似郡様似町,110-2,,,143.070643,42.063733
字旭,様似郡様似町,109-7,,,143.069534,42.062455
字旭,様似郡様似町,109-6,,,143.069184,42.062208
字旭,様似郡様似町,109-5,,,143.069752,42.062721
字旭,様似郡様似町,水-2007,,,143.068321,42.062883
字旭,様似郡様似町,1006-2,,,143.068444,42.062361
字旭,様似郡様似町,109-2,,,143.068707,42.062178
字旭,様似郡様似町,道-2012,,,143.068269,42.061965
字旭,様似郡様似町,108-1,,,143.068404,42.061723
字旭,様似郡様似町,107-1,,,143.068014,42.061676
字旭,様似郡様似町,105-1,,,143.066323,42.06276
字旭,様似郡様似町,道-2014,,,143.066569,42.062839
字旭,様似郡様似町,106-1,,,143.067918,42.0636
字旭,様似郡様似町,103-5,,,143.067217,42.063603
字旭,様似郡様似町,103-3,,,143.06698,42.063627
字旭,様似郡様似町,106-3,,,143.067379,42.063247
字旭,様似郡様似町,106-4,,,143.066941,42.063037
字旭,様似郡様似町,71-2,,,143.065792,42.06344
字旭,様似郡様似町,70-2,,,143.065625,42.063571
字旭,様似郡様似町,道-2016,,,143.065898,42.063641
字旭,様似郡様似町,71-3,,,143.065962,42.063518
字旭,様似郡様似町,71-4,,,143.066056,42.063628
字旭,様似郡様似町,103-1,,,143.066625,42.063544
字旭,様似郡様似町,103-2,,,143.066473,42.063227
字旭,様似郡様似町,102-3,,,143.066777,42.063728
字旭,様似郡様似町,101-2,,,143.066806,42.064034
字旭,様似郡様似町,71-1,,,143.066178,42.063701
字旭,様似郡様似町,72-2,,,143.065877,42.063774
字旭,様似郡様似町,72-1,,,143.065885,42.063721
字旭,様似郡様似町,70-1,,,143.065771,42.063735
字旭,様似郡様似町,69,,,143.065581,42.06369
字旭,様似郡様似町,73-2,,,143.065697,42.063841
字旭,様似郡様似町,73-12,,,143.06578,42.063954
字旭,様似郡様似町,73-1,,,143.065953,42.063961
字旭,様似郡様似町,73-4,,,143.066069,42.063863
字旭,様似郡様似町,73-8,,,143.066213,42.063966
字旭,様似郡様似町,73-5,,,143.066066,42.064088
字旭,様似郡様似町,73-6,,,143.066148,42.064168
字旭,様似郡様似町,74-1,,,143.065725,42.064167
字旭,様似郡様似町,73-15,,,143.06615,42.064295
字旭,様似郡様似町,94-1,,,143.066089,42.064409
字旭,様似郡様似町,73-7,,,143.066262,42.064146
字旭,様似郡様似町,水-2008,,,143.066591,42.064611
字旭,様似郡様似町,101-10,,,143.0669,42.06427
字旭,様似郡様似町,99-4,,,143.066939,42.064016
字旭,様似郡様似町,101-6,,,143.067269,42.064239
字旭,様似郡様似町,101-11,,,143.067246,42.064127
字旭,様似郡様似町,101-5,,,143.067126,42.063975
字旭,様似郡様似町,102-2,,,143.067002,42.063729
字旭,様似郡様似町,102-1,,,143.067084,42.063772
字旭,様似郡様似町,103-6,,,143.067432,42.063712
字旭,様似郡様似町,137-2,,,143.067945,42.064092
字旭,様似郡様似町,道-2013,,,143.068492,42.064775
字旭,様似郡様似町,137-10,,,143.068292,42.064361
字旭,様似郡様似町,137-1,,,143.068587,42.064358
字旭,様似郡様似町,137-5,,,143.068383,42.064143
字旭,様似郡様似町,137-4,,,143.068522,42.063961
字旭,様似郡様似町,135-1,,,143.069425,42.064335
字旭,様似郡様似町,136-1,,,143.069154,42.063773
字旭,様似郡様似町,1006-1,,,143.069952,42.063433
字旭,様似郡様似町,109-1,,,143.070367,42.063201
字旭,様似郡様似町,136-2,,,143.069615,42.063912
字旭,様似郡様似町,135-2,,,143.069823,42.064243
字旭,様似郡様似町,134-2,,,143.069955,42.064519
字旭,様似郡様似町,134-1,,,143.069669,42.064735
字旭,様似郡様似町,133,,,143.069749,42.065024
字旭,様似郡様似町,132,,,143.070513,42.065841
字旭,様似郡様似町,139-1,,,143.069416,42.065536
字旭,様似郡様似町,141-1,,,143.068412,42.066011
字旭,様似郡様似町,99-1,,,143.068705,42.065504
字旭,様似郡様似町,138-3,,,143.069221,42.065082
字旭,様似郡様似町,138-1,,,143.068981,42.064914
字旭,様似郡様似町,137-7,,,143.068879,42.064546
字旭,様似郡様似町,137-6,,,143.068642,42.064609
字旭,様似郡様似町,137-9,,,143.068909,42.064662
字旭,様似郡様似町,137-8,,,143.06839,42.064595
字旭,様似郡様似町,99-2,,,143.068325,42.064966
字旭,様似郡様似町,100-1,,,143.067585,42.064616
字旭,様似郡様似町,99-8,,,143.067838,42.065107
字旭,様似郡様似町,99-3,,,143.067066,42.064694
字旭,様似郡様似町,101-3,,,143.066969,42.064457
字旭,様似郡様似町,75-13,,,143.06571,42.064551
字旭,様似郡様似町,75-12,,,143.065549,42.064652
字旭,様似郡様似町,75-17,,,143.065985,42.064788
字旭,様似郡様似町,75-21,,,143.066133,42.064945
字旭,様似郡様似町,75-16,,,143.065824,42.064892
字旭,様似郡様似町,75-26,,,143.065622,42.064965
字旭,様似郡様似町,75-15,,,143.065691,42.065091
字旭,様似郡様似町,75-19,,,143.065871,42.065182
字旭,様似郡様似町,75-20,,,143.066037,42.065078
字旭,様似郡様似町,75-27,,,143.066187,42.064563
字旭,様似郡様似町,97,,,143.066847,42.065479
字旭,様似郡様似町,96,,,143.066504,42.065439
字旭,様似郡様似町,75-28,,,143.066278,42.065346
字旭,様似郡様似町,75-23,,,143.066029,42.065438
字旭,様似郡様似町,75-18,,,143.065701,42.065293
字旭,様似郡様似町,93-1,,,143.066049,42.06581
字旭,様似郡様似町,93-2,,,143.065833,42.065619
