市区町村名,地番,大字名,丁目名,center_lng,center_lat
標津郡中標津町,6085-2,字協和,,145.030901,43.511044
標津郡中標津町,5817-3,字協和,,145.029601,43.51086
標津郡中標津町,5817-1,字協和,,145.030596,43.509269
標津郡中標津町,5832-1,字協和,,145.020065,43.499843
標津郡中標津町,6110,字協和,,145.017523,43.498524
標津郡中標津町,5832-3,字協和,,145.01668,43.500921
標津郡中標津町,5832-5,字協和,,145.018904,43.500811
標津郡中標津町,6131,字協和,,145.022927,43.501692
標津郡中標津町,5832-4,字協和,,145.020832,43.502563
標津郡中標津町,5832-2,字協和,,145.018926,43.502013
標津郡中標津町,237-2,字協和,,145.017267,43.50423
標津郡中標津町,6129,字協和,,145.020793,43.503478
標津郡中標津町,5823-2,字協和,,145.024166,43.504309
標津郡中標津町,6109,字協和,,145.026113,43.502228
標津郡中標津町,長狭物不明-3046,字協和,,145.027659,43.505263
標津郡中標津町,長狭物不明-3047,字協和,,145.026351,43.506313
標津郡中標津町,長狭物不明-3002,字協和,,145.027508,43.509039
標津郡中標津町,長狭物不明-3005,字協和,,145.026858,43.509385
標津郡中標津町,5817-5,字協和,,145.028314,43.509414
標津郡中標津町,5817-4,字協和,,145.029214,43.509799
標津郡中標津町,331-1,字協和,,145.028325,43.511183
標津郡中標津町,331-10,字協和,,145.026767,43.510522
標津郡中標津町,331-7,字協和,,145.02682,43.510208
標津郡中標津町,331-9,字協和,,145.026744,43.510569
標津郡中標津町,331-8,字協和,,145.026137,43.510987
標津郡中標津町,長狭物不明-3006,字協和,,145.024551,43.51104
標津郡中標津町,316,字協和,,145.023119,43.51086
標津郡中標津町,道-3002,字協和,,145.02657,43.508781
標津郡中標津町,333,字協和,,145.024013,43.50919
標津郡中標津町,332-1,字協和,,145.024979,43.509661
標津郡中標津町,長狭物不明-3003,字協和,,145.026238,43.508612
標津郡中標津町,333-2,字協和,,145.025709,43.508632
標津郡中標津町,259-2,字協和,,145.020119,43.508881
標津郡中標津町,317,字協和,,145.022969,43.509779
標津郡中標津町,4799,字協和,,145.021455,43.510827
標津郡中標津町,2335-2,字協和,,145.020098,43.509969
標津郡中標津町,259-1,字協和,,145.021073,43.509729
標津郡中標津町,2335-1,字協和,,145.018982,43.509706
標津郡中標津町,6214-2X(1/2),字協和,,145.0163,43.509118
標津郡中標津町,4807,字協和,,145.021099,43.508886
標津郡中標津町,水-3016,字協和,,145.017399,43.508325
標津郡中標津町,258,字協和,,145.019147,43.50738
標津郡中標津町,4808,字協和,,145.01747,43.507304
標津郡中標津町,4800,字協和,,145.021135,43.506153
標津郡中標津町,6215,字協和,,145.019396,43.504475
標津郡中標津町,2845-1,字協和,,145.015443,43.504922
標津郡中標津町,2845-3,字協和,,145.016025,43.506117
標津郡中標津町,4820,字協和,,145.014033,43.505889
標津郡中標津町,6082,字協和,,145.009914,43.506005
標津郡中標津町,水-3015,字協和,,145.012354,43.506909
標津郡中標津町,4816-6,字協和,,145.010099,43.507321
標津郡中標津町,6081,字協和,,145.01066,43.507391
標津郡中標津町,4817-1,字協和,,145.012568,43.507565
標津郡中標津町,4819,字協和,,145.0133,43.507503
標津郡中標津町,4818,字協和,,145.014705,43.506936
標津郡中標津町,水-3017,字協和,,145.01486,43.508307
標津郡中標津町,475-4,字協和,,145.01514,43.509998
標津郡中標津町,4803,字協和,,145.011618,43.510928
標津郡中標津町,4816-1,字協和,,145.009183,43.509986
標津郡中標津町,4817-2,字協和,,145.011664,43.508954
標津郡中標津町,4816-3,字協和,,145.006051,43.508484
標津郡中標津町,4816-11,字協和,,145.005691,43.508647
標津郡中標津町,4816-12,字協和,,145.005708,43.508782
標津郡中標津町,4816-19,字協和,,145.006248,43.509008
標津郡中標津町,4816-18,字協和,,145.006322,43.508977
標津郡中標津町,4816-20,字協和,,145.006226,43.509132
標津郡中標津町,4816-14,字協和,,145.006552,43.509335
標津郡中標津町,4816-13,字協和,,145.006659,43.509274
標津郡中標津町,6173,字協和,,145.007849,43.510381
標津郡中標津町,4816-7,字協和,,145.007138,43.509587
標津郡中標津町,4816-10,字協和,,145.007356,43.509863
標津郡中標津町,434-6,字協和,,145.006291,43.509928
標津郡中標津町,434-7,字協和,,145.00608,43.509577
標津郡中標津町,434-1,字協和,,145.004927,43.50971
標津郡中標津町,6123-2,字協和,,145.003597,43.510563
標津郡中標津町,2110-8,字協和,,145.004394,43.509105
標津郡中標津町,長狭物不明-3055,字協和,,145.004548,43.508176
標津郡中標津町,長狭物不明-3054,字協和,,145.004449,43.508244
標津郡中標津町,2110-5,字協和,,145.003494,43.508525
標津郡中標津町,6164,字協和,,145.00331,43.507449
標津郡中標津町,6184-3,字協和,,145.003302,43.507363
標津郡中標津町,6163,字協和,,145.001946,43.50636
標津郡中標津町,4835-1,字協和,,145.00458,43.506902
