小字名,市区町村名,地番,center_lng,center_lat
字東光,歌志内市,30-6,142.053557,43.502741
字東光,歌志内市,30-34,142.053482,43.504875
字東光,歌志内市,30-28,142.053624,43.505351
字東光,歌志内市,30-27,142.053188,43.505828
字東光,歌志内市,30-26,142.052759,43.505906
字東光,歌志内市,30-29,142.053774,43.505834
字東光,歌志内市,30-32,142.054489,43.506031
字東光,歌志内市,1004,142.055718,43.503792
字東光,歌志内市,30-30,142.053974,43.505448
字東光,歌志内市,30-33,142.054529,43.504657
字東光,歌志内市,30-31,142.054475,43.505356
字東光,歌志内市,31-2,142.055395,43.506103
字東光,歌志内市,30-41,142.055009,43.503854
字東光,歌志内市,30-40,142.054714,43.503963
字東光,歌志内市,30-35,142.053557,43.504469
字東光,歌志内市,30-36,142.053697,43.504078
字東光,歌志内市,30-38,142.054252,43.503438
字東光,歌志内市,30-37,142.054057,43.503785
字東光,歌志内市,30-39,142.055275,43.503578
字東光,歌志内市,30-42,142.054437,43.503088
字東光,歌志内市,30-43,142.054497,43.502834
字東光,歌志内市,30-7,142.053454,43.501705
字東光,歌志内市,31-3,142.057726,43.5068
字東光,歌志内市,30-20,142.05383,43.506851
字東光,歌志内市,31-1,142.055913,43.506495
字東光,歌志内市,30-5,142.052766,43.506357
字東光,歌志内市,30-25,142.052573,43.506728
字東光,歌志内市,30-9,142.053026,43.506671
字東光,歌志内市,30-22,142.0534,43.506432
字東光,歌志内市,30-21,142.053325,43.506779
字東光,歌志内市,30-54,142.052566,43.5074
字東光,歌志内市,30-23,142.052235,43.507234
字東光,歌志内市,30-4,142.05234,43.506949
字東光,歌志内市,30-24,142.051553,43.506947
字東光,歌志内市,30-14,142.051135,43.509048
字東光,歌志内市,30-50,142.05166,43.508928
字東光,歌志内市,35-7,142.05183,43.508899
字東光,歌志内市,30-48,142.051888,43.50854
字東光,歌志内市,30-3,142.051617,43.508487
字東光,歌志内市,30-16,142.051789,43.508303
字東光,歌志内市,30-53,142.052502,43.507572
字東光,歌志内市,30-17,142.052084,43.507618
字東光,歌志内市,30-19,142.053415,43.507738
字東光,歌志内市,30-18,142.053057,43.507469
字東光,歌志内市,30-47,142.052731,43.508491
字東光,歌志内市,30-52,142.05203,43.508378
字東光,歌志内市,30-45,142.052635,43.508434
字東光,歌志内市,30-46,142.052292,43.508932
字東光,歌志内市,30-44,142.05246,43.508524
字東光,歌志内市,35-13,142.052502,43.509006
字東光,歌志内市,35-12,142.052439,43.508932
字東光,歌志内市,35-6,142.052737,43.508805
字東光,歌志内市,35-11,142.052387,43.509166
字東光,歌志内市,1003,142.052572,43.50982
字東光,歌志内市,29,142.052675,43.510224
字東光,歌志内市,35-8,142.051933,43.51029
字東光,歌志内市,30-2,142.05093,43.510219
字東光,歌志内市,30-49,142.051213,43.509612
字東光,歌志内市,35-10,142.051584,43.509633
字東光,歌志内市,35-5,142.051525,43.509414
字東光,歌志内市,30-51,142.051582,43.509059
字東光,歌志内市,35-9,142.051643,43.509194
字東光,歌志内市,30-15,142.051495,43.509026
字東光,歌志内市,35-1,142.051582,43.51071
字東光,歌志内市,30-13,142.050778,43.51082
字東光,歌志内市,35-2,142.05122,43.510791
字東光,歌志内市,35-3,142.051957,43.510835
字東光,歌志内市,35-4,142.052161,43.510739
字東光,歌志内市,27,142.051879,43.511847
字上歌,歌志内市,32-7W,142.058272,43.514188
字東光,歌志内市,12,142.051246,43.512668
字東光,歌志内市,14-2,142.049194,43.513577
