市区町村名,地番,大字名,center_lng,center_lat
紋別郡西興部村,560,字上藻,142.979846,44.263508
紋別郡西興部村,557,字上藻,142.981595,44.264339
紋別郡西興部村,555,字上藻,142.981816,44.265179
紋別郡西興部村,558,字上藻,142.98009,44.264473
紋別郡西興部村,水-44,字上藻,142.981108,44.264255
紋別郡西興部村,559,字上藻,142.97933,44.264565
紋別郡西興部村,615,字上藻,142.979393,44.260858
紋別郡西興部村,614,字上藻,142.979889,44.262194
紋別郡西興部村,水-41,字上藻,142.979808,44.259476
紋別郡西興部村,長狭物不明-51,字上藻,142.979595,44.259668
紋別郡西興部村,長狭物不明-95,字上藻,142.979208,44.260025
紋別郡西興部村,680,字上藻,142.980027,44.259621
紋別郡西興部村,681,字上藻,142.979571,44.259158
紋別郡西興部村,679,字上藻,142.978655,44.257772
紋別郡西興部村,682,字上藻,142.979903,44.257384
紋別郡西興部村,958,字上藻,142.964572,44.227065
紋別郡西興部村,957,字上藻,142.964315,44.228017
紋別郡西興部村,954,字上藻,142.965228,44.228858
紋別郡西興部村,951,字上藻,142.966811,44.229797
紋別郡西興部村,水-10,字上藻,142.965854,44.22949
紋別郡西興部村,953,字上藻,142.965154,44.229901
紋別郡西興部村,952,字上藻,142.966038,44.230404
紋別郡西興部村,948-5,字上藻,142.965955,44.231336
紋別郡西興部村,935-6,字上藻,142.964502,44.232086
紋別郡西興部村,935-2,字上藻,142.964353,44.232247
紋別郡西興部村,長狭物不明-16,字上藻,142.964972,44.232326
紋別郡西興部村,948-9,字上藻,142.964843,44.232077
紋別郡西興部村,935-1,字上藻,142.964795,44.232234
紋別郡西興部村,935-5,字上藻,142.965718,44.232103
紋別郡西興部村,935-4,字上藻,142.965748,44.232057
紋別郡西興部村,949-2,字上藻,142.966407,44.232137
紋別郡西興部村,長狭物不明-15,字上藻,142.968671,44.232057
紋別郡西興部村,949-1,字上藻,142.968346,44.231224
紋別郡西興部村,長狭物不明-14,字上藻,142.970314,44.229366
紋別郡西興部村,950,字上藻,142.970006,44.230138
紋別郡西興部村,水-8,字上藻,142.969784,44.231857
紋別郡西興部村,928,字上藻,142.970357,44.231674
紋別郡西興部村,921-4,字上藻,142.970379,44.232297
紋別郡西興部村,926,字上藻,142.972493,44.232404
紋別郡西興部村,927-1,字上藻,142.971788,44.231583
紋別郡西興部村,長狭物不明-2,字上藻,142.972871,44.232335
紋別郡西興部村,924-2,字上藻,142.972237,44.23264
紋別郡西興部村,道-1,字上藻,142.971885,44.232549
紋別郡西興部村,927-2,字上藻,142.971382,44.232442
紋別郡西興部村,925,字上藻,142.971344,44.232682
紋別郡西興部村,924-1,字上藻,142.972043,44.232658
紋別郡西興部村,長狭物不明-5,字上藻,142.973723,44.241697
紋別郡西興部村,840,字上藻,142.973688,44.243195
紋別郡西興部村,841,字上藻,142.973636,44.241982
紋別郡西興部村,847,字上藻,142.972405,44.2429
紋別郡西興部村,842,字上藻,142.973011,44.24231
紋別郡西興部村,844,字上藻,142.972784,44.243208
紋別郡西興部村,843,字上藻,142.972805,44.243372
紋別郡西興部村,846,字上藻,142.972495,44.243337
紋別郡西興部村,845,字上藻,142.972599,44.243373
紋別郡西興部村,848,字上藻,142.972688,44.241566
紋別郡西興部村,849,字上藻,142.972446,44.239874
紋別郡西興部村,857,字上藻,142.971827,44.239109
紋別郡西興部村,858-2,字上藻,142.970182,44.238803
紋別郡西興部村,867-2,字上藻,142.969881,44.239245
紋別郡西興部村,868,字上藻,142.969912,44.239257
紋別郡西興部村,866,字上藻,142.96953,44.238648
紋別郡西興部村,862-4,字上藻,142.970002,44.238452
紋別郡西興部村,862-5,字上藻,142.969934,44.238519
紋別郡西興部村,865,字上藻,142.970008,44.238198
紋別郡西興部村,864-2,字上藻,142.969942,44.238251
紋別郡西興部村,862-3,字上藻,142.969967,44.23827
紋別郡西興部村,864-1,字上藻,142.96959,44.237914
紋別郡西興部村,893,字上藻,142.967974,44.238799
紋別郡西興部村,867-1,字上藻,142.969679,44.238936
紋別郡西興部村,870-1,字上藻,142.969506,44.239642
紋別郡西興部村,892-3,字上藻,142.968621,44.239478
紋別郡西興部村,892-1,字上藻,142.967995,44.239356
紋別郡西興部村,892-4,字上藻,142.967958,44.240088
紋別郡西興部村,885-2,字上藻,142.968522,44.239983
紋別郡西興部村,885-1,字上藻,142.968431,44.239685
紋別郡西興部村,892-2,字上藻,142.968319,44.240234
紋別郡西興部村,892-5,字上藻,142.968146,44.240199
紋別郡西興部村,886-2,字上藻,142.967925,44.240413
紋別郡西興部村,水-14,字上藻,142.969146,44.240113
紋別郡西興部村,854,字上藻,142.969983,44.240635
紋別郡西興部村,870-2,字上藻,142.969817,44.239714
紋別郡西興部村,869,字上藻,142.969826,44.239992
紋別郡西興部村,道-4,字上藻,142.969929,44.241269
紋別郡西興部村,858-1,字上藻,142.970651,44.239048
紋別郡西興部村,水-15,字上藻,142.970156,44.240112
紋別郡西興部村,855,字上藻,142.971526,44.240069
紋別郡西興部村,856,字上藻,142.971068,44.24069
紋別郡西興部村,850,字上藻,142.971118,44.241274
紋別郡西興部村,853,字上藻,142.969976,44.240835
紋別郡西興部村,852,字上藻,142.969975,44.24088
紋別郡西興部村,872,字上藻,142.969799,44.240281
紋別郡西興部村,851,字上藻,142.970102,44.241509
紋別郡西興部村,長狭物不明-4,字上藻,142.97077,44.241908
紋別郡西興部村,821,字上藻,142.971264,44.242703
紋別郡西興部村,822,字上藻,142.970522,44.243036
紋別郡西興部村,819,字上藻,142.970269,44.242873
紋別郡西興部村,818,字上藻,142.970413,44.243401
紋別郡西興部村,820,字上藻,142.970266,44.243425
紋別郡西興部村,817,字上藻,142.969775,44.242548
紋別郡西興部村,816,字上藻,142.969417,44.243371
紋別郡西興部村,796,字上藻,142.96877,44.242989
紋別郡西興部村,795-2,字上藻,142.968607,44.242637
紋別郡西興部村,795-1,字上藻,142.968454,44.243224
紋別郡西興部村,793,字上藻,142.968052,44.242961
紋別郡西興部村,791-1,字上藻,142.968091,44.242184
紋別郡西興部村,790-1,字上藻,142.968003,44.24221
紋別郡西興部村,790-2,字上藻,142.968025,44.242151
紋別郡西興部村,882-3,字上藻,142.968007,44.24207
紋別郡西興部村,882-7,字上藻,142.967975,44.242047
紋別郡西興部村,882-6,字上藻,142.968003,44.241955
紋別郡西興部村,880-6,字上藻,142.968112,44.242053
紋別郡西興部村,880-5,字上藻,142.968157,44.241987
紋別郡西興部村,880-2,字上藻,142.968294,44.242016
紋別郡西興部村,883-3,字上藻,142.968339,44.24192
紋別郡西興部村,880-1,字上藻,142.968146,44.241805
紋別郡西興部村,883-4,字上藻,142.968359,44.241823
紋別郡西興部村,880-4,字上藻,142.968157,44.241671
紋別郡西興部村,880-3,字上藻,142.968245,44.241696
紋別郡西興部村,882-1,字上藻,142.967973,44.241781
紋別郡西興部村,884-8,字上藻,142.968054,44.241616
紋別郡西興部村,882-4,字上藻,142.967924,44.241587
紋別郡西興部村,883-5,字上藻,142.968435,44.241826
紋別郡西興部村,873-2,字上藻,142.969084,44.241226
紋別郡西興部村,871,字上藻,142.969462,44.240751
紋別郡西興部村,873-1,字上藻,142.969303,44.241745
