小字名,市区町村名,地番,center_lng,center_lat
字古梅,網走郡美幌町,603,144.210392,43.680216
字古梅,網走郡美幌町,541-6,144.210564,43.680234
字古梅,網走郡美幌町,541-1,144.213218,43.680681
字古梅,網走郡美幌町,600-1,144.224113,43.694869
字古梅,網走郡美幌町,519-1,144.216095,43.721933
字古梅,網走郡美幌町,519-2,144.214795,43.723062
字古梅,網走郡美幌町,520-9,144.212298,43.719849
字古梅,網走郡美幌町,561-1,144.213889,43.706464
字古梅,網走郡美幌町,559-2,144.211797,43.70739
字古梅,網走郡美幌町,560-2,144.212976,43.706882
字古梅,網走郡美幌町,560-4,144.213053,43.706887
字古梅,網走郡美幌町,560-5,144.212987,43.706964
字古梅,網走郡美幌町,560-1,144.213211,43.706954
字古梅,網走郡美幌町,560-3,144.212077,43.707486
字古梅,網走郡美幌町,553-1,144.211678,43.707842
字古梅,網走郡美幌町,554-2,144.211659,43.707482
字古梅,網走郡美幌町,553-3,144.210774,43.708188
字古梅,網走郡美幌町,553-2,144.210725,43.708168
字古梅,網走郡美幌町,554-1,144.210613,43.707478
字古梅,網走郡美幌町,559-1,144.211817,43.706707
字古梅,網走郡美幌町,558,144.211452,43.70606
字古梅,網走郡美幌町,563-3,144.210636,43.704713
字古梅,網走郡美幌町,566-1,144.212287,43.704123
字古梅,網走郡美幌町,573-1,144.214616,43.703273
字古梅,網走郡美幌町,577-1,144.215426,43.703209
字古梅,網走郡美幌町,570-2,144.215471,43.703697
字古梅,網走郡美幌町,573-4,144.215006,43.703837
字古梅,網走郡美幌町,571-2,144.214462,43.704276
字古梅,網走郡美幌町,569-1,144.214651,43.705436
字古梅,網走郡美幌町,567-1,144.213717,43.704483
字古梅,網走郡美幌町,569-3,144.213687,43.70553
字古梅,網走郡美幌町,567-2,144.214234,43.704512
字古梅,網走郡美幌町,569-2,144.213673,43.705494
字古梅,網走郡美幌町,563-2,144.213227,43.706179
字古梅,網走郡美幌町,561-2,144.213131,43.706659
字古梅,網走郡美幌町,561-3,144.213349,43.706257
字古梅,網走郡美幌町,570-1,144.216105,43.704475
字古梅,網走郡美幌町,570-5,144.215686,43.703598
字古梅,網走郡美幌町,570-3,144.215744,43.703578
字古梅,網走郡美幌町,570-4,144.215824,43.703574
字古梅,網走郡美幌町,570-6,144.215752,43.703511
字古梅,網走郡美幌町,579-4,144.215694,43.703427
字古梅,網走郡美幌町,573-5,144.215545,43.703408
字古梅,網走郡美幌町,577-2,144.215583,43.703292
字古梅,網走郡美幌町,579-3,144.215651,43.702954
字古梅,網走郡美幌町,575-4,144.215524,43.702991
字古梅,網走郡美幌町,580-8,144.216801,43.703539
字古梅,網走郡美幌町,580-10,144.216768,43.703268
字古梅,網走郡美幌町,580-15,144.217087,43.703842
字古梅,網走郡美幌町,580-1,144.219413,43.70387
字古梅,網走郡美幌町,580-11,144.218868,43.703456
字古梅,網走郡美幌町,580-12,144.218322,43.703665
字古梅,網走郡美幌町,580-7,144.219378,43.703434
字古梅,網走郡美幌町,580-3,144.219504,43.703432
字古梅,網走郡美幌町,580-6,144.219616,43.703449
字古梅,網走郡美幌町,580-9,144.219934,43.70322
字古梅,網走郡美幌町,580-5,144.21969,43.703467
字古梅,網走郡美幌町,580-4,144.219838,43.703502
字古梅,網走郡美幌町,580-14,144.220159,43.703533
字古梅,網走郡美幌町,580-13,144.220115,43.703565
字古梅,網走郡美幌町,586-5,144.223625,43.700327
字古梅,網走郡美幌町,586-8,144.222521,43.699504
字古梅,網走郡美幌町,586-7,144.222481,43.699438
字古梅,網走郡美幌町,595-8,144.222572,43.699429
字古梅,網走郡美幌町,595-6,144.223758,43.699221
字古梅,網走郡美幌町,586-9,144.223687,43.699943
字古梅,網走郡美幌町,595-7,144.223449,43.699822
字古梅,網走郡美幌町,595-9,144.223474,43.699888
字古梅,網走郡美幌町,586-13,144.223962,43.699681
字古梅,網走郡美幌町,586-11,144.224016,43.699371
字古梅,網走郡美幌町,586-12,144.224097,43.699353
字古梅,網走郡美幌町,586-10,144.224109,43.699496
字古梅,網走郡美幌町,586-2,144.225147,43.697362
