小字名,市区町村名,地番,大字名,丁目名,center_lng,center_lat
字久著呂,阿寒郡鶴居村,65-1,,,144.434722,43.151394
字久著呂,阿寒郡鶴居村,65-294,,,144.43106,43.156595
字久著呂,阿寒郡鶴居村,65-295,,,144.433137,43.157378
字久著呂,阿寒郡鶴居村,65-296,,,144.426699,43.147065
字久著呂,阿寒郡鶴居村,65-299,,,144.427405,43.148104
字久著呂,阿寒郡鶴居村,65-4,,,144.424883,43.149008
字久著呂,阿寒郡鶴居村,65-300,,,144.426037,43.147907
字久著呂,阿寒郡鶴居村,65-3,,,144.426618,43.152313
字久著呂,阿寒郡鶴居村,54-1,,,144.423534,43.156736
字久著呂,阿寒郡鶴居村,54-3,,,144.421976,43.156116
字久著呂,阿寒郡鶴居村,58-1,,,144.423862,43.153487
字久著呂,阿寒郡鶴居村,58-3,,,144.423058,43.152944
字久著呂,阿寒郡鶴居村,58-2,,,144.420922,43.152371
字久著呂,阿寒郡鶴居村,65-297,,,144.425749,43.150319
字久著呂,阿寒郡鶴居村,65-298,,,144.426045,43.150514
字久著呂,阿寒郡鶴居村,63,,,144.419763,43.149344
字久著呂,阿寒郡鶴居村,54-2,,,144.420893,43.155863
字久著呂,阿寒郡鶴居村,57,,,144.417406,43.157685
字久著呂,阿寒郡鶴居村,60,,,144.416596,43.153612
字久著呂,阿寒郡鶴居村,62,,,144.414358,43.150731
字久著呂,阿寒郡鶴居村,59,,,144.411346,43.154751
字久著呂,阿寒郡鶴居村,55,,,144.407215,43.155012
字雪裡,阿寒郡鶴居村,15-15,,,144.394075,43.144764
字雪裡,阿寒郡鶴居村,890-4,,,144.393435,43.151691
字雪裡,阿寒郡鶴居村,15-2,,,144.383715,43.152733
字久著呂太,阿寒郡鶴居村,2-1,,,144.3884,43.141874
字久著呂太,阿寒郡鶴居村,2-5,,,144.39329,43.137408
字幌呂,阿寒郡鶴居村,4-48,,,144.328988,43.093776
字幌呂,阿寒郡鶴居村,4-46,,,144.329276,43.093994
字幌呂,阿寒郡鶴居村,4-45,,,144.329026,43.094106
字幌呂,阿寒郡鶴居村,4-11,,,144.329547,43.096339
字幌呂,阿寒郡鶴居村,4-10,,,144.327903,43.096828
字幌呂,阿寒郡鶴居村,4-12,,,144.328425,43.095674
字幌呂,阿寒郡鶴居村,4-13,,,144.327747,43.095213
字幌呂,阿寒郡鶴居村,4-26,,,144.326852,43.094275
字幌呂,阿寒郡鶴居村,4-54,,,144.327663,43.093265
字幌呂,阿寒郡鶴居村,4-30,,,144.327489,43.093945
字幌呂,阿寒郡鶴居村,4-28,,,144.327175,43.094108
字幌呂,阿寒郡鶴居村,4-32,,,144.327797,43.093787
字幌呂,阿寒郡鶴居村,4-44,,,144.328744,43.094265
字幌呂,阿寒郡鶴居村,4-43,,,144.328614,43.094154
字幌呂,阿寒郡鶴居村,4-47,,,144.328766,43.093897
字幌呂,阿寒郡鶴居村,4-42,,,144.328509,43.094056
字幌呂,阿寒郡鶴居村,4-41,,,144.328405,43.093958
字幌呂,阿寒郡鶴居村,4-40,,,144.328301,43.093861
字幌呂,阿寒郡鶴居村,4-35,,,144.32856,43.093902
字幌呂,阿寒郡鶴居村,4-49,,,144.328676,43.093675
字幌呂,阿寒郡鶴居村,4-50,,,144.328527,43.093556
字幌呂,阿寒郡鶴居村,4-51,,,144.328381,43.093438
字幌呂,阿寒郡鶴居村,4-52,,,144.328224,43.093311
字幌呂,阿寒郡鶴居村,4-39,,,144.328196,43.093763
字幌呂,阿寒郡鶴居村,4-38,,,144.328092,43.093666
字幌呂,阿寒郡鶴居村,4-37,,,144.327988,43.093567
字幌呂,阿寒郡鶴居村,4-36,,,144.327883,43.09347
字幌呂,阿寒郡鶴居村,4-53,,,144.327778,43.093373
字幌呂,阿寒郡鶴居村,4-76,,,144.328005,43.093136
字幌呂,阿寒郡鶴居村,4-75,,,144.327899,43.093051
字幌呂,阿寒郡鶴居村,4-74,,,144.327861,43.092927
字幌呂,阿寒郡鶴居村,4-77,,,144.32819,43.093154
字幌呂,阿寒郡鶴居村,4-69,,,144.327256,43.092572
字幌呂,阿寒郡鶴居村,4-72,,,144.327582,43.092835
字幌呂,阿寒郡鶴居村,4-73,,,144.327677,43.092911
字幌呂,阿寒郡鶴居村,4-55,,,144.327458,43.093115
字幌呂,阿寒郡鶴居村,4-56,,,144.32732,43.092986
字幌呂,阿寒郡鶴居村,4-71,,,144.327482,43.092754
字幌呂,阿寒郡鶴居村,4-70,,,144.327373,43.092667
字幌呂,阿寒郡鶴居村,4-34,,,144.326483,43.092041
字幌呂,阿寒郡鶴居村,4-58,,,144.327045,43.092728
字幌呂,阿寒郡鶴居村,4-57,,,144.327182,43.092857
字幌呂,阿寒郡鶴居村,4-60,,,144.326769,43.09247
字幌呂,阿寒郡鶴居村,4-59,,,144.326907,43.092599
字幌呂,阿寒郡鶴居村,4-68,,,144.327125,43.092467
字幌呂,阿寒郡鶴居村,704,,,144.328862,43.091303
字幌呂,阿寒郡鶴居村,4-67,,,144.326978,43.092348
字幌呂,阿寒郡鶴居村,4-66,,,144.326803,43.092207
字アトコシャラカ,阿寒郡鶴居村,45,,,144.327514,43.08942
字幌呂,阿寒郡鶴居村,705,,,144.330771,43.089488
字アトコシャラカ,阿寒郡鶴居村,24,,,144.324091,43.085676
字アトコシャラカ,阿寒郡鶴居村,30,,,144.322487,43.083602
字アトコシャラカ,阿寒郡鶴居村,31,,,144.32267,43.082057
字アトコシャラカ,阿寒郡鶴居村,25-3,,,144.320979,43.085694
字アトコシャラカ,阿寒郡鶴居村,25-1,,,144.321212,43.081285
字アトコシャラカ,阿寒郡鶴居村,27,,,144.32191,43.079672
字アトコシャラカ,阿寒郡鶴居村,29,,,144.321824,43.085567
字アトコシャラカ,阿寒郡鶴居村,13,,,144.310398,43.0812
