A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,トドマツ,水涵保,None,渡島,2103,に,1.61,None,七飯町,None,None,森林空間利用,0,140.766553,41.969004
None,トドマツ,水涵保,None,渡島,2103,へ,2.68,None,七飯町,None,None,森林空間利用,0,140.766493,41.968994
None,トドマツ,水涵保,None,渡島,2103,ほ,1.09,None,七飯町,None,None,森林空間利用,0,140.766106,41.969539
None,トドマツ,水涵保,None,渡島,2103,に,1.61,None,七飯町,None,None,森林空間利用,0,140.766379,41.969306
None,トドマツ,水涵保,None,渡島,2103,へ,2.68,None,七飯町,None,None,森林空間利用,0,140.766312,41.969191
None,None,None,None,渡島,2103,ロ,15.29,None,七飯町,None,None,森林空間利用,0,140.762459,41.974005
None,None,None,None,渡島,2103,イ,0.92,None,七飯町,None,None,森林空間利用,0,140.761839,41.973786
None,トドマツ,水涵保,None,渡島,2103,は,3.79,None,七飯町,None,None,森林空間利用,0,140.763221,41.971953
None,トドマツ,水涵保,None,渡島,2103,は,3.79,None,七飯町,None,None,森林空間利用,0,140.763008,41.971657
None,None,None,None,渡島,2103,ロ,15.29,None,七飯町,None,None,森林空間利用,0,140.763826,41.972525
None,トドマツ,水涵保,None,渡島,2103,に,1.61,None,七飯町,None,None,森林空間利用,0,140.764013,41.971128
None,トドマツ,水涵保,None,渡島,2103,る,0.91,None,七飯町,None,None,森林空間利用,0,140.764526,41.970525
None,トドマツ,水涵保,None,渡島,2103,に,1.61,None,七飯町,None,None,森林空間利用,0,140.765669,41.96995
None,None,None,None,渡島,2103,ロ,15.29,None,七飯町,None,None,森林空間利用,0,140.765494,41.969611
None,None,None,None,渡島,2103,ハ,0.11,None,七飯町,None,None,森林空間利用,0,140.763691,41.970245
None,トドマツ,水涵保,None,渡島,2103,そ,0.7,None,七飯町,None,None,森林空間利用,0,140.763737,41.970529
None,トドマツ,水涵保,None,渡島,2103,そ,0.7,None,七飯町,None,None,森林空間利用,0,140.763425,41.970652
None,トドマツ,水涵保,None,渡島,2103,そ,0.7,None,七飯町,None,None,森林空間利用,0,140.763785,41.970106
None,トドマツ,水涵保,None,渡島,2103,に,1.61,None,七飯町,None,None,森林空間利用,0,140.764034,41.969754
None,トドマツ,水涵保,None,渡島,2103,ほ,1.09,None,七飯町,None,None,森林空間利用,0,140.76405,41.969091
None,トドマツ,水涵保,None,渡島,2103,そ,0.7,None,七飯町,None,None,森林空間利用,0,140.762575,41.970169
None,None,None,None,渡島,2103,ハ,0.11,None,七飯町,None,None,森林空間利用,0,140.76572,41.968493
None,トドマツ,水涵保,None,渡島,2103,へ,2.68,None,七飯町,None,None,森林空間利用,0,140.76562,41.967904
None,トドマツ,水涵保,None,渡島,2103,へ,2.68,None,七飯町,None,None,森林空間利用,0,140.764875,41.968665
None,トドマツ,水涵保,None,渡島,2103,と,1.41,None,七飯町,None,None,森林空間利用,0,140.764768,41.96648
None,トドマツ,水涵保,None,渡島,2103,ち,3.13,None,七飯町,None,他Ｌ,森林空間利用,0,140.764284,41.96756
None,ダケカンバ,水涵保,None,渡島,2104,り,12.49,None,七飯町,ミズナラ,他Ｌ,森林空間利用,0,140.762087,41.967934
None,ブナ,水涵保,None,渡島,2103,れ,8.23,None,七飯町,ミズナラ,他Ｌ,森林空間利用,0,140.764161,41.965768
None,ダケカンバ,水涵保,None,渡島,2104,り,12.49,None,七飯町,ミズナラ,他Ｌ,森林空間利用,0,140.762637,41.964145
None,カラマツ,水涵保,None,渡島,2103,よ,1.14,None,七飯町,None,他Ｌ,森林空間利用,0,140.755758,41.974479
None,ブナ,水涵保,None,渡島,2103,れ,8.23,None,七飯町,ミズナラ,他Ｌ,森林空間利用,0,140.755056,41.973675
None,カラマツ,水涵保,None,渡島,2103,い,1.67,None,七飯町,None,他Ｌ,森林空間利用,0,140.75214,41.97515
None,None,水涵保,None,渡島,2102,イ,1.72,None,七飯町,None,None,森林空間利用,0,140.748225,41.979692
None,ブナ,水涵保,None,渡島,2102,ち,9.05,None,七飯町,イタヤカエデ,シナノキ,水源涵養,0,140.748677,41.974979
None,トドマツ,水涵保,None,渡島,2102,り,0.94,None,七飯町,None,他Ｌ,水源涵養,0,140.747272,41.976233
None,トドマツ,水涵保,None,渡島,2105,と,3.96,None,七飯町,トドマツ,トドマツ,水源涵養,0,140.747489,41.974562
None,トドマツ,水涵保,None,渡島,2103,は,3.79,None,七飯町,None,None,森林空間利用,0,140.7614,41.972895
None,トドマツ,水涵保,None,渡島,2103,ろ,6.11,None,七飯町,None,None,森林空間利用,0,140.758695,41.972815
None,カラマツ,水涵保,None,渡島,2103,よ,1.14,None,七飯町,None,他Ｌ,森林空間利用,0,140.757639,41.97411
None,トドマツ,水涵保,None,渡島,2103,わ,1.23,None,七飯町,None,None,森林空間利用,0,140.759598,41.971958
None,トドマツ,水涵保,None,渡島,2103,に,1.61,None,七飯町,None,None,森林空間利用,0,140.760794,41.971691
None,None,None,None,渡島,2103,ロ,15.29,None,七飯町,None,None,森林空間利用,0,140.759003,41.971616
None,トドマツ,水涵保,None,渡島,2103,ぬ,1.36,None,七飯町,None,None,森林空間利用,0,140.761558,41.970026
None,ダケカンバ,水涵保,None,渡島,2104,ち,1.68,None,七飯町,シナノキ,他Ｌ,森林空間利用,0,140.760828,41.969003
None,トドマツ,水涵保,None,渡島,2104,は,1.42,None,七飯町,None,None,森林空間利用,0,140.760499,41.969375
None,トドマツ,水涵保,None,渡島,2103,わ,1.23,None,七飯町,None,None,森林空間利用,0,140.759974,41.971273
None,トドマツ,水涵保,None,渡島,2103,り,1.63,None,七飯町,None,None,森林空間利用,0,140.760607,41.97043
None,トドマツ,水涵保,None,渡島,2103,り,1.63,None,七飯町,None,None,森林空間利用,0,140.758297,41.971399
None,ダケカンバ,水涵保,None,渡島,2104,ち,1.68,None,七飯町,シナノキ,他Ｌ,森林空間利用,0,140.758002,41.971267
None,ダケカンバ,水涵保,None,渡島,2104,ち,1.68,None,七飯町,シナノキ,他Ｌ,森林空間利用,0,140.75973,41.970121
None,トドマツ,水涵保,None,渡島,2104,は,1.42,None,七飯町,None,None,森林空間利用,0,140.759433,41.969364
None,トドマツ,水涵保,None,渡島,2104,ろ,1.17,None,七飯町,None,None,森林空間利用,0,140.758633,41.970279
None,ダケカンバ,水涵保,None,渡島,2104,ぬ,11.74,None,七飯町,ミズナラ,他Ｌ,森林空間利用,0,140.758345,41.969632
None,None,None,None,渡島,2103,イ,0.92,None,七飯町,None,None,森林空間利用,0,140.756391,41.974173
None,トドマツ,水涵保,None,渡島,2103,か,1.1,None,七飯町,None,None,森林空間利用,0,140.756591,41.973217
None,None,None,None,渡島,2103,イ,0.92,None,七飯町,None,None,森林空間利用,0,140.758012,41.972067
None,ブナ,水涵保,None,渡島,2103,れ,8.23,None,七飯町,ミズナラ,他Ｌ,森林空間利用,0,140.75725,41.972021
None,トドマツ,水涵保,None,渡島,2103,か,1.1,None,七飯町,None,None,森林空間利用,0,140.757214,41.972149
None,None,None,None,渡島,2103,ロ,15.29,None,七飯町,None,None,森林空間利用,0,140.757933,41.97172
None,None,None,None,渡島,2103,ニ,0.02,None,七飯町,None,None,森林空間利用,0,140.757047,41.972621
None,トドマツ,水涵保,None,渡島,2103,か,1.1,None,七飯町,None,None,森林空間利用,0,140.756729,41.972526
None,ブナ,水涵保,None,渡島,2103,れ,8.23,None,七飯町,ミズナラ,他Ｌ,森林空間利用,0,140.756733,41.972296
None,ダケカンバ,水涵保,None,渡島,2104,る,2.4,None,七飯町,ミズナラ,他Ｌ,森林空間利用,0,140.756841,41.971931
None,None,None,None,渡島,2104,ニ,0.02,None,七飯町,None,None,森林空間利用,0,140.757161,41.971847
None,None,None,None,渡島,2104,ホ,0.07,None,七飯町,None,None,森林空間利用,0,140.756478,41.971986
None,None,None,None,渡島,2104,ホ,0.07,None,七飯町,None,None,森林空間利用,0,140.7565,41.971751
None,トドマツ,水涵保,None,渡島,2103,た,1.84,None,七飯町,None,None,森林空間利用,0,140.755407,41.974209
None,ブナ,水涵保,None,渡島,2103,れ,8.23,None,七飯町,ミズナラ,他Ｌ,森林空間利用,0,140.755721,41.974014
None,ブナ,水涵保,None,渡島,2103,れ,8.23,None,七飯町,ミズナラ,他Ｌ,森林空間利用,0,140.755331,41.97386
None,None,None,None,渡島,2103,ロ,15.29,None,七飯町,None,None,森林空間利用,0,140.755812,41.97357
None,トドマツ,水涵保,None,渡島,2103,か,1.1,None,七飯町,None,None,森林空間利用,0,140.755369,41.97339
None,None,None,None,渡島,2103,ホ,0.07,None,七飯町,None,None,森林空間利用,0,140.756428,41.972741
None,トドマツ,水涵保,None,渡島,2103,た,1.84,None,七飯町,None,None,森林空間利用,0,140.754918,41.974228
None,None,None,None,渡島,2104,ニ,0.02,None,七飯町,None,None,森林空間利用,0,140.756068,41.972376
None,None,None,None,渡島,2104,ハ,1.58,None,七飯町,None,None,森林空間利用,0,140.756033,41.972158
None,None,水涵保,None,渡島,2104,ロ,0.12,None,七飯町,None,None,森林空間利用,0,140.75599,41.971694
None,トドマツ,水涵保,None,渡島,2104,へ,2.29,None,七飯町,None,None,森林空間利用,0,140.754556,41.97284
None,エゾマツ,水涵保,None,渡島,2104,い,2.11,None,七飯町,None,他Ｌ,森林空間利用,0,140.755108,41.971696
None,None,None,None,渡島,2104,ハ,1.58,None,七飯町,None,None,森林空間利用,0,140.757195,41.971436
None,エゾマツ,水涵保,None,渡島,2104,い,2.11,None,七飯町,None,他Ｌ,森林空間利用,0,140.75758,41.970818
None,None,None,None,渡島,2104,ハ,1.58,None,七飯町,None,None,森林空間利用,0,140.75654,41.971015
None,エゾマツ,水涵保,None,渡島,2104,い,2.11,None,七飯町,None,他Ｌ,森林空間利用,0,140.757098,41.969973
None,ドイツトウヒ,水涵保,None,渡島,2102,に,7.6,None,七飯町,None,None,森林空間利用,0,140.756679,41.968497
None,エゾマツ,水涵保,None,渡島,2104,い,2.11,None,七飯町,None,他Ｌ,森林空間利用,0,140.755924,41.971251
None,ブナ,水涵保,None,渡島,2102,と,2.67,None,七飯町,ミズナラ,シナノキ,森林空間利用,0,140.755138,41.970553
None,ドイツトウヒ,水涵保,None,渡島,2102,に,7.6,None,七飯町,None,None,森林空間利用,0,140.754795,41.9713
None,トドマツ,水涵保,None,渡島,2102,へ,2.65,None,七飯町,None,None,森林空間利用,0,140.75495,41.970784
None,None,水涵保,None,渡島,2102,ホ,0.48,None,七飯町,None,None,森林空間利用,0,140.754175,41.969766
None,ブナ,水涵保,None,渡島,2102,と,2.67,None,七飯町,ミズナラ,シナノキ,森林空間利用,0,140.754379,41.970253
None,ドイツトウヒ,水涵保,None,渡島,2102,に,7.6,None,七飯町,None,None,森林空間利用,0,140.755101,41.96876
None,トドマツ,水涵保,None,渡島,2104,に,3.79,None,七飯町,None,None,森林空間利用,0,140.761309,41.968589
None,None,None,None,渡島,2104,イ,3.0,None,七飯町,None,None,森林空間利用,0,140.761763,41.967251
