A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
イタヤカエデ,2168,は,水源涵養,上ノ国町,None,ブナ,0,他Ｌ,None,2.37,水涵保,檜山,None,140.271497,41.836028
None,2168,い,水源涵養,上ノ国町,None,トドマツ,0,None,None,2.96,水涵保,檜山,None,140.271528,41.835343
イタヤカエデ,2168,は,水源涵養,上ノ国町,None,ブナ,0,他Ｌ,None,2.37,水涵保,檜山,None,140.272115,41.835847
ブナ,2167,い,水源涵養,上ノ国町,None,ヒバ,0,他Ｌ,None,34.54,水涵保,檜山,None,140.262773,41.835039
None,2166,ろ,水源涵養,上ノ国町,None,ブナ,0,他Ｌ,None,8.28,水涵保,檜山,None,140.247999,41.845883
イタヤカエデ,2168,ほ,水源涵養,上ノ国町,None,ブナ,0,他Ｌ,None,8.76,水涵保,檜山,None,140.260729,41.839382
イタヤカエデ,2167,は,水源涵養,上ノ国町,None,ブナ,0,他Ｌ,None,0.99,水涵保,檜山,None,140.259425,41.839092
ブナ,2167,ろ,水源涵養,上ノ国町,None,ヒバ,0,他Ｌ,None,9.81,水涵保,檜山,None,140.261057,41.836561
ブナ,2167,い,水源涵養,上ノ国町,None,ヒバ,0,他Ｌ,None,34.54,水涵保,檜山,None,140.257501,41.837103
None,2166,ろ,水源涵養,上ノ国町,None,ブナ,0,他Ｌ,None,8.28,水涵保,檜山,None,140.253278,41.844221
他Ｌ,2166,い,水源涵養,上ノ国町,None,ヒバ,0,ブナ,None,54.58,水涵保,檜山,None,140.253476,41.841326
他Ｌ,2164,い,水源涵養,上ノ国町,None,ヒバ,0,ブナ,None,15.06,水涵保,檜山,None,140.249038,41.841926
None,2164,イ,水源涵養,上ノ国町,None,None,0,None,None,1.62,None,檜山,None,140.239646,41.841511
None,2163,イ,水源涵養,上ノ国町,None,None,0,None,None,1.19,None,檜山,None,140.252696,41.837746
他Ｌ,2163,い,水源涵養,上ノ国町,None,ブナ,0,ヒバ,None,68.52,水涵保,檜山,None,140.252769,41.838295
他Ｌ,2164,い,水源涵養,上ノ国町,None,ヒバ,0,ブナ,None,15.06,水涵保,檜山,None,140.248214,41.839099
イタヤカエデ,2164,は,水源涵養,上ノ国町,None,ブナ,0,他Ｌ,None,5.75,水涵保,檜山,None,140.247042,41.835559
他Ｌ,2169,は,水源涵養,上ノ国町,None,ヒバ,0,ブナ,None,62.92,水涵保,檜山,None,140.288336,41.823308
他Ｌ,2161,ほ,水源涵養,上ノ国町,None,ヒバ,0,ブナ,None,37.51,水涵保,檜山,None,140.272256,41.830969
None,2169,へ,水源涵養,上ノ国町,None,ヒバ,0,None,None,0.21,水涵保,檜山,None,140.279189,41.829443
None,2161,い,水源涵養,上ノ国町,None,トドマツ,0,None,None,0.47,水涵保,檜山,None,140.284615,41.825476
None,2169,ち,水源涵養,上ノ国町,None,ヒバ,0,None,None,0.29,水涵保,檜山,None,140.279063,41.828626
他Ｌ,2169,に,水源涵養,上ノ国町,None,ヒバ,0,ブナ,None,13.28,水涵保,檜山,None,140.280802,41.827235
None,2169,と,水源涵養,上ノ国町,None,ヒバ,0,None,None,0.27,水涵保,檜山,None,140.279481,41.829238
None,2169,い,水源涵養,上ノ国町,None,トドマツ,0,None,None,0.57,水涵保,檜山,None,140.279371,41.827123
None,2161,イ,水源涵養,上ノ国町,None,None,0,None,None,2.02,None,檜山,None,140.278432,41.827576
他Ｌ,2161,ほ,水源涵養,上ノ国町,None,ヒバ,0,ブナ,None,37.51,水涵保,檜山,None,140.277339,41.826305
他Ｌ,2160,に,水源涵養,上ノ国町,None,ブナ,0,ヒバ,None,17.7,水涵保,檜山,None,140.286594,41.8208
None,2169,ろ,水源涵養,上ノ国町,None,トドマツ,0,None,None,1.66,水涵保,檜山,None,140.287589,41.819568
他Ｌ,2169,は,水源涵養,上ノ国町,None,ヒバ,0,ブナ,None,62.92,水涵保,檜山,None,140.28845,41.81844
イタヤカエデ,2160,ほ,水源涵養,上ノ国町,None,ブナ,0,他Ｌ,None,8.14,水涵保,檜山,None,140.288176,41.817689
None,2160,ロ,水源涵養,上ノ国町,None,None,0,None,None,1.53,None,檜山,None,140.28555,41.821203
None,2160,ハ,水源涵養,上ノ国町,None,None,0,None,None,0.42,None,檜山,None,140.288471,41.816723
イタヤカエデ,2160,ほ,水源涵養,上ノ国町,None,ブナ,0,他Ｌ,None,8.14,水涵保,檜山,None,140.28786,41.816777
None,2160,ろ,水源涵養,上ノ国町,None,トドマツ,0,None,None,2.05,水涵保,檜山,None,140.286924,41.817802
イタヤカエデ,2160,へ,水源涵養,上ノ国町,None,ブナ,0,他Ｌ,None,5.25,水涵保,檜山,None,140.285101,41.818987
他Ｌ,2160,は,水源涵養,上ノ国町,None,ブナ,0,ヒバ,None,8.92,水涵保,檜山,None,140.28666,41.81618
None,2159,に,水源涵養,上ノ国町,None,ヒバ,0,None,None,0.78,水涵保,檜山,None,140.285649,41.816731
他Ｌ,2160,は,水源涵養,上ノ国町,None,ブナ,0,ヒバ,None,8.92,水涵保,檜山,None,140.287265,41.81494
他Ｌ,2159,い,水源涵養,上ノ国町,None,ヒバ,0,ブナ,None,45.17,水涵保,檜山,None,140.286104,41.815357
イタヤカエデ,2160,ほ,水源涵養,上ノ国町,None,ブナ,0,他Ｌ,None,8.14,水涵保,檜山,None,140.286767,41.813196
他Ｌ,2160,に,水源涵養,上ノ国町,None,ブナ,0,ヒバ,None,17.7,水涵保,檜山,None,140.286034,41.823336
None,2160,イ,水源涵養,上ノ国町,None,None,0,None,None,1.59,水涵保,檜山,None,140.284648,41.822259
他Ｌ,2160,に,水源涵養,上ノ国町,None,ブナ,0,ヒバ,None,17.7,水涵保,檜山,None,140.282517,41.822801
None,2159,は,水源涵養,上ノ国町,None,ヒバ,0,None,None,0.54,水涵保,檜山,None,140.283289,41.819386
None,2159,ロ,水源涵養,上ノ国町,None,None,0,None,None,1.54,None,檜山,None,140.280742,41.820913
他Ｌ,2159,い,水源涵養,上ノ国町,None,ヒバ,0,ブナ,None,45.17,水涵保,檜山,None,140.274099,41.824495
他Ｌ,2159,い,水源涵養,上ノ国町,None,ヒバ,0,ブナ,None,45.17,水涵保,檜山,None,140.278999,41.82157
ブナ,2155,い,水源涵養,上ノ国町,None,ヒバ,0,他Ｌ,None,33.76,水涵保,檜山,None,140.28095,41.81816
None,2155,イ,水源涵養,上ノ国町,None,None,0,None,None,3.51,None,檜山,None,140.280999,41.814607
他Ｌ,2155,は,水源涵養,上ノ国町,None,ヒバ,0,ブナ,None,6.17,水涵保,檜山,None,140.280627,41.816559
ブナ,2155,い,水源涵養,上ノ国町,None,ヒバ,0,他Ｌ,None,33.76,水涵保,檜山,None,140.278718,41.817053
ブナ,2155,い,水源涵養,上ノ国町,None,ヒバ,0,他Ｌ,None,33.76,水涵保,檜山,None,140.281112,41.81453
他Ｌ,2155,は,水源涵養,上ノ国町,None,ヒバ,0,ブナ,None,6.17,水涵保,檜山,None,140.279144,41.815625
他Ｌ,2171,へ,水源涵養,上ノ国町,None,ブナ,0,ヒバ,None,55.1,水涵保,檜山,None,140.289437,41.812124
None,2171,イ,水源涵養,上ノ国町,None,None,0,None,None,0.83,None,檜山,None,140.287679,41.812089
イタヤカエデ,2160,へ,水源涵養,上ノ国町,None,ブナ,0,他Ｌ,None,5.25,水涵保,檜山,None,140.285785,41.812452
他Ｌ,2171,へ,水源涵養,上ノ国町,None,ブナ,0,ヒバ,None,55.1,水涵保,檜山,None,140.286197,41.810524
None,2171,い,水源涵養,上ノ国町,None,トドマツ,0,None,None,2.13,水涵保,檜山,None,140.287552,41.810063
他Ｌ,2171,へ,水源涵養,上ノ国町,None,ブナ,0,ヒバ,None,55.1,水涵保,檜山,None,140.288021,41.80949
他Ｌ,2171,へ,水源涵養,上ノ国町,None,ブナ,0,ヒバ,None,55.1,水涵保,檜山,None,140.287516,41.809205
他Ｌ,2171,へ,水源涵養,上ノ国町,None,ブナ,0,ヒバ,None,55.1,水涵保,檜山,None,140.286613,41.809608
他Ｌ,2155,は,水源涵養,上ノ国町,None,ヒバ,0,ブナ,None,6.17,水涵保,檜山,None,140.286088,41.808797
None,2154,ロ,水源涵養,上ノ国町,None,None,0,None,None,0.01,水涵保,檜山,None,140.285962,41.808643
ヒバ,2172,へ,水源涵養,上ノ国町,None,ブナ,0,他Ｌ,None,3.31,水涵保,檜山,None,140.286197,41.80806
None,2172,い,水源涵養,上ノ国町,None,トドマツ,0,None,None,2.97,水涵保,檜山,None,140.286922,41.806842
None,2154,い,水源涵養,上ノ国町,None,他Ｌ,0,イタヤカエデ,None,0.37,水涵保,檜山,None,140.285964,41.805955
None,2154,イ,水源涵養,上ノ国町,None,None,0,None,None,0.97,None,檜山,None,140.286318,41.805987
他Ｌ,2172,ち,水源涵養,上ノ国町,None,ヒバ,0,ブナ,None,12.62,水涵保,檜山,None,140.290788,41.806891
ブナ,2172,り,水源涵養,上ノ国町,None,ヒバ,0,他Ｌ,None,10.06,水涵保,檜山,None,140.286113,41.80337
None,2160,い,水源涵養,上ノ国町,None,トドマツ,0,None,None,2.19,水涵保,檜山,None,140.285293,41.811417
イタヤカエデ,2160,へ,水源涵養,上ノ国町,None,ブナ,0,他Ｌ,None,5.25,水涵保,檜山,None,140.284761,41.810835
イタヤカエデ,2160,へ,水源涵養,上ノ国町,None,ブナ,0,他Ｌ,None,5.25,水涵保,檜山,None,140.285012,41.810111
他Ｌ,2155,は,水源涵養,上ノ国町,None,ヒバ,0,ブナ,None,6.17,水涵保,檜山,None,140.284262,41.810131
他Ｌ,2155,は,水源涵養,上ノ国町,None,ヒバ,0,ブナ,None,6.17,水涵保,檜山,None,140.28386,41.809749
他Ｌ,2154,は,水源涵養,上ノ国町,None,ブナ,0,ヒバ,None,35.68,水涵保,檜山,None,140.278633,41.813022
他Ｌ,2154,へ,水源涵養,上ノ国町,None,ブナ,0,ヒバ,None,6.75,水涵保,檜山,None,140.280176,41.810389
他Ｌ,2172,ち,水源涵養,上ノ国町,None,ヒバ,0,ブナ,None,12.62,水涵保,檜山,None,140.285918,41.806873
他Ｌ,2154,に,水源涵養,上ノ国町,None,ヒバ,0,ブナ,None,10.5,水涵保,檜山,None,140.285473,41.808346
None,2154,ろ,水源涵養,上ノ国町,None,他Ｌ,0,イタヤカエデ,None,0.39,水涵保,檜山,None,140.284192,41.80675
他Ｌ,2154,に,水源涵養,上ノ国町,None,ヒバ,0,ブナ,None,10.5,水涵保,檜山,None,140.283142,41.805676
None,2153,に,水源涵養,上ノ国町,None,カラマツ,0,None,None,6.68,水涵保,檜山,None,140.282249,41.803447
