A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
シナノキ,1087,や,水源涵養,中川町,None,天トドマツ,0,他Ｌ,None,1.44,None,上川北部,None,142.039152,44.856736
None,1087,の,水源涵養,中川町,None,トドマツ,0,カンバ,None,5.76,None,上川北部,None,142.040396,44.855508
シナノキ,1087,ふ,水源涵養,中川町,None,天トドマツ,0,他Ｌ,None,6.94,None,上川北部,None,142.037279,44.854701
トドマツ,1087,む,水源涵養,中川町,None,他Ｌ,0,カンバ,None,2.2,None,上川北部,None,142.0335,44.853154
天トドマツ,1087,こ,水源涵養,中川町,None,他Ｌ,0,ミズナラ,None,2.07,None,上川北部,None,142.030068,44.853557
None,1087,う,水源涵養,中川町,None,カラマツ,0,カンバ,None,6.72,None,上川北部,None,142.037553,44.85257
ミズナラ,1087,い,水源涵養,中川町,None,他Ｌ,0,カンバ,None,4.7,None,上川北部,None,142.035337,44.852256
カンバ,1087,と,水源涵養,中川町,None,トドマツ,0,他Ｌ,None,15.47,None,上川北部,None,142.037296,44.84782
他Ｌ,1086,ろ,山地災害防止（土砂）,中川町,None,トドマツ,0,カンバ,None,10.58,土流保,上川北部,None,142.041848,44.844332
他Ｌ,1087,へ,水源涵養,中川町,None,エゾマツ,0,トドマツ,None,6.11,None,上川北部,None,142.038477,44.845749
エゾマツ,1087,ろ,水源涵養,中川町,None,トドマツ,0,他Ｌ,None,9.42,None,上川北部,None,142.035251,44.843264
None,1086,は,山地災害防止（土砂）,中川町,None,トドマツ,0,カンバ,None,2.74,土流保,上川北部,None,142.03914,44.842441
ミズナラ,1087,け,水源涵養,中川町,None,他Ｌ,0,天トドマツ,None,13.32,None,上川北部,None,142.035364,44.844761
天トドマツ,1086,く,山地災害防止（土砂）,中川町,None,他Ｌ,0,カンバ,None,1.4,土流保,上川北部,None,142.036455,44.842558
None,1087,ら,水源涵養,中川町,None,トドマツ,0,カンバ,None,5.41,None,上川北部,None,142.031813,44.852785
None,1087,ち,水源涵養,中川町,None,トドマツ,0,カンバ,None,5.0,None,上川北部,None,142.033036,44.849037
ハンノキ,1087,ぬ,水源涵養,中川町,None,ヤチダモ,0,他Ｌ,None,5.0,None,上川北部,None,142.026143,44.85208
カンバ,1087,り,水源涵養,中川町,None,トドマツ,0,エゾマツ,None,10.3,None,上川北部,None,142.031048,44.848947
他Ｌ,1087,お,水源涵養,中川町,None,カンバ,0,カラマツ,None,5.66,None,上川北部,None,142.02877,44.849228
他Ｌ,1087,ま,水源涵養,中川町,None,シナノキ,0,天トドマツ,None,10.74,None,上川北部,None,142.032489,44.846908
None,1087,に,水源涵養,中川町,None,トドマツ,0,カンバ,None,2.05,None,上川北部,None,142.031889,44.843782
カンバ,1087,ほ,水源涵養,中川町,None,トドマツ,0,他Ｌ,None,5.58,None,上川北部,None,142.030324,44.845446
天トドマツ,1087,わ,水源涵養,中川町,None,カンバ,0,他Ｌ,None,5.0,None,上川北部,None,142.027626,44.847441
カンバ,1087,え,水源涵養,中川町,None,他Ｌ,0,シナノキ,None,1.25,None,上川北部,None,142.028955,44.845271
None,1087,か,水源涵養,中川町,None,カラマツ,0,カンバ,None,12.82,None,上川北部,None,142.02747,44.844667
エゾマツ,1087,る,水源涵養,中川町,None,トドマツ,0,カンバ,None,12.6,None,上川北部,None,142.02647,44.850319
天トドマツ,1087,て,水源涵養,中川町,None,他Ｌ,0,ミズナラ,None,37.62,None,上川北部,None,142.022842,44.847392
シナノキ,1087,く,水源涵養,中川町,None,カンバ,0,他Ｌ,None,19.5,None,上川北部,None,142.021505,44.849035
カンバ,1087,な,水源涵養,中川町,None,他Ｌ,0,トドマツ,None,24.05,None,上川北部,None,142.023296,44.844132
カンバ,1088,い,水源涵養,中川町,None,天トドマツ,0,他Ｌ,None,6.69,None,上川北部,None,142.017774,44.845797
カンバ,1088,ち,水源涵養,中川町,None,天トドマツ,0,他Ｌ,None,11.7,None,上川北部,None,142.014848,44.844769
トドマツ,1088,ろ,水源涵養,中川町,None,トドマツ,0,他Ｌ,None,3.53,None,上川北部,None,142.013886,44.846677
天トドマツ,1089,へ,水源涵養,中川町,None,他Ｌ,0,カンバ,None,12.24,None,上川北部,None,142.011945,44.846018
カンバ,1088,は,水源涵養,中川町,None,天トドマツ,0,他Ｌ,None,2.75,None,上川北部,None,142.015002,44.843192
カンバ,1088,る,水源涵養,中川町,None,天トドマツ,0,他Ｌ,None,12.07,None,上川北部,None,142.012112,44.842156
カンバ,1088,ち,水源涵養,中川町,None,天トドマツ,0,他Ｌ,None,11.7,None,上川北部,None,142.011305,44.847341
None,1088,イ,水源涵養,中川町,None,None,0,None,None,0.89,None,上川北部,None,142.011404,44.847375
None,1089,ハ,水源涵養,中川町,None,None,0,None,None,0.26,None,上川北部,None,142.011477,44.845594
トドマツ,1089,い,水源涵養,中川町,None,トドマツ,0,カンバ,None,1.28,None,上川北部,None,142.011062,44.845017
None,1089,イ,水源涵養,中川町,None,None,0,None,None,0.39,None,上川北部,None,142.009248,44.845001
他Ｌ,1086,な,山地災害防止（土砂）,中川町,None,アカエゾマツ,0,カンバ,None,0.5,土流保,上川北部,None,142.040182,44.838619
カンバ,1086,に,山地災害防止（土砂）,中川町,None,トドマツ,0,他Ｌ,None,6.68,土流保,上川北部,None,142.039559,44.839801
None,1086,へ,山地災害防止（土砂）,中川町,None,トドマツ,0,カンバ,None,10.39,土流保,上川北部,None,142.036273,44.841451
None,1086,ほ,山地災害防止（土砂）,中川町,None,トドマツ,0,カンバ,None,2.2,土流保,上川北部,None,142.036718,44.840042
シナノキ,1086,ら,山地災害防止（土砂）,中川町,None,他Ｌ,0,カンバ,None,4.0,土流保,上川北部,None,142.035346,44.837667
エゾマツ,1087,は,水源涵養,中川町,None,トドマツ,0,他Ｌ,None,3.5,None,上川北部,None,142.03107,44.84166
他Ｌ,1086,や,山地災害防止（土砂）,中川町,None,天トドマツ,0,シナノキ,None,13.59,土流保,上川北部,None,142.032169,44.836343
他Ｌ,1086,と,山地災害防止（土砂）,中川町,None,トドマツ,0,カンバ,None,7.43,土流保,上川北部,None,142.032283,44.838782
カンバ,1087,よ,水源涵養,中川町,None,トドマツ,0,他Ｌ,None,4.13,None,上川北部,None,142.028421,44.841854
カンバ,1087,き,水源涵養,中川町,None,天トドマツ,0,他Ｌ,None,21.0,None,上川北部,None,142.028112,44.838123
None,1086,ね,山地災害防止（土砂）,中川町,None,トドマツ,0,他Ｌ,None,1.63,土流保,上川北部,None,142.034098,44.836598
ミズナラ,1087,あ,水源涵養,中川町,None,他Ｌ,0,カンバ,None,0.9,None,上川北部,None,142.030982,44.836939
カンバ,1087,た,水源涵養,中川町,None,天トドマツ,0,他Ｌ,None,3.11,None,上川北部,None,142.030136,44.836288
他Ｌ,1086,つ,山地災害防止（土砂）,中川町,None,ダケカンバ,0,天トドマツ,None,7.33,土流保,上川北部,None,142.031028,44.832829
カンバ,1086,ま,山地災害防止（土砂）,中川町,None,他Ｌ,0,ミズナラ,None,18.7,土流保,上川北部,None,142.031298,44.831727
天トドマツ,1086,ふ,山地災害防止（土砂）,中川町,None,他Ｌ,0,シナノキ,None,11.34,土流保,上川北部,None,142.02808,44.83269
None,1086,い,水源涵養,中川町,None,トドマツ,0,他Ｌ,None,0.35,None,上川北部,None,142.028259,44.831601
None,1086,ロ,山地災害防止（土砂）,中川町,None,None,0,None,None,0.08,None,上川北部,None,142.035361,44.82742
カンバ,1085,ま,山地災害防止（土砂）,中川町,None,天トドマツ,0,他Ｌ,None,44.5,土流保,上川北部,None,142.035828,44.826573
None,1085,チ,山地災害防止（土砂）,中川町,None,None,0,None,None,0.67,None,上川北部,None,142.035317,44.82626
ミズナラ,1086,む,山地災害防止（土砂）,中川町,None,他Ｌ,0,シナノキ,None,1.0,土流保,上川北部,None,142.033944,44.828393
None,1086,お,山地災害防止（土砂）,中川町,None,グイマツ,0,他Ｌ,None,1.65,土流保,上川北部,None,142.034057,44.826621
カンバ,1086,ま,山地災害防止（土砂）,中川町,None,他Ｌ,0,ミズナラ,None,18.7,土流保,上川北部,None,142.029957,44.831173
他Ｌ,1086,ぬ,山地災害防止（土砂）,中川町,None,ダケカンバ,0,天トドマツ,None,9.27,土流保,上川北部,None,142.029284,44.828139
天トドマツ,1086,る,山地災害防止（土砂）,中川町,None,ダケカンバ,0,他Ｌ,None,8.04,土流保,上川北部,None,142.030917,44.827396
シナノキ,1086,う,山地災害防止（土砂）,中川町,None,天トドマツ,0,他Ｌ,None,2.85,土流保,上川北部,None,142.031954,44.826034
None,1086,わ,山地災害防止（土砂）,中川町,None,トドマツ,0,他Ｌ,None,19.47,土流保,上川北部,None,142.027397,44.825088
カンバ,1085,む,山地災害防止（土砂）,中川町,None,天トドマツ,0,他Ｌ,None,6.75,土流保,上川北部,None,142.027885,44.821813
None,1085,た,山地災害防止（土砂）,中川町,None,トドマツ,0,他Ｌ,None,2.5,土流保,上川北部,None,142.03196,44.81879
カンバ,1085,そ,山地災害防止（土砂）,中川町,None,他Ｌ,0,シナノキ,None,0.7,土流保,上川北部,None,142.033378,44.815914
他Ｌ,1085,お,山地災害防止（土砂）,中川町,None,ダケカンバ,0,天トドマツ,None,5.0,土流保,上川北部,None,142.03073,44.820608
カンバ,1085,ま,山地災害防止（土砂）,中川町,None,天トドマツ,0,他Ｌ,None,44.5,土流保,上川北部,None,142.029913,44.815721
ミズナラ,1085,つ,山地災害防止（土砂）,中川町,None,他Ｌ,0,シナノキ,None,1.08,土流保,上川北部,None,142.034578,44.812813
None,1085,わ,山地災害防止（土砂）,中川町,None,トドマツ,0,他Ｌ,None,1.42,土流保,上川北部,None,142.033451,44.813769
None,1085,ニ,山地災害防止（土砂）,中川町,None,None,0,None,None,0.21,土流保,上川北部,None,142.033489,44.813426
None,1085,チ,山地災害防止（土砂）,中川町,None,None,0,None,None,0.67,None,上川北部,None,142.034154,44.812928
ミズナラ,1085,つ,山地災害防止（土砂）,中川町,None,他Ｌ,0,シナノキ,None,1.08,土流保,上川北部,None,142.033711,44.813104
None,1085,よ,山地災害防止（土砂）,中川町,None,トドマツ,0,カンバ,None,9.5,土流保,上川北部,None,142.031821,44.813186
None,1085,わ,山地災害防止（土砂）,中川町,None,トドマツ,0,他Ｌ,None,1.42,土流保,上川北部,None,142.033349,44.812605
None,1085,ロ,山地災害防止（土砂）,中川町,None,None,0,None,None,0.46,None,上川北部,None,142.034065,44.809831
ミズナラ,1085,つ,山地災害防止（土砂）,中川町,None,他Ｌ,0,シナノキ,None,1.08,土流保,上川北部,None,142.032508,44.811144
None,1085,イ,山地災害防止（土砂）,中川町,None,None,0,None,None,0.13,None,上川北部,None,142.031606,44.810579
None,1085,か,山地災害防止（土砂）,中川町,None,トドマツ,0,他Ｌ,None,1.75,土流保,上川北部,None,142.030286,44.812078
カンバ,1085,ろ,山地災害防止（土砂）,中川町,None,他Ｌ,0,天トドマツ,None,1.58,土流保,上川北部,None,142.029975,44.810308
カンバ,1085,や,山地災害防止（土砂）,中川町,None,他Ｌ,0,天トドマツ,None,11.85,土流保,上川北部,None,142.025481,44.809309
None,1085,ト,山地災害防止（土砂）,中川町,None,None,0,None,None,0.03,None,上川北部,None,142.03837,44.809919
