A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,None,土崩保,None,石狩,3276,ヘ,4.61,None,余市町,None,None,山地災害防止（土砂）,0,140.775655,43.225206
None,None,土崩保,None,石狩,3276,ヘ,4.61,None,余市町,None,None,山地災害防止（土砂）,0,140.776231,43.220805
None,他Ｌ,土崩保,魚付保,石狩,3276,は,13.46,None,余市町,ミズナラ,イタヤカエデ,山地災害防止（土砂）,0,140.772971,43.224816
None,他Ｌ,土崩保,None,石狩,3276,に,4.54,None,余市町,ミズナラ,イタヤカエデ,山地災害防止（土砂）,0,140.774382,43.223427
None,他Ｌ,土崩保,None,石狩,3276,に,4.54,None,余市町,ミズナラ,イタヤカエデ,山地災害防止（土砂）,0,140.771269,43.224077
None,None,None,None,石狩,3276,ト,0.16,None,余市町,None,None,水源涵養,0,140.772359,43.222398
None,他Ｌ,水涵保,None,石狩,3276,い,26.87,None,余市町,ミズナラ,イタヤカエデ,水源涵養,0,140.769909,43.221215
None,None,土崩保,魚付保,石狩,3276,ホ,21.91,None,余市町,None,None,山地災害防止（土砂）,0,140.768719,43.22412
None,他Ｌ,水涵保,None,石狩,3276,い,26.87,None,余市町,ミズナラ,イタヤカエデ,水源涵養,0,140.767747,43.222218
None,トドマツ,水涵保,None,石狩,3276,ろ,0.41,None,余市町,None,None,水源涵養,0,140.768385,43.220537
None,トドマツ,水涵保,None,石狩,3276,ろ,0.41,None,余市町,None,None,水源涵養,0,140.766637,43.223094
None,他Ｌ,土崩保,None,石狩,3276,に,4.54,None,余市町,ミズナラ,イタヤカエデ,山地災害防止（土砂）,0,140.766077,43.224616
None,他Ｌ,土崩保,魚付保,石狩,3276,は,13.46,None,余市町,ミズナラ,イタヤカエデ,山地災害防止（土砂）,0,140.764439,43.224948
None,None,土崩保,None,石狩,3276,ヘ,4.61,None,余市町,None,None,山地災害防止（土砂）,0,140.776719,43.218687
None,None,土崩保,魚付保,石狩,3276,ホ,21.91,None,余市町,None,None,山地災害防止（土砂）,0,140.777177,43.217539
None,None,土崩保,None,石狩,3276,ヘ,4.61,None,余市町,None,None,山地災害防止（土砂）,0,140.777303,43.216598
None,他Ｌ,土崩保,魚付保,石狩,3276,は,13.46,None,余市町,ミズナラ,イタヤカエデ,山地災害防止（土砂）,0,140.775893,43.216304
None,None,土崩保,魚付保,石狩,3276,ホ,21.91,None,余市町,None,None,山地災害防止（土砂）,0,140.777187,43.216031
None,None,None,None,石狩,3276,ハ,0.04,None,余市町,None,None,水源涵養,0,140.774499,43.215552
None,None,None,None,石狩,3276,イ,17.05,None,余市町,None,None,水源涵養,0,140.772665,43.220644
None,None,None,None,石狩,3276,ロ,0.05,None,余市町,None,None,水源涵養,0,140.771717,43.21835
None,None,None,None,石狩,3276,イ,17.05,None,余市町,None,None,水源涵養,0,140.770716,43.218487
None,他Ｌ,水涵保,None,石狩,3276,い,26.87,None,余市町,ミズナラ,イタヤカエデ,水源涵養,0,140.773155,43.217211
None,他Ｌ,水涵保,None,石狩,3276,い,26.87,None,余市町,ミズナラ,イタヤカエデ,水源涵養,0,140.772844,43.215929
None,None,None,None,石狩,3276,ニ,0.49,None,余市町,None,None,水源涵養,0,140.770556,43.222564
None,他Ｌ,土崩保,魚付保,石狩,3277,こ,5.26,None,余市町,None,カンバ,山地災害防止（土砂）,0,140.754928,43.226686
None,トドマツ,水涵保,None,石狩,3277,む,3.89,None,余市町,None,None,水源涵養,0,140.754465,43.222201
None,トドマツ,水涵保,None,石狩,3277,れ,1.0,None,余市町,None,None,水源涵養,0,140.754962,43.220405
None,他Ｌ,土崩保,魚付保,石狩,3277,こ,5.26,None,余市町,None,カンバ,山地災害防止（土砂）,0,140.752252,43.228672
None,他Ｌ,土崩保,None,石狩,3277,て,0.3,None,余市町,None,カンバ,山地災害防止（土砂）,0,140.751573,43.228519
None,カンバ,水涵保,None,石狩,3277,い,25.51,None,余市町,シナノキ,イタヤカエデ,水源涵養,0,140.751101,43.227888
