A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,None,土崩保,None,檜山,2430,ム,0.05,None,奥尻町,None,None,山地災害防止（土砂）,0,139.560341,42.242246
None,None,土崩保,None,檜山,2430,ウ,0.25,None,奥尻町,None,None,山地災害防止（土砂）,0,139.560132,42.241858
None,None,土崩保,None,檜山,2430,ム,0.05,None,奥尻町,None,None,山地災害防止（土砂）,0,139.560342,42.242033
None,None,土崩保,None,檜山,2430,ラ,0.03,None,奥尻町,None,None,山地災害防止（土砂）,0,139.560254,42.241527
None,None,土崩保,None,檜山,2430,ウ,0.25,None,奥尻町,None,None,山地災害防止（土砂）,0,139.559823,42.242044
None,None,土崩保,None,檜山,2430,ウ,0.25,None,奥尻町,None,None,山地災害防止（土砂）,0,139.559528,42.241531
None,None,土崩保,None,檜山,2430,ネ,0.07,None,奥尻町,None,None,山地災害防止（土砂）,0,139.559493,42.241818
None,None,土崩保,None,檜山,2430,ナ,0.03,None,奥尻町,None,None,山地災害防止（土砂）,0,139.559816,42.241213
None,None,土崩保,None,檜山,2430,ネ,0.07,None,奥尻町,None,None,山地災害防止（土砂）,0,139.559767,42.240464
None,None,土崩保,None,檜山,2430,ナ,0.03,None,奥尻町,None,None,山地災害防止（土砂）,0,139.559546,42.240666
None,None,土崩保,None,檜山,2430,ツ,0.08,None,奥尻町,None,None,山地災害防止（土砂）,0,139.559339,42.240109
None,None,土崩保,None,檜山,2430,エ,0.32,None,奥尻町,None,None,山地災害防止（土砂）,1,139.559248,42.232307
None,ブナ,土崩保,None,檜山,2430,ろ,12.23,None,奥尻町,イタヤカエデ,他Ｌ,山地災害防止（土砂）,0,139.559535,42.231183
None,None,土崩保,None,檜山,2430,イ,21.13,None,奥尻町,None,None,山地災害防止（土砂）,0,139.559416,42.227761
None,None,土崩保,None,檜山,2430,ク,0.48,None,奥尻町,None,None,山地災害防止（土砂）,0,139.557844,42.246334
None,None,土崩保,None,檜山,2430,ノ,0.71,None,奥尻町,None,None,山地災害防止（土砂）,0,139.557171,42.245885
None,None,土崩保,None,檜山,2430,ノ,0.71,None,奥尻町,None,None,山地災害防止（土砂）,0,139.55744,42.245662
None,ブナ,土崩保,None,檜山,2430,い,36.43,None,奥尻町,イタヤカエデ,他Ｌ,山地災害防止（土砂）,0,139.556539,42.243378
None,ブナ,土崩保,None,檜山,2430,ろ,12.23,None,奥尻町,イタヤカエデ,他Ｌ,山地災害防止（土砂）,0,139.558462,42.24347
None,None,土崩保,None,檜山,2430,フ,0.06,None,奥尻町,None,None,山地災害防止（土砂）,0,139.55834,42.242173
None,None,土崩保,None,檜山,2430,フ,0.06,None,奥尻町,None,None,山地災害防止（土砂）,0,139.558529,42.24174
None,None,土崩保,None,檜山,2430,ヤ,0.55,None,奥尻町,None,None,山地災害防止（土砂）,0,139.554048,42.242632
None,ブナ,土崩保,None,檜山,2430,ほ,6.96,None,奥尻町,イタヤカエデ,他Ｌ,山地災害防止（土砂）,0,139.554834,42.240033
None,None,土崩保,None,檜山,2430,ソ,0.22,None,奥尻町,None,None,山地災害防止（土砂）,0,139.557673,42.236309
