A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
None,3517,ロ,水源涵養,寿都町,None,None,0,None,None,0.38,None,後志,None,140.295582,42.738468
None,3517,へ,水源涵養,寿都町,None,トドマツ,0,他Ｌ,None,1.45,水涵保,後志,None,140.29497,42.737819
None,3517,ハ,水源涵養,寿都町,None,None,0,None,None,0.01,None,後志,None,140.292006,42.742344
None,3517,い,水源涵養,寿都町,None,トドマツ,0,ミズナラ,None,4.67,水涵保,後志,None,140.292952,42.740708
None,3517,い,水源涵養,寿都町,None,トドマツ,0,ミズナラ,None,4.67,水涵保,後志,None,140.292063,42.740368
None,3517,ろ,水源涵養,寿都町,None,トドマツ,0,他Ｌ,None,2.27,水涵保,後志,None,140.290324,42.739312
ブナ,3517,そ,水源涵養,寿都町,None,他Ｌ,0,イタヤカエデ,None,4.38,水涵保,後志,None,140.292998,42.738755
None,3517,は,水源涵養,寿都町,None,カラマツ,0,他Ｌ,None,1.88,水涵保,後志,None,140.292215,42.737069
None,3517,ち,水源涵養,寿都町,None,カラマツ,0,他Ｌ,None,7.96,水涵保,後志,None,140.292191,42.738946
None,3517,イ,水源涵養,寿都町,None,None,0,None,None,1.61,None,後志,None,140.288713,42.734419
None,3517,ち,水源涵養,寿都町,None,カラマツ,0,他Ｌ,None,7.96,水涵保,後志,None,140.289341,42.73726
None,3061,ね,水源涵養,寿都町,None,トドマツ,0,None,None,3.26,水涵保,後志,None,140.249121,42.753404
None,3061,ロ,水源涵養,寿都町,None,None,0,None,None,1.26,None,後志,None,140.245168,42.756134
None,3061,ね,水源涵養,寿都町,None,トドマツ,0,None,None,3.26,水涵保,後志,None,140.248433,42.753948
None,3061,ね,水源涵養,寿都町,None,トドマツ,0,None,None,3.26,水涵保,後志,None,140.247305,42.753989
イタヤカエデ,3060,わ,水源涵養,寿都町,None,他Ｌ,0,ブナ,None,5.05,水涵保,後志,None,140.25115,42.751819
None,3060,ニ,水源涵養,寿都町,None,None,0,None,None,0.2,None,後志,None,140.250793,42.751808
他Ｌ,3058,に,水源涵養,寿都町,None,他Ｌ,0,ダケカンバ,None,2.44,水涵保,後志,None,140.251617,42.751467
None,3058,ロ,水源涵養,寿都町,None,None,0,None,None,0.08,None,後志,None,140.251244,42.7514
他Ｌ,3058,に,水源涵養,寿都町,None,他Ｌ,0,ダケカンバ,None,2.44,水涵保,後志,None,140.251467,42.750934
None,3058,イ,水源涵養,寿都町,None,None,0,None,None,0.19,None,後志,None,140.251209,42.74997
None,3061,な,水源涵養,寿都町,None,カラマツ,0,他Ｌ,None,3.2,水涵保,後志,None,140.2499,42.75291
イタヤカエデ,3061,と,水源涵養,寿都町,None,他Ｌ,0,ブナ,None,23.73,水涵保,後志,None,140.250271,42.752546
イタヤカエデ,3060,わ,水源涵養,寿都町,None,他Ｌ,0,ブナ,None,5.05,水涵保,後志,None,140.249747,42.751233
None,3061,い,水源涵養,寿都町,None,トドマツ,0,None,None,6.58,水涵保,後志,None,140.248649,42.751422
None,3061,な,水源涵養,寿都町,None,カラマツ,0,他Ｌ,None,3.2,水涵保,後志,None,140.248703,42.752874
