A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,ダケカンバ,None,None,後志,1487,い,8.74,None,岩内町,None,他Ｌ,森林空間利用,0,140.512458,42.935788
None,ダケカンバ,None,None,後志,1487,い,8.74,None,岩内町,None,他Ｌ,森林空間利用,0,140.508456,42.937109
None,ダケカンバ,None,None,後志,1488,い,12.47,None,岩内町,None,他Ｌ,森林空間利用,0,140.504794,42.93805
None,ダケカンバ,None,None,後志,1488,い,12.47,None,岩内町,None,他Ｌ,森林空間利用,0,140.505967,42.936566
None,None,None,None,後志,1487,ロ,2.5,None,岩内町,None,None,森林空間利用,0,140.511691,42.935842
None,ダケカンバ,None,None,後志,1488,ろ,27.86,None,岩内町,None,他Ｌ,森林空間利用,0,140.508252,42.932235
None,ダケカンバ,None,None,後志,1488,い,12.47,None,岩内町,None,他Ｌ,森林空間利用,0,140.504701,42.934796
None,None,None,None,後志,1488,ニ,0.23,None,岩内町,None,None,森林空間利用,0,140.506328,42.932077
None,None,None,None,後志,1489,ハ,0.04,None,岩内町,None,None,森林空間利用,0,140.506114,42.932074
None,None,None,None,後志,1489,ハ,0.04,None,岩内町,None,None,森林空間利用,0,140.503657,42.937099
None,None,None,None,後志,1488,ハ,0.9,None,岩内町,None,None,森林空間利用,0,140.503855,42.936997
None,ダケカンバ,None,None,後志,1489,い,3.13,None,岩内町,None,None,森林空間利用,0,140.500563,42.935847
None,ダケカンバ,None,None,後志,1489,ろ,1.06,None,岩内町,None,None,森林空間利用,0,140.502978,42.935107
None,ダケカンバ,None,None,後志,1489,は,22.39,None,岩内町,トドマツ,他Ｌ,森林空間利用,0,140.503858,42.932851
None,ダケカンバ,None,None,後志,1491,へ,12.75,None,岩内町,None,他Ｌ,森林空間利用,0,140.500007,42.932777
None,ダケカンバ,None,None,後志,1491,に,8.59,None,岩内町,シナノキ,他Ｌ,森林空間利用,0,140.499282,42.93475
None,ダケカンバ,None,None,後志,1491,い,1.53,None,岩内町,None,トドマツ,森林空間利用,0,140.49781,42.935314
None,ダケカンバ,None,None,後志,1491,は,2.66,None,岩内町,None,他Ｌ,森林空間利用,0,140.49779,42.933409
None,ダケカンバ,None,None,後志,1491,ろ,1.19,None,岩内町,カラマツ,他Ｌ,森林空間利用,0,140.4971,42.934294
None,ダケカンバ,None,None,後志,1491,ほ,2.98,None,岩内町,None,他Ｌ,森林空間利用,0,140.499311,42.931231
None,None,None,None,後志,1488,ロ,0.16,None,岩内町,None,None,森林空間利用,0,140.511207,42.924953
None,ダケカンバ,None,None,後志,1489,に,32.38,None,岩内町,None,他Ｌ,森林空間利用,0,140.506515,42.92738
None,None,None,None,後志,1489,ロ,3.34,None,岩内町,None,None,森林空間利用,0,140.511626,42.922777
None,None,None,None,後志,1490,イ,3.41,None,岩内町,None,None,森林空間利用,0,140.511692,42.921986
None,ダケカンバ,None,None,後志,1490,い,30.73,None,岩内町,None,他Ｌ,森林空間利用,0,140.503508,42.924928
None,ダケカンバ,None,None,後志,1491,と,23.91,None,岩内町,None,他Ｌ,森林空間利用,0,140.499927,42.927984
None,ダケカンバ,水涵保,None,後志,1493,い,37.86,None,岩内町,None,他Ｌ,森林空間利用,0,140.504426,42.920164
None,None,水涵保,None,後志,1479,イ,18.91,None,岩内町,None,None,自然維持,0,140.508865,42.919129
None,None,水涵保,None,後志,1493,イ,13.22,None,岩内町,None,None,自然維持,0,140.503977,42.915778
None,None,水涵保,None,後志,1478,イ,41.35,None,岩内町,None,None,自然維持,0,140.509195,42.910595
None,ダケカンバ,水涵保,None,後志,1494,い,31.86,None,岩内町,None,他Ｌ,森林空間利用,0,140.50064,42.917676
None,None,水涵保,None,後志,1494,イ,13.47,None,岩内町,None,None,自然維持,0,140.501677,42.914366
None,ダケカンバ,水涵保,None,後志,1522,に,8.31,None,岩内町,カラマツ,他Ｌ,水源涵養,0,140.461675,42.956705
None,ダケカンバ,土崩保,None,後志,1522,り,4.98,None,岩内町,シナノキ,他Ｌ,山地災害防止（土砂）,0,140.458679,42.957865
None,ダケカンバ,水涵保,None,後志,1522,ろ,2.32,None,岩内町,None,None,水源涵養,0,140.460171,42.956553
None,ダケカンバ,水涵保,None,後志,1522,は,4.34,None,岩内町,イタヤカエデ,カラマツ,水源涵養,0,140.459001,42.955668
None,ダケカンバ,水涵保,None,後志,1522,い,1.48,None,岩内町,None,None,水源涵養,0,140.460586,42.954344
None,ダケカンバ,水涵保,None,後志,1522,と,20.08,None,岩内町,シナノキ,他Ｌ,水源涵養,0,140.459533,42.950094
None,ダケカンバ,水涵保,None,後志,1522,と,20.08,None,岩内町,シナノキ,他Ｌ,水源涵養,0,140.457849,42.950632
None,他Ｌ,土崩保,None,後志,1523,と,13.58,None,岩内町,シナノキ,ダケカンバ,山地災害防止（土砂）,0,140.457111,42.9592
None,トドマツ,水涵保,None,後志,1522,ほ,2.81,None,岩内町,None,ダケカンバ,水源涵養,0,140.457009,42.951991
None,他Ｌ,土崩保,None,後志,1523,と,13.58,None,岩内町,シナノキ,ダケカンバ,山地災害防止（土砂）,0,140.453546,42.954639
None,他Ｌ,土崩保,None,後志,1525,に,9.35,None,岩内町,シナノキ,ダケカンバ,山地災害防止（土砂）,0,140.45111,42.953017
None,ダケカンバ,None,None,後志,1491,に,8.59,None,岩内町,シナノキ,他Ｌ,森林空間利用,0,140.496086,42.93538
