A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,None,潮害保,None,網走南部,1141,ホ,0.11,None,斜里町,None,None,森林空間利用,0,144.634507,43.916274
None,None,潮害保,None,網走南部,1141,ル,19.79,None,斜里町,None,None,森林空間利用,0,144.636588,43.915374
None,None,潮害保,None,網走南部,1141,ル,19.79,None,斜里町,None,None,森林空間利用,0,144.633859,43.915856
None,他Ｌ,潮害保,None,網走南部,1141,ゆ,41.09,None,斜里町,ダケカンバ,ミズナラ,自然維持,0,144.636058,43.913242
None,None,None,None,網走南部,1141,ヌ,1.18,None,斜里町,None,None,森林空間利用,0,144.631049,43.916088
None,None,潮害保,None,網走南部,1141,ロ,0.72,None,斜里町,None,None,森林空間利用,0,144.628742,43.916373
None,None,潮害保,None,網走南部,1141,ル,19.79,None,斜里町,None,None,森林空間利用,0,144.631572,43.915343
None,None,潮害保,None,網走南部,1141,ル,19.79,None,斜里町,None,None,森林空間利用,0,144.629046,43.915487
None,None,None,None,網走南部,1141,レ,0.08,None,斜里町,None,None,森林空間利用,0,144.631558,43.913258
None,他Ｌ,潮害保,None,網走南部,1141,こ,0.52,None,斜里町,None,カラマツ,森林空間利用,0,144.630265,43.912648
None,トドマツ,潮害保,None,網走南部,1141,て,0.62,None,斜里町,他Ｌ,カラマツ,森林空間利用,0,144.628796,43.91328
None,他Ｌ,None,None,網走南部,1141,ふ,0.84,None,斜里町,None,カラマツ,森林空間利用,0,144.629248,43.912337
None,None,潮害保,None,網走南部,1141,ル,19.79,None,斜里町,None,None,森林空間利用,0,144.627423,43.915399
None,None,潮害保,None,網走南部,1141,ル,19.79,None,斜里町,None,None,森林空間利用,0,144.625115,43.91566
None,None,潮害保,None,網走南部,1141,ル,19.79,None,斜里町,None,None,森林空間利用,0,144.621016,43.916384
None,None,潮害保,None,網走南部,1141,ル,19.79,None,斜里町,None,None,森林空間利用,0,144.622611,43.915383
None,トドマツ,None,None,網走南部,1141,え,0.36,None,斜里町,他Ｌ,カラマツ,森林空間利用,0,144.628682,43.912766
None,他Ｌ,潮害保,None,網走南部,1141,ゆ,41.09,None,斜里町,ダケカンバ,ミズナラ,自然維持,0,144.627412,43.913034
None,None,None,None,網走南部,1141,ソ,0.14,None,斜里町,None,None,森林空間利用,0,144.623595,43.913613
None,他Ｌ,潮害保,None,網走南部,1141,ゆ,41.09,None,斜里町,ダケカンバ,ミズナラ,自然維持,0,144.621778,43.912696
None,None,潮害保,None,網走南部,1141,タ,2.25,None,斜里町,None,None,森林空間利用,0,144.621502,43.911712
None,None,潮害保,None,網走南部,1141,タ,2.25,None,斜里町,None,None,森林空間利用,0,144.62102,43.911565
None,ヤチダモ,潮害保,None,網走南部,1141,け,0.32,None,斜里町,イタヤカエデ,センノキ,森林空間利用,0,144.621315,43.911476
None,他Ｌ,防風保,None,網走南部,1136,よ,0.68,None,斜里町,None,None,山地災害防止（気象）,0,144.640374,43.887992
None,他Ｌ,防風保,None,網走南部,1136,に,1.91,None,斜里町,他Ｌ,ミズナラ,山地災害防止（気象）,0,144.64107,43.887702
None,他Ｌ,防風保,None,網走南部,1136,に,1.91,None,斜里町,他Ｌ,ミズナラ,山地災害防止（気象）,0,144.639223,43.887608
None,他Ｌ,防風保,None,網走南部,1136,よ,0.68,None,斜里町,None,None,山地災害防止（気象）,0,144.638167,43.887891
None,ヤチダモ,防風保,None,網走南部,1136,は,7.8,None,斜里町,None,None,山地災害防止（気象）,0,144.633998,43.887374
None,他Ｌ,防風保,None,網走南部,1136,よ,0.68,None,斜里町,None,None,山地災害防止（気象）,0,144.628646,43.887466
None,ヤチダモ,防風保,None,網走南部,1136,は,7.8,None,斜里町,None,None,山地災害防止（気象）,0,144.631744,43.887278
None,ヤチダモ,防風保,None,網走南部,1136,は,7.8,None,斜里町,None,None,山地災害防止（気象）,0,144.625606,43.886992
None,他Ｌ,防風保,None,網走南部,1136,よ,0.68,None,斜里町,None,None,山地災害防止（気象）,0,144.621754,43.887138
None,None,潮害保,None,網走南部,1141,ル,19.79,None,斜里町,None,None,森林空間利用,0,144.622853,43.915915
None,None,潮害保,None,網走南部,1141,タ,2.25,None,斜里町,None,None,森林空間利用,0,144.621098,43.914706
None,ミズナラ,潮害保,None,網走南部,1141,ろ,79.59,None,斜里町,他Ｌ,他Ｌ,森林空間利用,0,144.620752,43.914815
None,ミズナラ,潮害保,None,網走南部,1141,ろ,79.59,None,斜里町,他Ｌ,他Ｌ,森林空間利用,0,144.620589,43.914667
None,None,潮害保,None,網走南部,1141,ル,19.79,None,斜里町,None,None,森林空間利用,0,144.619339,43.9155
None,None,潮害保,None,網走南部,1141,リ,22.02,None,斜里町,None,None,森林空間利用,0,144.638698,43.916488
None,None,潮害保,None,網走南部,1141,チ,0.11,None,斜里町,None,None,森林空間利用,0,144.614211,43.915974
None,None,潮害保,None,網走南部,1141,タ,2.25,None,斜里町,None,None,森林空間利用,0,144.614995,43.91395
None,ヤチダモ,潮害保,None,網走南部,1141,け,0.32,None,斜里町,イタヤカエデ,センノキ,森林空間利用,0,144.619864,43.911193
None,ヤチダモ,潮害保,None,網走南部,1141,ま,0.1,None,斜里町,アカエゾマツ,他Ｌ,森林空間利用,0,144.61837,43.911317
None,カラマツ,潮害保,None,網走南部,1141,く,0.7,None,斜里町,他Ｌ,他Ｌ,森林空間利用,0,144.617126,43.911505
None,None,None,None,網走南部,1141,ニ,0.4,None,斜里町,None,None,森林空間利用,0,144.615541,43.91193
None,None,潮害保,None,網走南部,1141,タ,2.25,None,斜里町,None,None,森林空間利用,0,144.61674,43.911533
None,None,潮害保,None,網走南部,1141,タ,2.25,None,斜里町,None,None,森林空間利用,0,144.616868,43.911637
None,None,潮害保,None,網走南部,1141,タ,2.25,None,斜里町,None,None,森林空間利用,0,144.616851,43.911831
None,None,潮害保,None,網走南部,1141,タ,2.25,None,斜里町,None,None,森林空間利用,0,144.617061,43.91155
