A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
天トドマツ,1269,い,自然維持,新得町,None,天エゾマツ,0,ダケカンバ,None,51.78,水涵保,東大雪支,None,142.996924,43.449871
天アカエゾ,1207,い,自然維持,新得町,None,ダケカンバ,0,他Ｌ,None,140.25,水涵保,東大雪支,None,142.969316,43.531036
他Ｌ,1208,い,自然維持,新得町,None,ダケカンバ,0,他Ｌ,None,10.64,水涵保,東大雪支,None,142.994359,43.526975
他Ｌ,1207,は,自然維持,新得町,None,ダケカンバ,0,天エゾマツ,None,152.38,水涵保,東大雪支,None,142.982592,43.527706
他Ｌ,1208,は,自然維持,新得町,None,ダケカンバ,0,天エゾマツ,None,81.32,水涵保,東大雪支,None,142.991134,43.518573
天アカエゾ,1208,ほ,自然維持,新得町,None,天エゾマツ,0,天トドマツ,None,46.0,水涵保,東大雪支,None,142.987458,43.514824
他Ｌ,1207,ろ,自然維持,新得町,None,ダケカンバ,0,天エゾマツ,None,75.38,水涵保,東大雪支,None,142.969001,43.524927
天アカエゾ,1207,へ,自然維持,新得町,None,天エゾマツ,0,ダケカンバ,None,43.7,水涵保,東大雪支,None,142.979571,43.519679
天トドマツ,1207,に,自然維持,新得町,None,天エゾマツ,0,ダケカンバ,None,70.6,水涵保,東大雪支,None,142.974619,43.515982
天エゾマツ,1207,ほ,自然維持,新得町,None,天トドマツ,0,ダケカンバ,None,47.13,水涵保,東大雪支,None,142.968103,43.511046
None,1207,イ,自然維持,新得町,None,他Ｌ,0,None,None,27.64,水涵保,東大雪支,None,142.961999,43.526862
None,1200,イ,自然維持,新得町,None,None,0,None,None,58.75,水涵保,東大雪支,None,142.945116,43.53123
None,1206,イ,自然維持,新得町,None,None,0,None,None,0.75,水涵保,東大雪支,None,142.958776,43.518112
他Ｌ,1206,い,自然維持,新得町,None,ダケカンバ,0,天エゾマツ,None,40.1,水涵保,東大雪支,None,142.959721,43.512471
他Ｌ,1200,ろ,自然維持,新得町,None,ダケカンバ,0,天エゾマツ,None,253.2,水涵保,東大雪支,None,142.948315,43.52071
None,1198,イ,自然維持,新得町,None,None,0,None,None,326.0,水涵保,東大雪支,None,142.894645,43.559337
天アカエゾ,1199,へ,自然維持,新得町,None,ダケカンバ,0,天エゾマツ,None,182.06,水涵保,東大雪支,None,142.93685,43.537223
None,1199,イ,自然維持,新得町,None,None,0,None,None,134.3,水涵保,東大雪支,None,142.917133,43.550022
None,1199,ロ,自然維持,新得町,None,None,0,None,None,1.44,水涵保,東大雪支,None,142.924555,43.544129
他Ｌ,1199,ほ,自然維持,新得町,None,ダケカンバ,0,天エゾマツ,None,160.45,水涵保,東大雪支,None,142.917177,43.540947
他Ｌ,1198,は,自然維持,新得町,None,ダケカンバ,0,天エゾマツ,None,180.25,水涵保,東大雪支,None,142.906491,43.542515
天アカエゾ,1199,に,自然維持,新得町,None,天エゾマツ,0,天トドマツ,None,482.34,水涵保,東大雪支,None,142.928545,43.520464
None,1199,は,自然維持,新得町,None,ダケカンバ,0,他Ｌ,None,12.82,水涵保,東大雪支,None,142.925792,43.507184
他Ｌ,1198,ろ,自然維持,新得町,None,ダケカンバ,1,天エゾマツ,None,238.0,水涵保,東大雪支,None,142.909666,43.524538
天トドマツ,1198,い,自然維持,新得町,None,天エゾマツ,0,ダケカンバ,None,99.44,水涵保,東大雪支,None,142.90793,43.512943
他Ｌ,1198,ろ,自然維持,新得町,None,ダケカンバ,0,天エゾマツ,None,193.2,水涵保,東大雪支,None,142.898561,43.527411
他Ｌ,1197,い,自然維持,新得町,None,ダケカンバ,0,天エゾマツ,None,128.03,水涵保,東大雪支,None,142.895297,43.515388
他Ｌ,1197,ろ,自然維持,新得町,None,ダケカンバ,0,天エゾマツ,None,274.12,水涵保,東大雪支,None,142.882414,43.526421
他Ｌ,1209,に,自然維持,新得町,None,天エゾマツ,0,ダケカンバ,None,25.9,水涵保,東大雪支,None,142.98922,43.507262
ダケカンバ,1208,に,自然維持,新得町,None,天エゾマツ,0,天トドマツ,None,65.34,水涵保,東大雪支,None,142.982647,43.508868
天アカエゾ,1209,は,自然維持,新得町,None,天トドマツ,0,天エゾマツ,None,56.06,水涵保,東大雪支,None,142.983877,43.50284
天アカエゾ,1210,に,自然維持,新得町,None,天トドマツ,0,天エゾマツ,None,151.56,水涵保,東大雪支,None,142.994322,43.489432
None,1215,ロ,自然維持,新得町,None,None,0,None,None,2.14,None,東大雪支,None,142.991408,43.488978
天アカエゾ,1215,ろ,自然維持,新得町,None,天エゾマツ,0,天トドマツ,None,70.31,水涵保,東大雪支,None,142.990693,43.492894
天アカエゾ,1210,に,自然維持,新得町,None,天トドマツ,0,天エゾマツ,None,151.56,水涵保,東大雪支,None,142.991107,43.491216
None,1215,イ,自然維持,新得町,None,None,0,None,None,1.9,None,東大雪支,None,142.976195,43.498281
ダケカンバ,1210,は,自然維持,新得町,None,天トドマツ,1,天エゾマツ,None,30.59,水涵保,東大雪支,None,142.983408,43.498081
天アカエゾ,1215,い,自然維持,新得町,None,天トドマツ,0,天エゾマツ,None,107.29,水涵保,東大雪支,None,142.981101,43.491194
天エゾマツ,1207,ほ,自然維持,新得町,None,天トドマツ,1,ダケカンバ,None,52.56,水涵保,東大雪支,None,142.974041,43.506603
ダケカンバ,1209,ほ,自然維持,新得町,None,天エゾマツ,0,天トドマツ,None,7.6,水涵保,東大雪支,None,142.979822,43.500997
天エゾマツ,1207,ほ,自然維持,新得町,None,天トドマツ,0,ダケカンバ,None,47.13,水涵保,東大雪支,None,142.976564,43.501122
ミズナラ,1206,は,自然維持,新得町,None,天トドマツ,0,天エゾマツ,None,77.69,水涵保,東大雪支,None,142.965018,43.505009
天アカエゾ,1215,い,自然維持,新得町,None,天トドマツ,0,天エゾマツ,None,107.29,水涵保,東大雪支,None,142.978672,43.497128
天エゾマツ,1216,ろ,自然維持,新得町,None,ダケカンバ,0,天トドマツ,None,67.49,水涵保,東大雪支,None,142.972652,43.495157
天エゾマツ,1216,ろ,自然維持,新得町,None,ダケカンバ,0,天トドマツ,None,67.49,水涵保,東大雪支,None,142.974614,43.49889
天アカエゾ,1215,ろ,自然維持,新得町,None,天エゾマツ,0,天トドマツ,None,70.31,水涵保,東大雪支,None,142.987972,43.485568
天アカエゾ,1214,は,自然維持,新得町,None,天トドマツ,0,天エゾマツ,None,132.06,水涵保,東大雪支,None,142.992321,43.469293
ダケカンバ,1214,に,自然維持,新得町,None,天エゾマツ,0,天トドマツ,None,131.18,水涵保,東大雪支,None,142.985234,43.476945
他Ｌ,1217,ほ,自然維持,新得町,None,天エゾマツ,0,天トドマツ,None,39.78,水涵保,東大雪支,None,142.97812,43.47983
ダケカンバ,1217,ろ,自然維持,新得町,None,天トドマツ,0,天エゾマツ,None,95.06,水涵保,東大雪支,None,142.97349,43.485414
ダケカンバ,1217,い,自然維持,新得町,None,天エゾマツ,0,天トドマツ,None,65.9,水涵保,東大雪支,None,142.970699,43.476249
天エゾマツ,1218,い,自然維持,新得町,None,天トドマツ,0,ダケカンバ,None,92.93,水涵保,東大雪支,None,142.972506,43.469425
天エゾマツ,1206,ろ,自然維持,新得町,None,天トドマツ,0,ダケカンバ,None,84.61,水涵保,東大雪支,保健保,142.96123,43.498611
他Ｌ,1202,ろ,自然維持,新得町,None,ダケカンバ,0,天エゾマツ,None,14.5,水涵保,東大雪支,None,142.955877,43.509441
ミズナラ,1206,は,自然維持,新得町,None,天トドマツ,1,天エゾマツ,None,39.75,水涵保,東大雪支,None,142.957008,43.504158
None,1216,イ,自然維持,新得町,None,None,0,None,None,3.2,None,東大雪支,None,142.96626,43.496897
天アカエゾ,1216,い,自然維持,新得町,None,天トドマツ,0,天エゾマツ,None,82.98,水涵保,東大雪支,None,142.959482,43.493525
天トドマツ,1205,ろ,自然維持,新得町,None,天エゾマツ,0,ダケカンバ,None,39.13,水涵保,東大雪支,None,142.949187,43.494131
他Ｌ,1205,い,自然維持,新得町,None,天トドマツ,0,ダケカンバ,None,82.71,水涵保,東大雪支,None,142.95389,43.493254
天アカエゾ,1202,い,自然維持,新得町,None,天エゾマツ,0,天トドマツ,None,178.12,None,東大雪支,None,142.944404,43.501619
ダケカンバ,1200,い,自然維持,新得町,None,天エゾマツ,0,天トドマツ,None,167.0,None,東大雪支,None,142.940405,43.509953
天アカエゾ,1201,い,自然維持,新得町,None,天エゾマツ,1,天トドマツ,None,139.34,None,東大雪支,None,142.935239,43.489715
天アカエゾ,1216,い,自然維持,新得町,None,天トドマツ,0,天エゾマツ,None,82.98,水涵保,東大雪支,None,142.964498,43.491613
天エゾマツ,1217,は,自然維持,新得町,None,ダケカンバ,0,天トドマツ,None,96.56,水涵保,東大雪支,None,142.961165,43.478296
ダケカンバ,1205,は,自然維持,新得町,None,天トドマツ,0,天エゾマツ,None,17.14,水涵保,東大雪支,None,142.952682,43.486428
ダケカンバ,1205,は,自然維持,新得町,None,天トドマツ,0,天エゾマツ,None,17.14,水涵保,東大雪支,None,142.952248,43.488716
他Ｌ,1217,に,自然維持,新得町,None,天トドマツ,0,天エゾマツ,None,71.06,水涵保,東大雪支,None,142.951004,43.479661
ダケカンバ,1218,ろ,自然維持,新得町,None,天トドマツ,0,天エゾマツ,None,79.99,水涵保,東大雪支,None,142.95622,43.472565
None,1205,イ,自然維持,新得町,None,None,0,None,None,1.7,None,東大雪支,None,142.953739,43.488641
他Ｌ,1205,い,自然維持,新得町,None,天トドマツ,1,ダケカンバ,None,29.25,土崩保,東大雪支,None,142.946803,43.479869
他Ｌ,1205,い,自然維持,新得町,None,天トドマツ,1,ダケカンバ,None,29.25,土崩保,東大雪支,None,142.943383,43.482011
他Ｌ,1217,に,自然維持,新得町,None,天トドマツ,0,天エゾマツ,None,71.06,水涵保,東大雪支,None,142.944185,43.477187
