A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,ブナ,土流保,None,檜山,331,に,6.25,None,江差町,イタヤカエデ,他Ｌ,山地災害防止（土砂）,0,140.256068,41.975496
None,ブナ,土流保,None,檜山,331,ほ,29.34,None,江差町,イタヤカエデ,他Ｌ,山地災害防止（土砂）,0,140.250099,41.973481
None,ブナ,土流保,None,檜山,331,に,6.25,None,江差町,イタヤカエデ,他Ｌ,山地災害防止（土砂）,0,140.253987,41.975571
None,ブナ,土流保,None,檜山,331,に,6.25,None,江差町,イタヤカエデ,他Ｌ,山地災害防止（土砂）,0,140.251191,41.975297
None,ブナ,土流保,None,檜山,332,に,2.88,None,江差町,イタヤカエデ,他Ｌ,山地災害防止（土砂）,0,140.258376,41.971207
None,ブナ,土流保,None,檜山,332,は,9.75,None,江差町,イタヤカエデ,他Ｌ,山地災害防止（土砂）,0,140.255854,41.972033
None,ブナ,土流保,None,檜山,332,に,2.88,None,江差町,イタヤカエデ,他Ｌ,山地災害防止（土砂）,0,140.256149,41.973284
None,ブナ,土流保,None,檜山,332,は,9.75,None,江差町,イタヤカエデ,他Ｌ,山地災害防止（土砂）,0,140.257731,41.971281
None,ブナ,土流保,None,檜山,332,は,9.75,None,江差町,イタヤカエデ,他Ｌ,山地災害防止（土砂）,0,140.252784,41.972498
None,ブナ,土流保,None,檜山,332,ほ,25.75,None,江差町,イタヤカエデ,他Ｌ,山地災害防止（土砂）,0,140.259952,41.974605
None,トドマツ,土流保,None,檜山,332,ろ,4.42,None,江差町,None,None,山地災害防止（土砂）,0,140.251899,41.97009
None,トドマツ,土流保,None,檜山,331,ろ,0.08,None,江差町,None,None,山地災害防止（土砂）,0,140.249063,41.974114
None,トドマツ,土流保,None,檜山,330,に,2.92,None,江差町,None,None,山地災害防止（土砂）,0,140.247326,41.973551
None,ブナ,土流保,None,檜山,330,へ,2.75,None,江差町,イタヤカエデ,他Ｌ,山地災害防止（土砂）,0,140.248037,41.972874
