A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
None,2001,そ,水源涵養,津別町,None,トドマツ,0,None,None,0.42,None,網走南部,None,144.123744,43.688045
None,2001,ロ,水源涵養,津別町,None,None,0,None,None,0.5,None,網走南部,None,144.127684,43.686151
None,2001,れ,水源涵養,津別町,None,カラマツ,0,他Ｌ,None,1.54,None,網走南部,None,144.128101,43.685174
None,2001,れ,水源涵養,津別町,None,カラマツ,0,他Ｌ,None,1.54,None,網走南部,None,144.127264,43.685596
None,2001,イ,水源涵養,津別町,None,None,0,None,None,2.8,None,網走南部,None,144.128404,43.685387
None,2002,ち,水源涵養,津別町,None,カラマツ,0,他Ｌ,None,5.27,None,網走南部,None,144.128172,43.684455
None,2002,う,水源涵養,津別町,None,カラマツ,0,None,None,0.58,None,網走南部,None,144.127105,43.684443
None,2002,わ,水源涵養,津別町,None,カラマツ,0,他Ｌ,None,0.28,None,網走南部,None,144.127068,43.683483
None,2002,お,水源涵養,津別町,None,カラマツ,0,他Ｌ,None,0.32,None,網走南部,None,144.125982,43.684296
None,2002,ち,水源涵養,津別町,None,カラマツ,0,他Ｌ,None,5.27,None,網走南部,None,144.125077,43.683616
None,2002,ち,水源涵養,津別町,None,カラマツ,0,他Ｌ,None,5.27,None,網走南部,None,144.125723,43.682792
None,2002,か,水源涵養,津別町,None,カラマツ,0,他Ｌ,None,0.62,None,網走南部,None,144.126389,43.682483
None,2001,つ,水源涵養,津別町,None,トドマツ,0,None,None,0.49,None,網走南部,None,144.124816,43.687499
他Ｌ,2001,か,水源涵養,津別町,None,トドマツ,0,トドマツ,None,2.54,None,網走南部,None,144.123948,43.687054
他Ｎ,2001,む,水源涵養,津別町,None,エゾマツ,0,他Ｌ,None,6.27,None,網走南部,None,144.121697,43.687231
None,2001,ね,水源涵養,津別町,None,カラマツ,0,他Ｌ,None,1.25,None,網走南部,None,144.122314,43.685348
None,2002,ち,水源涵養,津別町,None,カラマツ,0,他Ｌ,None,5.27,None,網走南部,None,144.124097,43.682373
None,2002,る,水源涵養,津別町,None,カラマツ,0,他Ｌ,None,0.4,None,網走南部,None,144.123885,43.683243
他Ｎ,2002,ろ,水源涵養,津別町,None,他Ｌ,0,天トドマツ,None,3.06,None,網走南部,None,144.125066,43.68454
None,2002,と,水源涵養,津別町,None,カラマツ,0,他Ｌ,None,4.0,None,網走南部,None,144.12214,43.682882
ダケカンバ,2031,ほ,水源涵養,津別町,None,天エゾマツ,0,天トドマツ,None,24.87,None,網走南部,None,144.20798,43.596954
None,2026,と,水源涵養,津別町,None,アカエゾマツ,0,他Ｌ,None,5.97,None,網走南部,None,144.187147,43.608491
天エゾマツ,2026,わ,水源涵養,津別町,None,天トドマツ,0,他Ｌ,None,3.48,None,網走南部,None,144.184672,43.612212
None,2026,ち,水源涵養,津別町,None,アカエゾマツ,0,他Ｌ,None,14.15,None,網走南部,None,144.185341,43.609155
None,2026,ち,水源涵養,津別町,None,アカエゾマツ,0,他Ｌ,None,14.15,None,網走南部,None,144.184043,43.607955
天トドマツ,2031,ろ,水源涵養,津別町,None,天エゾマツ,0,ダケカンバ,None,54.44,None,網走南部,None,144.197269,43.603224
None,2031,い,水源涵養,津別町,None,アカエゾマツ,0,他Ｌ,None,17.39,None,網走南部,None,144.191685,43.604286
シナノキ,2034,ろ,水源涵養,津別町,None,天エゾマツ,0,天トドマツ,None,65.34,None,網走南部,None,144.19692,43.598137
None,2034,と,水源涵養,津別町,None,アカエゾマツ,0,他Ｌ,None,14.92,None,網走南部,None,144.193978,43.59718
None,2034,ち,水源涵養,津別町,None,アカエゾマツ,0,他Ｌ,None,2.39,None,網走南部,None,144.193287,43.598173
None,2030,い,水源涵養,津別町,None,アカエゾマツ,0,他Ｌ,None,2.75,None,網走南部,None,144.190925,43.606256
None,2029,と,水源涵養,津別町,None,アカエゾマツ,0,他Ｌ,None,3.04,None,網走南部,None,144.187456,43.606434
None,2031,い,水源涵養,津別町,None,アカエゾマツ,0,他Ｌ,None,17.39,None,網走南部,None,144.188556,43.604985
シナノキ,2031,は,水源涵養,津別町,None,天トドマツ,0,天エゾマツ,None,4.27,None,網走南部,None,144.186475,43.603695
シナノキ,2031,は,水源涵養,津別町,None,天トドマツ,0,天エゾマツ,None,4.27,None,網走南部,None,144.186606,43.604798
シナノキ,2032,に,水源涵養,津別町,None,天トドマツ,0,天エゾマツ,None,18.1,None,網走南部,None,144.185483,43.60518
None,2032,ロ,水源涵養,津別町,None,None,0,None,None,0.03,None,網走南部,None,144.18607,43.604333
None,2031,イ,水源涵養,津別町,None,None,0,None,None,0.26,None,網走南部,None,144.195552,43.606143
シナノキ,2032,に,水源涵養,津別町,None,天トドマツ,0,天エゾマツ,None,18.1,None,網走南部,None,144.185348,43.604002
None,2034,へ,水源涵養,津別町,None,アカエゾマツ,0,他Ｌ,None,4.27,None,網走南部,None,144.188072,43.600498
None,2034,ほ,水源涵養,津別町,None,トドマツ,0,他Ｌ,None,12.94,None,網走南部,None,144.188465,43.59812
None,2034,ち,水源涵養,津別町,None,アカエゾマツ,0,他Ｌ,None,2.39,None,網走南部,None,144.191035,43.59687
None,2034,ヘ,水源涵養,津別町,None,他Ｎ,0,他Ｌ,None,21.76,None,網走南部,None,144.190682,43.596782
None,2034,ヘ,水源涵養,津別町,None,他Ｎ,0,他Ｌ,None,21.76,None,網走南部,None,144.188866,43.597053
None,2034,ほ,水源涵養,津別町,None,トドマツ,0,他Ｌ,None,12.94,None,網走南部,None,144.18861,43.596725
None,2034,ハ,水源涵養,津別町,None,None,0,None,None,0.13,None,網走南部,None,144.18564,43.601304
シナノキ,2034,ぬ,水源涵養,津別町,None,天トドマツ,0,天エゾマツ,None,21.56,None,網走南部,None,144.185045,43.600354
