A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,None,None,None,網走西部,112,ル,0.96,None,湧別町,None,None,森林空間利用,0,143.780005,44.18244
None,None,None,None,網走西部,112,レ,4.14,None,湧別町,None,None,森林空間利用,0,143.768292,44.185525
None,None,None,None,網走西部,112,ヌ,3.69,None,湧別町,None,None,森林空間利用,0,143.766255,44.185842
None,None,None,None,網走西部,112,タ,1.3,None,湧別町,None,None,森林空間利用,0,143.757286,44.188281
None,None,None,None,網走西部,112,ヌ,3.69,None,湧別町,None,None,森林空間利用,0,143.759805,44.187683
None,None,None,None,網走西部,112,ヌ,3.69,None,湧別町,None,None,森林空間利用,0,143.757671,44.188618
None,None,None,None,網走西部,112,ヌ,3.69,None,湧別町,None,None,森林空間利用,0,143.759496,44.188002
None,None,None,None,網走西部,112,ヌ,3.69,None,湧別町,None,None,森林空間利用,0,143.75902,44.188143
None,None,None,None,網走西部,112,ヘ,0.66,None,湧別町,None,None,森林空間利用,0,143.765736,44.185835
None,None,None,None,網走西部,112,ト,0.12,None,湧別町,None,None,森林空間利用,0,143.757962,44.188156
None,None,None,None,網走西部,112,ト,0.12,None,湧別町,None,None,森林空間利用,0,143.758087,44.188014
None,None,防風保,魚付保,網走西部,112,ナ,6.99,保健保,湧別町,None,None,森林空間利用,0,143.756798,44.188852
None,None,防風保,魚付保,網走西部,112,ナ,6.99,保健保,湧別町,None,None,森林空間利用,0,143.756373,44.18896
None,None,None,None,網走西部,112,ト,0.12,None,湧別町,None,None,森林空間利用,0,143.757674,44.188053
None,ミズナラ,防風保,魚付保,網走西部,112,ち,102.69,保健保,湧別町,他Ｌ,他Ｌ,自然維持,0,143.753764,44.188673
None,None,防風保,魚付保,網走西部,112,ナ,6.99,保健保,湧別町,None,None,森林空間利用,0,143.755816,44.189097
None,None,防風保,魚付保,網走西部,112,ナ,6.99,保健保,湧別町,None,None,森林空間利用,0,143.755365,44.18923
None,None,防風保,魚付保,網走西部,112,ハ,0.6,保健保,湧別町,None,None,森林空間利用,0,143.754092,44.189549
None,None,防風保,魚付保,網走西部,112,ナ,6.99,保健保,湧別町,None,None,森林空間利用,0,143.754823,44.189393
None,None,防風保,魚付保,網走西部,112,ナ,6.99,保健保,湧別町,None,None,森林空間利用,0,143.754277,44.18956
None,None,防風保,魚付保,網走西部,112,ハ,0.6,保健保,湧別町,None,None,森林空間利用,0,143.752114,44.189934
None,None,防風保,魚付保,網走西部,112,ハ,0.6,保健保,湧別町,None,None,森林空間利用,0,143.751503,44.190153
None,None,防風保,魚付保,網走西部,112,ロ,0.26,保健保,湧別町,None,None,自然維持,0,143.752424,44.189627
None,None,防風保,魚付保,網走西部,112,ナ,6.99,保健保,湧別町,None,None,森林空間利用,0,143.753023,44.189463
None,None,防風保,魚付保,網走西部,112,ニ,0.22,保健保,湧別町,None,None,森林空間利用,0,143.74916,44.190941
None,None,防風保,魚付保,網走西部,112,ネ,0.13,保健保,湧別町,None,None,森林空間利用,0,143.746373,44.191796
None,ミズナラ,防風保,魚付保,網走西部,112,ち,102.69,保健保,湧別町,他Ｌ,他Ｌ,自然維持,0,143.743097,44.191185
None,カシワ,防風保,魚付保,網走西部,112,つ,16.76,保健保,湧別町,None,None,自然維持,0,143.720281,44.1988
None,アカエゾマツ,防風保,魚付保,網走西部,112,り,2.58,保健保,湧別町,None,None,森林空間利用,0,143.705411,44.199954
None,アカエゾマツ,防風保,魚付保,網走西部,112,ぬ,1.48,保健保,湧別町,None,None,森林空間利用,0,143.705703,44.198521
