A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,天トドマツ,水涵保,None,網走中部,130,ふ,3.22,None,置戸町,天エゾマツ,他Ｌ,水源涵養,0,143.563387,43.73716
None,カラマツ,None,None,網走中部,130,け,9.16,None,置戸町,None,None,水源涵養,0,143.559683,43.738558
None,None,None,None,網走中部,131,ロ,0.66,None,置戸町,None,None,水源涵養,0,143.561241,43.726189
None,None,None,None,網走中部,131,ロ,0.66,None,置戸町,None,None,水源涵養,0,143.560119,43.727047
None,他Ｌ,水涵保,None,網走中部,133,か,4.06,None,置戸町,他Ｎ,天トドマツ,水源涵養,0,143.567191,43.716262
None,天トドマツ,水涵保,None,網走中部,133,そ,1.22,None,置戸町,ダケカンバ,他Ｌ,水源涵養,0,143.561604,43.724642
None,カラマツ,水涵保,None,網走中部,133,と,23.46,None,置戸町,他Ｌ,トドマツ,水源涵養,0,143.561365,43.72187
None,トドマツ,水涵保,None,網走中部,133,わ,2.8,None,置戸町,None,他Ｌ,水源涵養,0,143.563153,43.718648
None,カラマツ,水涵保,None,網走中部,133,む,0.88,None,置戸町,None,None,水源涵養,0,143.564176,43.715654
None,カラマツ,水涵保,None,網走中部,133,う,4.74,None,置戸町,None,他Ｌ,水源涵養,0,143.560321,43.718738
None,トドマツ,水涵保,None,網走中部,133,ち,16.35,None,置戸町,トドマツ,他Ｌ,水源涵養,0,143.565807,43.718016
None,トドマツ,水涵保,None,網走中部,133,い,37.37,None,置戸町,None,他Ｌ,水源涵養,0,143.562232,43.714506
None,トドマツ,水涵保,None,網走中部,133,ち,16.35,None,置戸町,トドマツ,他Ｌ,水源涵養,0,143.558616,43.714832
None,他Ｌ,水涵保,None,網走中部,133,か,4.06,None,置戸町,他Ｎ,天トドマツ,水源涵養,0,143.567627,43.713587
None,カラマツ,水涵保,None,網走中部,133,り,9.12,None,置戸町,None,他Ｌ,水源涵養,0,143.565217,43.714084
None,トドマツ,水涵保,None,網走中部,133,ろ,18.43,None,置戸町,None,他Ｌ,水源涵養,0,143.562269,43.711386
None,トドマツ,水涵保,None,網走中部,133,ぬ,8.0,None,置戸町,None,他Ｌ,水源涵養,0,143.565044,43.711296
None,トドマツ,水涵保,None,網走中部,133,い,37.37,None,置戸町,None,他Ｌ,水源涵養,0,143.558692,43.71369
None,ミズナラ,水涵保,None,網走中部,130,に,2.85,None,置戸町,他Ｌ,シラカバ,水源涵養,0,143.558292,43.740325
None,ニレ,水涵保,None,網走中部,130,て,3.56,None,置戸町,シラカバ,他Ｌ,水源涵養,0,143.557452,43.73862
None,トドマツ,水涵保,None,網走中部,130,こ,6.53,None,置戸町,None,None,水源涵養,0,143.555889,43.737975
None,天トドマツ,水涵保,None,網走中部,130,い,14.38,None,置戸町,他Ｌ,天エゾマツ,水源涵養,0,143.550133,43.740593
None,トドマツ,水涵保,None,網走中部,130,き,1.22,None,置戸町,None,None,水源涵養,0,143.553878,43.73818
None,天トドマツ,水涵保,None,網走中部,130,あ,0.69,None,置戸町,シナノキ,他Ｌ,水源涵養,0,143.553037,43.738165
None,カラマツ,水涵保,None,網走中部,130,え,8.03,None,置戸町,None,None,水源涵養,0,143.550539,43.738788
None,天トドマツ,水涵保,None,網走中部,130,は,39.68,None,置戸町,None,他Ｌ,水源涵養,0,143.548539,43.737161
None,トドマツ,水涵保,None,網走中部,130,れ,5.73,None,置戸町,None,他Ｌ,水源涵養,0,143.545417,43.735885
None,トドマツ,水涵保,None,網走中部,130,ほ,2.5,None,置戸町,None,他Ｌ,水源涵養,0,143.555289,43.731485
None,アカエゾマツ,水涵保,None,網走中部,130,さ,3.12,None,置戸町,None,None,水源涵養,0,143.554404,43.735742
None,トドマツ,水涵保,None,網走中部,130,か,4.08,None,置戸町,None,他Ｌ,水源涵養,0,143.552258,43.735415
None,トドマツ,水涵保,None,網走中部,130,わ,1.86,None,置戸町,None,他Ｌ,水源涵養,0,143.553463,43.732513
None,天トドマツ,水涵保,None,網走中部,130,ろ,63.76,None,置戸町,天エゾマツ,他Ｌ,水源涵養,0,143.556164,43.729147
None,None,None,None,網走中部,131,ロ,0.66,None,置戸町,None,None,水源涵養,0,143.556788,43.727785
None,None,None,None,網走中部,131,ハ,0.03,None,置戸町,None,None,水源涵養,0,143.55555,43.728783
None,None,None,None,網走中部,131,ロ,0.66,None,置戸町,None,None,水源涵養,0,143.557641,43.727324
None,None,None,None,網走中部,131,ロ,0.66,None,置戸町,None,None,水源涵養,0,143.556241,43.727094
None,トドマツ,水涵保,None,網走中部,130,よ,3.05,None,置戸町,None,他Ｌ,水源涵養,0,143.549679,43.734677
None,トドマツ,水涵保,None,網走中部,130,た,2.75,None,置戸町,None,他Ｌ,水源涵養,0,143.547522,43.734909
None,None,None,None,網走中部,130,イ,1.55,None,置戸町,None,None,水源涵養,0,143.553778,43.731058
None,天トドマツ,水涵保,None,網走中部,130,ろ,63.76,None,置戸町,天エゾマツ,他Ｌ,水源涵養,0,143.544027,43.735677
None,トドマツ,水涵保,None,網走中部,130,り,9.4,None,置戸町,None,None,水源涵養,0,143.543702,43.732622
None,カラマツ,水涵保,None,網走中部,131,ろ,36.32,None,置戸町,トドマツ,他Ｌ,水源涵養,0,143.54958,43.726189
None,カラマツ,水涵保,None,網走中部,131,は,52.39,None,置戸町,None,他Ｌ,水源涵養,0,143.546446,43.729539
None,トドマツ,水涵保,None,網走中部,130,つ,11.31,None,置戸町,None,他Ｌ,水源涵養,0,143.534973,43.742285
None,天トドマツ,水涵保,None,網走中部,130,ろ,63.76,None,置戸町,天エゾマツ,他Ｌ,水源涵養,0,143.540894,43.741262
None,トドマツ,水涵保,None,網走中部,130,つ,11.31,None,置戸町,None,他Ｌ,水源涵養,0,143.539453,43.740766
None,天トドマツ,水涵保,None,網走中部,130,ろ,63.76,None,置戸町,天エゾマツ,他Ｌ,水源涵養,0,143.540487,43.738619
None,トドマツ,水涵保,None,網走中部,130,そ,9.9,None,置戸町,None,他Ｌ,水源涵養,0,143.543185,43.737706
None,None,水涵保,None,網走中部,130,ロ,1.76,None,置戸町,None,None,水源涵養,0,143.537387,43.738483
None,トドマツ,水涵保,None,網走中部,130,ね,2.98,None,置戸町,None,None,水源涵養,0,143.540612,43.736938
None,天トドマツ,水涵保,None,網走中部,130,ろ,63.76,None,置戸町,天エゾマツ,他Ｌ,水源涵養,0,143.539534,43.736862
None,トドマツ,水涵保,None,網走中部,130,ら,12.45,None,置戸町,None,他Ｌ,水源涵養,0,143.537791,43.739484
None,トドマツ,水涵保,None,網走中部,130,ら,12.45,None,置戸町,None,他Ｌ,水源涵養,0,143.536861,43.740205
None,天トドマツ,水涵保,None,網走中部,130,ろ,63.76,None,置戸町,天エゾマツ,他Ｌ,水源涵養,0,143.536878,43.738813
None,トドマツ,水涵保,None,網走中部,130,む,9.2,None,置戸町,None,他Ｌ,水源涵養,0,143.535963,43.739224
None,トドマツ,水涵保,None,網走中部,130,ら,12.45,None,置戸町,None,他Ｌ,水源涵養,0,143.538167,43.737763
None,天トドマツ,水涵保,None,網走中部,130,ろ,63.76,None,置戸町,天エゾマツ,他Ｌ,水源涵養,0,143.53617,43.736323
None,天トドマツ,水涵保,None,網走中部,130,ろ,63.76,None,置戸町,天エゾマツ,他Ｌ,水源涵養,0,143.532381,43.740627
None,トドマツ,水涵保,None,網走中部,130,む,9.2,None,置戸町,None,他Ｌ,水源涵養,0,143.534093,43.739926
None,トドマツ,水涵保,None,網走中部,130,ら,12.45,None,置戸町,None,他Ｌ,水源涵養,0,143.534464,43.736826
None,トドマツ,水涵保,None,網走中部,130,う,8.05,None,置戸町,None,他Ｌ,水源涵養,0,143.530564,43.738436
