A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,None,土流保,None,根釧東部,210,イ,245.23,None,羅臼町,None,None,自然維持,1,145.049566,43.995538
None,ダケカンバ,None,None,根釧東部,210,ろ,131.0,None,羅臼町,天トドマツ,他Ｌ,自然維持,0,145.03518,43.986704
None,None,None,None,根釧東部,210,イ,390.04,None,羅臼町,None,None,自然維持,0,145.022826,43.992854
None,None,None,None,根釧東部,207,ロ,184.74,None,羅臼町,None,None,自然維持,0,145.015726,43.981918
None,None,None,None,根釧東部,210,ロ,0.25,None,羅臼町,None,None,自然維持,0,145.048286,43.982216
None,None,None,None,根釧東部,210,ハ,0.25,None,羅臼町,None,None,自然維持,0,145.047602,43.980515
None,天トドマツ,土流保,None,根釧東部,210,ろ,222.56,None,羅臼町,ダケカンバ,天エゾマツ,自然維持,1,145.042595,43.978412
None,None,None,None,根釧東部,210,ヘ,1.06,None,羅臼町,None,None,自然維持,0,145.04239,43.972728
None,None,土流保,None,根釧東部,210,イ,40.9,None,羅臼町,None,None,自然維持,2,145.031477,43.970543
None,None,土流保,None,根釧東部,207,ニ,24.83,None,羅臼町,None,None,自然維持,0,145.024576,43.979678
None,天トドマツ,土流保,None,根釧東部,210,い,94.79,None,羅臼町,他Ｌ,ダケカンバ,自然維持,0,145.036159,43.969604
None,None,土流保,None,根釧東部,206,ロ,1.15,None,羅臼町,None,None,自然維持,0,145.031808,43.967331
None,ダケカンバ,土流保,None,根釧東部,206,い,5.01,None,羅臼町,None,他Ｌ,自然維持,0,145.031939,43.964888
None,ダケカンバ,土流保,None,根釧東部,206,ほ,236.88,None,羅臼町,天トドマツ,他Ｌ,山地災害防止（土砂）,0,145.038838,43.958105
None,ダケカンバ,土流保,None,根釧東部,205,ろ,62.92,None,羅臼町,天トドマツ,他Ｌ,山地災害防止（土砂）,0,145.053655,43.944638
None,None,None,None,根釧東部,206,イ,0.7,None,羅臼町,None,None,山地災害防止（土砂）,0,145.045526,43.948203
None,ダケカンバ,土流保,None,根釧東部,206,ほ,236.88,None,羅臼町,天トドマツ,他Ｌ,山地災害防止（土砂）,0,145.045259,43.948197
None,ダケカンバ,土流保,None,根釧東部,205,ろ,62.92,None,羅臼町,天トドマツ,他Ｌ,山地災害防止（土砂）,0,145.046993,43.943438
None,ダケカンバ,土流保,None,根釧東部,206,へ,29.28,None,羅臼町,天エゾマツ,他Ｌ,山地災害防止（土砂）,0,145.02946,43.961218
None,ダケカンバ,土流保,None,根釧東部,207,は,31.3,None,羅臼町,天エゾマツ,他Ｌ,山地災害防止（土砂）,0,145.029765,43.955051
None,アカエゾマツ,土流保,None,根釧東部,206,と,8.55,None,羅臼町,None,他Ｌ,山地災害防止（土砂）,0,145.041774,43.951555
None,None,None,None,根釧東部,207,イ,0.4,None,羅臼町,None,None,山地災害防止（土砂）,0,145.039593,43.947683
None,ダケカンバ,土流保,None,根釧東部,207,に,31.33,None,羅臼町,天トドマツ,他Ｌ,山地災害防止（土砂）,0,145.034172,43.949036
None,ダケカンバ,土流保,None,根釧東部,207,ほ,52.46,None,羅臼町,他Ｌ,天トドマツ,山地災害防止（土砂）,0,145.038841,43.944708
None,None,土流保,None,根釧東部,207,ホ,8.8,None,羅臼町,None,None,山地災害防止（土砂）,0,145.027103,43.950323
None,None,土流保,None,根釧東部,207,ホ,8.8,None,羅臼町,None,None,山地災害防止（土砂）,0,145.029017,43.949048
None,ダケカンバ,土流保,None,根釧東部,207,ろ,210.09,None,羅臼町,他Ｌ,天トドマツ,自然維持,0,145.020801,43.963411
None,ダケカンバ,None,None,根釧東部,207,い,144.13,None,羅臼町,天トドマツ,他Ｌ,自然維持,0,145.018689,43.972892
None,None,土流保,None,根釧東部,207,ハ,113.75,None,羅臼町,None,None,自然維持,0,145.000855,43.96548
None,ダケカンバ,土流保,None,根釧東部,207,い,266.89,None,羅臼町,他Ｌ,天トドマツ,山地災害防止（土砂）,2,145.013979,43.950913
None,ダケカンバ,土流保,None,根釧東部,207,い,89.38,None,羅臼町,他Ｌ,天トドマツ,自然維持,1,145.011085,43.959563
None,None,水涵保,None,根釧東部,207,ハ,115.04,None,羅臼町,None,None,山地災害防止（土砂）,1,145.005262,43.949219
None,天トドマツ,水涵保,None,根釧東部,124,ろ,2.75,None,羅臼町,ダケカンバ,他Ｌ,水源涵養,2,145.050316,43.919562
None,None,水涵保,None,根釧東部,125,ヘ,5.6,None,羅臼町,None,None,自然維持,0,145.046692,43.921173
None,ダケカンバ,土流保,None,根釧東部,205,い,227.48,None,羅臼町,天エゾマツ,他Ｌ,山地災害防止（土砂）,0,145.039414,43.937919
None,ダケカンバ,水涵保,None,根釧東部,125,は,53.9,None,羅臼町,天トドマツ,他Ｌ,自然維持,0,145.047965,43.925347
None,ダケカンバ,水涵保,None,根釧東部,125,ね,11.95,None,羅臼町,天エゾマツ,天トドマツ,水源涵養,0,145.041929,43.924217
None,ダケカンバ,水涵保,None,根釧東部,125,に,17.25,None,羅臼町,他Ｌ,天トドマツ,水源涵養,0,145.041887,43.921538
