A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,None,水涵保,None,留萌北部,2200,ホ,3.6,None,羽幌町,None,None,山地災害防止（土砂）,0,141.907101,44.43427
None,None,水涵保,None,留萌北部,2200,ロ,0.9,None,羽幌町,None,None,山地災害防止（土砂）,0,141.909091,44.429461
None,None,None,None,留萌北部,2197,ロ,1.1,None,羽幌町,None,None,山地災害防止（土砂）,0,141.910243,44.422733
None,None,水涵保,None,留萌北部,2198,ロ,1.8,None,羽幌町,None,None,水源涵養,0,141.904212,44.42457
None,None,水涵保,None,留萌北部,2192,イ,3.06,None,羽幌町,None,None,山地災害防止（土砂）,0,141.909982,44.419742
None,None,水涵保,None,留萌北部,2192,イ,3.06,None,羽幌町,None,None,山地災害防止（土砂）,0,141.909949,44.418689
None,None,None,None,留萌北部,2197,ハ,4.1,None,羽幌町,None,None,山地災害防止（土砂）,0,141.906403,44.419378
None,他Ｌ,None,None,留萌北部,2197,と,83.87,None,羽幌町,シナノキ,ミズナラ,山地災害防止（土砂）,0,141.908321,44.422094
None,他Ｌ,None,None,留萌北部,2197,り,6.03,None,羽幌町,ミズナラ,天トドマツ,山地災害防止（土砂）,0,141.907709,44.416851
None,他Ｌ,None,None,留萌北部,2197,ち,7.33,None,羽幌町,天トドマツ,ミズナラ,山地災害防止（土砂）,0,141.902609,44.416766
None,None,None,None,留萌北部,2197,ホ,1.4,None,羽幌町,None,None,山地災害防止（土砂）,0,141.905834,44.414498
None,他Ｌ,None,None,留萌北部,2197,と,83.87,None,羽幌町,シナノキ,ミズナラ,山地災害防止（土砂）,0,141.906341,44.412689
None,他Ｌ,水涵保,None,留萌北部,2200,い,162.32,None,羽幌町,シナノキ,ミズナラ,山地災害防止（土砂）,0,141.896298,44.428485
None,None,水涵保,None,留萌北部,2200,ハ,1.5,None,羽幌町,None,None,山地災害防止（土砂）,0,141.900034,44.430262
None,None,水涵保,None,留萌北部,2200,ト,0.75,None,羽幌町,None,None,山地災害防止（土砂）,0,141.893327,44.424699
None,None,水涵保,None,留萌北部,2200,ニ,1.6,None,羽幌町,None,None,山地災害防止（土砂）,0,141.890314,44.426802
None,None,水涵保,None,留萌北部,2201,ニ,1.03,None,羽幌町,None,None,水源涵養,0,141.886799,44.426652
None,None,None,None,留萌北部,2197,ヘ,1.75,None,羽幌町,None,None,山地災害防止（土砂）,0,141.901424,44.419468
None,天トドマツ,水涵保,None,留萌北部,2198,い,113.52,None,羽幌町,ミズナラ,他Ｌ,水源涵養,0,141.895815,44.41841
None,アカエゾマツ,None,None,留萌北部,2197,へ,2.1,None,羽幌町,None,ウダイカンバ,山地災害防止（土砂）,0,141.901739,44.413132
None,他Ｌ,水涵保,None,留萌北部,2201,は,177.91,None,羽幌町,シナノキ,ミズナラ,水源涵養,0,141.888961,44.415748
None,他Ｌ,水涵保,None,留萌北部,2191,に,52.59,None,羽幌町,ミズナラ,天トドマツ,水源涵養,0,141.910771,44.412242
None,アカエゾマツ,None,None,留萌北部,2197,は,2.35,None,羽幌町,None,イタヤカエデ,山地災害防止（土砂）,0,141.904749,44.411051
None,他Ｌ,土流保,None,留萌北部,2189,に,3.95,None,羽幌町,シナノキ,ミズナラ,水源涵養,0,141.910126,44.401581
None,トドマツ,土流保,None,留萌北部,2189,い,3.5,None,羽幌町,トドマツ,カンバ,水源涵養,0,141.908363,44.401039
None,他Ｌ,土流保,None,留萌北部,2171,ち,1.8,None,羽幌町,シナノキ,ミズナラ,山地災害防止（土砂）,0,141.904127,44.39842
None,他Ｌ,土流保,None,留萌北部,2189,ほ,2.0,None,羽幌町,天トドマツ,ミズナラ,水源涵養,0,141.904899,44.398578
None,None,None,None,留萌北部,2171,ロ,0.27,None,羽幌町,None,None,山地災害防止（土砂）,0,141.903328,44.396873
None,None,None,None,留萌北部,2189,イ,0.35,None,羽幌町,None,None,水源涵養,0,141.903748,44.397688
None,他Ｌ,土流保,None,留萌北部,2189,ほ,2.0,None,羽幌町,天トドマツ,ミズナラ,水源涵養,0,141.902712,44.397465
None,トドマツ,土流保,None,留萌北部,2171,い,28.04,None,羽幌町,カンバ,トドマツ,山地災害防止（土砂）,0,141.909215,44.395438
None,None,None,None,留萌北部,2170,ハ,0.2,None,羽幌町,None,None,山地災害防止（土砂）,0,141.902908,44.395444
None,トドマツ,None,None,留萌北部,2171,ほ,1.56,None,羽幌町,None,カンバ,山地災害防止（土砂）,0,141.906234,44.393505
None,トドマツ,None,None,留萌北部,2171,は,2.63,None,羽幌町,None,カンバ,山地災害防止（土砂）,0,141.905592,44.392236
None,他Ｌ,土流保,None,留萌北部,2170,ほ,23.49,None,羽幌町,シナノキ,ミズナラ,山地災害防止（土砂）,0,141.903518,44.39187
None,他Ｌ,土流保,None,留萌北部,2171,に,21.8,None,羽幌町,シナノキ,ミズナラ,山地災害防止（土砂）,0,141.908228,44.389134
None,他Ｌ,土流保,None,留萌北部,2172,り,10.6,None,羽幌町,シナノキ,ミズナラ,山地災害防止（土砂）,0,141.909958,44.387472
