A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,他Ｌ,魚付保,None,後志,2424,ろ,86.42,None,豊浦町,ミズナラ,イタヤカエデ,山地災害防止（気象）,0,140.683043,42.589848
None,他Ｌ,魚付保,None,後志,2424,ろ,86.42,None,豊浦町,ミズナラ,イタヤカエデ,山地災害防止（気象）,0,140.679837,42.590701
None,ヤチダモ,魚付保,None,後志,2424,い,5.81,None,豊浦町,シナノキ,ミズナラ,自然維持,0,140.676486,42.587933
None,他Ｌ,魚付保,None,後志,2424,ろ,86.42,None,豊浦町,ミズナラ,イタヤカエデ,山地災害防止（気象）,0,140.670147,42.58851
None,None,None,None,後志,2424,ロ,0.2,None,豊浦町,None,None,山地災害防止（気象）,0,140.652701,42.588223
None,None,None,None,後志,2424,ニ,0.01,None,豊浦町,None,None,山地災害防止（気象）,0,140.651664,42.587513
None,None,None,None,後志,2424,イ,0.02,None,豊浦町,None,None,山地災害防止（気象）,0,140.651163,42.586904
None,None,None,None,後志,2424,ホ,0.05,None,豊浦町,None,None,山地災害防止（気象）,0,140.646731,42.589598
None,他Ｌ,None,None,後志,2425,い,19.81,None,豊浦町,イタヤカエデ,ダケカンバ,山地災害防止（気象）,0,140.597651,42.693813
None,他Ｌ,None,None,後志,2425,い,19.81,None,豊浦町,イタヤカエデ,ダケカンバ,山地災害防止（気象）,0,140.591008,42.69281
