面積,管理区,小班,森林の種類６コード,森林の種類３コード,複層区分,振興局,枝番,林種,林齢,森林の種類５コード,KEYCODE,森林の種類４コード,RINSYO_ID,林班,森林の種類２コード,樹種,市町村,森林の種類１コード,center_lng,center_lat
0.8,24,0058,None,None,0,11,00,1,41,None,99240000400058,None,24040580,0040,None,22.0,11,1,143.708061,43.756572
10.77,24,0045,None,None,0,11,00,1,60,None,99240000400045,None,24040450,0040,None,17.0,11,1,143.7075,43.757422
59.96,24,0041,None,None,0,11,00,1,61,None,99240000400041,None,24040410,0040,None,17.0,11,1,143.703802,43.755002
13.3,24,0052,None,None,0,11,00,1,54,None,99240000400052,None,24040520,0040,None,26.0,11,1,143.714883,43.756692
10.77,24,0045,None,None,0,11,00,1,60,None,99240000400045,None,24040450,0040,None,17.0,11,1,143.710539,43.756015
10.14,24,0042,None,None,0,11,00,1,60,None,99240000400042,None,24040420,0040,None,17.0,11,1,143.706261,43.756002
48.15,24,0003,None,None,0,11,00,2,133,None,99240000400003,None,24040030,0040,None,98.0,11,1,143.708688,43.753897
0.59,24,0059,None,None,0,11,00,1,41,None,99240000400059,None,24040590,0040,None,73.0,11,1,143.700891,43.751216
10.77,24,0045,None,None,0,11,00,1,60,None,99240000400045,None,24040450,0040,None,17.0,11,1,143.706859,43.757143
48.15,24,0003,None,None,0,11,00,2,133,None,99240000400003,None,24040030,0040,None,98.0,11,1,143.70528,43.755433
10.77,24,0045,None,None,0,11,00,1,60,None,99240000400045,None,24040450,0040,None,17.0,11,1,143.708864,43.756201
59.96,24,0041,None,None,0,11,00,1,61,None,99240000400041,None,24040410,0040,None,17.0,11,1,143.705283,43.753574
59.96,24,0041,None,None,0,11,00,1,61,None,99240000400041,None,24040410,0040,None,17.0,11,1,143.704176,43.753111
59.96,24,0041,None,None,0,11,00,1,61,None,99240000400041,None,24040410,0040,None,17.0,11,1,143.70193,43.751131
10.77,24,0045,None,None,0,11,00,1,60,None,99240000400045,None,24040450,0040,None,17.0,11,1,143.708858,43.756775
10.77,24,0045,None,None,0,11,00,1,60,None,99240000400045,None,24040450,0040,None,17.0,11,1,143.709626,43.756933
10.77,24,0045,None,None,0,11,00,1,60,None,99240000400045,None,24040450,0040,None,17.0,11,1,143.709986,43.756246
10.14,24,0042,None,None,0,11,00,1,60,None,99240000400042,None,24040420,0040,None,17.0,11,1,143.705863,43.756664
10.77,24,0045,None,None,0,11,00,1,60,None,99240000400045,None,24040450,0040,None,17.0,11,1,143.708466,43.755798
27.38,24,0003,None,None,0,11,00,2,133,None,99240000410003,None,24041030,0041,None,98.0,11,1,143.706336,43.766523
10.77,24,0045,None,None,0,11,00,1,60,None,99240000400045,None,24040450,0040,None,17.0,11,1,143.709198,43.756146
2.29,24,0057,None,None,0,11,00,1,43,None,99240000400057,None,24040570,0040,None,26.0,11,1,143.705169,43.7566
59.96,24,0041,None,None,0,11,00,1,61,None,99240000400041,None,24040410,0040,None,17.0,11,1,143.708882,43.751837
59.96,24,0041,None,None,0,11,00,1,61,None,99240000400041,None,24040410,0040,None,17.0,11,1,143.708299,43.748171
7.18,24,0054,None,None,2,11,00,1,54,None,99240000400054,None,24040540,0040,None,17.0,11,1,143.707933,43.758853
